op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",input_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
2,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,q_proj,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[d_model, n_h*d_head]",1,"[[B, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
3,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,k_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
4,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,v_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],decode,False
5,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[2, 3]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
6,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[5],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],decode,False
7,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[4, 6]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
8,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,o_proj,matmul,"[[B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[B, n_h*d_head]]",[7],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
9,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
10,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",post_attention_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],decode,False
11,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,gate_proj,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[10],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],decode,False
12,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,act_fn,silu,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[11],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],decode,False
13,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,up_proj,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[10],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],decode,False
