op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,q_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[T, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
3,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,k_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]","[[T, n_kv*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
4,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,v_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]","[[T, n_kv*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
5,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,"[[n_h, T, T]]","[2, 3]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
6,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,,softmax,"[[B, n_h, T, T]]",,"[[B, n_h, T, T]]",[5],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],prefill,False
7,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,"[[n_h, T, d_head]]","[4, 6]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
8,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",self_attn,o_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[T, n_h*d_head]]",[7],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
9,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
10,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",post_attention_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
11,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[10],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
12,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,act_fn,silu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[11],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],prefill,False
13,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[10],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
14,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[12, 13]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
15,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[14],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
16,attn+FFN,27,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[9, 15]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
17,attn+FFN,9,"3,7,11,15,19,23,27,31,35",input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[16],3,input_layernorm,,1,model.layers.3.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.input_layernorm.weight],prefill,False
18,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,q_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[T, n_h*d_head]]",[17],3,self_attn,q_proj,2,model.layers.3.self_attn.q_proj,aten.mm.default,[model.layers.3.self_attn.q_proj.weight],prefill,False
19,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,k_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]","[[T, n_kv*d_head]]",[17],3,self_attn,k_proj,2,model.layers.3.self_attn.k_proj,aten.mm.default,[model.layers.3.self_attn.k_proj.weight],prefill,False
20,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,v_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]","[[T, n_kv*d_head]]",[17],3,self_attn,v_proj,2,model.layers.3.self_attn.v_proj,aten.mm.default,[model.layers.3.self_attn.v_proj.weight],prefill,False
21,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,"[[n_h, T, T]]","[18, 19]",3,self_attn,,1,model.layers.3.self_attn,aten.bmm.default,[],prefill,False
22,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,,softmax,"[[B, n_h, T, T]]",,"[[B, n_h, T, T]]",[21],3,self_attn,,1,model.layers.3.self_attn,aten._safe_softmax.default,[],prefill,False
23,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,"[[n_h, T, d_head]]","[20, 22]",3,self_attn,,1,model.layers.3.self_attn,aten.bmm.default,[],prefill,False
24,attn+FFN,9,"3,7,11,15,19,23,27,31,35",self_attn,o_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[T, n_h*d_head]]",[23],3,self_attn,o_proj,2,model.layers.3.self_attn.o_proj,aten.mm.default,[model.layers.3.self_attn.o_proj.weight],prefill,False
25,attn+FFN,9,"3,7,11,15,19,23,27,31,35",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[16, 24]",3,,,0,model.layers.3,aten.add.Tensor,[],prefill,False
