op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,-,1,,model,pos_emb,batched_matmul,"[[B, 32, 1], [B, 1, 1]]",,,"[[B, 32, 1]]",[],,other,,2,model.pos_emb,aten.bmm.default,[],decode,False
2,FFN,2,0-1,operator_norm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,operator_norm,,1,model.layers.0.operator_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.operator_norm.weight],decode,False
3,FFN,2,0-1,conv,in_proj,matmul,"[[B, d_model], [d_model, 3*d_model]]","[3*d_model, d_model]",1,"[[B, 3*d_model]]",[2],0,conv,in_proj,2,model.layers.0.conv.in_proj,aten.mm.default,[model.layers.0.conv.in_proj.weight],decode,False
4,FFN,2,0-1,conv,,sum,"[[B, d_model, d_conv]]",,,"[[B, d_model]]",[3],0,conv,,1,model.layers.0.conv,aten.sum.dim_IntList,[],decode,True
5,FFN,2,0-1,conv,out_proj,matmul,"[[B, d_model], [d_model, d_model]]","[d_model, d_model]",1,"[[B, d_model]]","[3, 4]",0,conv,out_proj,2,model.layers.0.conv.out_proj,aten.mm.default,[model.layers.0.conv.out_proj.weight],decode,False
6,FFN,2,0-1,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 5]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
7,FFN,2,0-1,ffn_norm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[6],0,ffn_norm,,1,model.layers.0.ffn_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.ffn_norm.weight],decode,False
8,FFN,2,0-1,feed_forward,w1,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[7],0,feed_forward,w1,2,model.layers.0.feed_forward.w1,aten.mm.default,[model.layers.0.feed_forward.w1.weight],decode,False
9,FFN,2,0-1,feed_forward,,silu,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[8],0,feed_forward,,1,model.layers.0.feed_forward,aten.silu.default,[],decode,False
10,FFN,2,0-1,feed_forward,w3,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[7],0,feed_forward,w3,2,model.layers.0.feed_forward.w3,aten.mm.default,[model.layers.0.feed_forward.w3.weight],decode,False
