op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,-,1,,model,pos_emb,batched_matmul,"[[B, 32, 1], [B, 1, T]]",,,"[[B, 32, T]]",[],,other,,2,model.pos_emb,aten.bmm.default,[],prefill,False
2,SSM+FFN,2,0-1,operator_norm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,operator_norm,,1,model.layers.0.operator_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.operator_norm.weight],prefill,False
3,SSM+FFN,2,0-1,conv,in_proj,matmul,"[[T, d_model], [d_model, 3*d_model]]","[3*d_model, d_model]",1,"[[T, 3*d_model]]",[2],0,conv,in_proj,2,model.layers.0.conv.in_proj,aten.mm.default,[model.layers.0.conv.in_proj.weight],prefill,False
4,SSM+FFN,2,0-1,conv,conv,conv1d,"[[B, d_model, T], [d_model, B, d_conv]]","[d_model, 1, d_conv]",1,"[[B, d_model, 18]]",[3],0,conv,conv,2,model.layers.0.conv.conv,aten.convolution.default,[model.layers.0.conv.conv.weight],prefill,False
5,SSM+FFN,2,0-1,conv,out_proj,matmul,"[[T, d_model], [d_model, d_model]]","[d_model, d_model]",1,"[[T, d_model]]","[3, 4]",0,conv,out_proj,2,model.layers.0.conv.out_proj,aten.mm.default,[model.layers.0.conv.out_proj.weight],prefill,False
6,SSM+FFN,2,0-1,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 5]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
7,SSM+FFN,2,0-1,ffn_norm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[6],0,ffn_norm,,1,model.layers.0.ffn_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.ffn_norm.weight],prefill,False
8,SSM+FFN,2,0-1,feed_forward,w1,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[T, d_ff]]",[7],0,feed_forward,w1,2,model.layers.0.feed_forward.w1,aten.mm.default,[model.layers.0.feed_forward.w1.weight],prefill,False
9,SSM+FFN,2,0-1,feed_forward,,silu,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[8],0,feed_forward,,1,model.layers.0.feed_forward,aten.silu.default,[],prefill,False
10,SSM+FFN,2,0-1,feed_forward,w3,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[T, d_ff]]",[7],0,feed_forward,w3,2,model.layers.0.feed_forward.w3,aten.mm.default,[model.layers.0.feed_forward.w3.weight],prefill,False
11,SSM+FFN,2,0-1,feed_forward,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[9, 10]",0,feed_forward,,1,model.layers.0.feed_forward,aten.mul.Tensor,[],prefill,False
12,SSM+FFN,2,0-1,feed_forward,w2,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]",1,"[[T, d_model]]",[11],0,feed_forward,w2,2,model.layers.0.feed_forward.w2,aten.mm.default,[model.layers.0.feed_forward.w2.weight],prefill,False
13,SSM+FFN,2,0-1,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[6, 12]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
14,attn+MoE,6,"2,6,10,14,18,21",operator_norm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[13],2,operator_norm,,1,model.layers.2.operator_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.operator_norm.weight],prefill,False
15,attn+MoE,6,"2,6,10,14,18,21",self_attn,q_proj,matmul,"[[T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[14],2,self_attn,q_proj,2,model.layers.2.self_attn.q_proj,aten.mm.default,[model.layers.2.self_attn.q_proj.weight],prefill,False
16,attn+MoE,6,"2,6,10,14,18,21",self_attn,q_layernorm,rmsnorm,"[[B, T, n_h, d_head]]",[d_head],-1,"[[B, T, n_h, d_head]]",[15],2,self_attn,q_layernorm,2,model.layers.2.self_attn.q_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.self_attn.q_layernorm.weight],prefill,False
17,attn+MoE,6,"2,6,10,14,18,21",self_attn,k_proj,matmul,"[[T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]",1,"[[T, n_kv*d_head]]",[14],2,self_attn,k_proj,2,model.layers.2.self_attn.k_proj,aten.mm.default,[model.layers.2.self_attn.k_proj.weight],prefill,False
18,attn+MoE,6,"2,6,10,14,18,21",self_attn,k_layernorm,rmsnorm,"[[B, T, n_kv, d_head]]",[d_head],-1,"[[B, T, n_kv, d_head]]",[17],2,self_attn,k_layernorm,2,model.layers.2.self_attn.k_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.self_attn.k_layernorm.weight],prefill,False
19,attn+MoE,6,"2,6,10,14,18,21",self_attn,v_proj,matmul,"[[T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]",1,"[[T, n_kv*d_head]]",[14],2,self_attn,v_proj,2,model.layers.2.self_attn.v_proj,aten.mm.default,[model.layers.2.self_attn.v_proj.weight],prefill,False
20,attn+MoE,6,"2,6,10,14,18,21",self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]","[1, 16, 18]",2,self_attn,,1,model.layers.2.self_attn,aten.bmm.default,[],prefill,False
21,attn+MoE,6,"2,6,10,14,18,21",self_attn,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[20],2,self_attn,,1,model.layers.2.self_attn,aten._softmax.default,[],prefill,False
22,attn+MoE,6,"2,6,10,14,18,21",self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[19, 21]",2,self_attn,,1,model.layers.2.self_attn,aten.bmm.default,[],prefill,False
23,attn+MoE,6,"2,6,10,14,18,21",self_attn,out_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[22],2,self_attn,out_proj,2,model.layers.2.self_attn.out_proj,aten.mm.default,[model.layers.2.self_attn.out_proj.weight],prefill,False
