op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,backbone,embeddings,embedding,"[[V, d_model], [B, B]]","[V, d_model]","[[B, B, d_model]]",[],,other,,2,backbone.embeddings,aten.embedding.default,[backbone.embeddings.weight],decode,False
1,xLSTM,32,0-31,norm_mlstm,,rmsnorm,"[[B, B, d_model*v_f]]",[d_model*v_f],"[[B, B, d_model*v_f]]",[0],0,norm_mlstm,,1,backbone.blocks.0.norm_mlstm,pow+mean+add+rsqrt+mul+mul,[backbone.blocks.0.norm_mlstm.weight],decode,False
2,xLSTM,32,0-31,mlstm_layer,q,matmul,"[[B, d_model*v_f], [d_model*v_f, d_model*qk_f]]","[d_model*qk_f, d_model*v_f]","[[B, d_model*qk_f]]",[1],0,mlstm_layer,q,2,backbone.blocks.0.mlstm_layer.q,aten.mm.default,[backbone.blocks.0.mlstm_layer.q.weight],decode,False
3,xLSTM,32,0-31,mlstm_layer,k,matmul,"[[B, d_model*v_f], [d_model*v_f, d_model*qk_f]]","[d_model*qk_f, d_model*v_f]","[[B, d_model*qk_f]]",[1],0,mlstm_layer,k,2,backbone.blocks.0.mlstm_layer.k,aten.mm.default,[backbone.blocks.0.mlstm_layer.k.weight],decode,False
4,xLSTM,32,0-31,mlstm_layer,v,matmul,"[[B, d_model*v_f], [d_model*v_f, d_model*v_f]]","[d_model*v_f, d_model*v_f]","[[B, d_model*v_f]]",[1],0,mlstm_layer,v,2,backbone.blocks.0.mlstm_layer.v,aten.mm.default,[backbone.blocks.0.mlstm_layer.v.weight],decode,False
5,xLSTM,32,0-31,mlstm_layer,ogate_preact,matmul,"[[B, d_model*v_f], [d_model*v_f, d_model*v_f]]","[d_model*v_f, d_model*v_f]","[[B, d_model*v_f]]",[1],0,mlstm_layer,ogate_preact,2,backbone.blocks.0.mlstm_layer.ogate_preact,aten.mm.default,[backbone.blocks.0.mlstm_layer.ogate_preact.weight],decode,False
6,xLSTM,32,0-31,mlstm_layer,igate_preact,linear,"[[n_h], [B, d_model*v_f], [d_model*v_f, n_h]]","[n_h, d_model*v_f]","[[B, n_h]]",[1],0,mlstm_layer,igate_preact,2,backbone.blocks.0.mlstm_layer.igate_preact,aten.addmm.default,"[backbone.blocks.0.mlstm_layer.igate_preact.bias, backbone.blocks.0.mlstm_layer.igate_preact.weight]",decode,False
7,xLSTM,32,0-31,mlstm_layer,,tanh,"[[B, B, n_h]]",,"[[B, B, n_h]]",[6],0,mlstm_layer,,1,backbone.blocks.0.mlstm_layer,aten.tanh.default,[],decode,False
8,xLSTM,32,0-31,mlstm_layer,fgate_preact,linear,"[[n_h], [B, d_model*v_f], [d_model*v_f, n_h]]","[n_h, d_model*v_f]","[[B, n_h]]",[1],0,mlstm_layer,fgate_preact,2,backbone.blocks.0.mlstm_layer.fgate_preact,aten.addmm.default,"[backbone.blocks.0.mlstm_layer.fgate_preact.bias, backbone.blocks.0.mlstm_layer.fgate_preact.weight]",decode,False
9,xLSTM,32,0-31,mlstm_layer,,tanh,"[[B, B, n_h]]",,"[[B, B, n_h]]",[8],0,mlstm_layer,,1,backbone.blocks.0.mlstm_layer,aten.tanh.default,[],decode,False
10,xLSTM,32,0-31,mlstm_layer,mlstm_backend,exp,"[[B, n_h, B]]",,"[[B, n_h, B]]","[7, 9]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.exp.default,[],decode,False
11,xLSTM,32,0-31,mlstm_layer,mlstm_backend,exp,"[[B, n_h, B]]",,"[[B, n_h, B]]","[7, 9]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.exp.default,[],decode,False
12,xLSTM,32,0-31,mlstm_layer,mlstm_backend,elementwise_mul,"[[B, n_h, d_model*qk_f/n_h]]",,"[[B, n_h, d_model*qk_f/n_h]]",[2],0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.mul.Tensor,[],decode,False
13,xLSTM,32,0-31,mlstm_layer,mlstm_backend,batched_matmul,"[[n_h, d_model*qk_f/n_h, B], [n_h, B, d_head]]",,"[[n_h, d_model*qk_f/n_h, d_head]]","[3, 4]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.bmm.default,[],decode,False
14,xLSTM,32,0-31,mlstm_layer,mlstm_backend,elementwise_mul,"[[B, n_h, B], [B, n_h, d_model*qk_f/n_h]]",,"[[B, n_h, d_model*qk_f/n_h]]",[10],0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.mul.Tensor,[],decode,False
15,xLSTM,32,0-31,mlstm_layer,mlstm_backend,elementwise_mul,"[[B, n_h, B], [B, n_h, d_model*qk_f/n_h]]",,"[[B, n_h, d_model*qk_f/n_h]]","[3, 11]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.mul.Tensor,[],decode,False
16,xLSTM,32,0-31,mlstm_layer,mlstm_backend,elementwise_add,"[[B, n_h, d_model*qk_f/n_h], [B, n_h, d_model*qk_f/n_h]]",,"[[B, n_h, d_model*qk_f/n_h]]","[14, 15]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.add.Tensor,[],decode,False
17,xLSTM,32,0-31,mlstm_layer,mlstm_backend,batched_matmul,"[[n_h, B, d_model*qk_f/n_h], [n_h, d_model*qk_f/n_h, d_head]]",,"[[n_h, B, d_head]]","[10, 11, 12, 13]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.bmm.default,[],decode,False
18,xLSTM,32,0-31,mlstm_layer,mlstm_backend,batched_matmul,"[[n_h, B, d_model*qk_f/n_h], [n_h, d_model*qk_f/n_h, B]]",,"[[n_h, B, B]]","[12, 16]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.bmm.default,[],decode,False
19,xLSTM,32,0-31,mlstm_layer,mlstm_backend,exp,"[[B, n_h, B]]",,"[[B, n_h, B]]","[7, 9]",0,mlstm_layer,mlstm_backend,2,backbone.blocks.0.mlstm_layer.mlstm_backend,aten.exp.default,[],decode,False
20,xLSTM,32,0-31,mlstm_layer,multihead_norm,rmsnorm,"[[B, B, n_h, d_head]]",[d_model*v_f],"[[B, B, d_model*v_f]]","[17, 18, 19]",0,mlstm_layer,multihead_norm,2,backbone.blocks.0.mlstm_layer.multihead_norm,mean+sub+var+add+rsqrt+mul+view+mul,[backbone.blocks.0.mlstm_layer.multihead_norm.weight],decode,False
21,xLSTM,32,0-31,mlstm_layer,ogate_act_fn,sigmoid,"[[B, B, d_model*v_f]]",,"[[B, B, d_model*v_f]]",[5],0,mlstm_layer,ogate_act_fn,2,backbone.blocks.0.mlstm_layer.ogate_act_fn,aten.sigmoid.default,[],decode,False
22,xLSTM,32,0-31,mlstm_layer,,elementwise_mul,"[[B, B, d_model*v_f], [B, B, d_model*v_f]]",,"[[B, B, d_model*v_f]]","[20, 21]",0,mlstm_layer,,1,backbone.blocks.0.mlstm_layer,aten.mul.Tensor,[],decode,False
23,xLSTM,32,0-31,mlstm_layer,out_proj,matmul,"[[B, d_model*v_f], [d_model*v_f, d_model*v_f]]","[d_model*v_f, d_model*v_f]","[[B, d_model*v_f]]",[22],0,mlstm_layer,out_proj,2,backbone.blocks.0.mlstm_layer.out_proj,aten.mm.default,[backbone.blocks.0.mlstm_layer.out_proj.weight],decode,False
24,xLSTM,32,0-31,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[0, 23]",0,,,0,backbone.blocks.0,aten.add.Tensor,[],decode,False
25,xLSTM,32,0-31,norm_ffn,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[24],0,norm_ffn,,1,backbone.blocks.0.norm_ffn,pow+mean+add+rsqrt+mul+mul,[backbone.blocks.0.norm_ffn.weight],decode,False
