op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,backbone,embeddings,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,backbone.embeddings,aten.embedding.default,[backbone.embeddings.weight],decode,False
1,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
2,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
3,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
4,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
5,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
6,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
7,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
8,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
9,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
10,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
11,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
12,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
13,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
14,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
15,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
16,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
17,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
18,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
19,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
20,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
21,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
22,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
23,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
24,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
25,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
26,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
27,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
28,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
29,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
30,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
31,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
32,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
33,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
34,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
35,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
36,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
37,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
38,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
39,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
40,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
41,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
42,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
43,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
44,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
45,backbone,,zeros,[],,,"[[B, n_h, 1]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
46,backbone,,zeros,[],,,"[[B, n_h, d_model*qk_f/n_h, d_head]]",[],,other,,1,backbone,aten.zeros.default,[],decode,True
