op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+FFN,24,0-23,input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+FFN,24,0-23,self_attn,q_proj,linear,"[[n_h*d_head], [T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[T, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.addmm.default,"[model.layers.0.self_attn.q_proj.bias, model.layers.0.self_attn.q_proj.weight]",prefill,False
3,attn+FFN,24,0-23,self_attn,k_proj,linear,"[[n_kv*d_head], [T, n_h*d_head], [n_h*d_head, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]","[[T, n_kv*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.addmm.default,"[model.layers.0.self_attn.k_proj.bias, model.layers.0.self_attn.k_proj.weight]",prefill,False
4,attn+FFN,24,0-23,self_attn,v_proj,linear,"[[n_kv*d_head], [T, n_h*d_head], [n_h*d_head, n_kv*d_head]]","[n_kv*d_head, n_h*d_head]","[[T, n_kv*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.addmm.default,"[model.layers.0.self_attn.v_proj.bias, model.layers.0.self_attn.v_proj.weight]",prefill,False
5,attn+FFN,24,0-23,self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,"[[n_h, T, T]]","[2, 3]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
6,attn+FFN,24,0-23,self_attn,,softmax,"[[B, n_h, T, T]]",,"[[B, n_h, T, T]]",[5],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],prefill,False
7,attn+FFN,24,0-23,self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,"[[n_h, T, d_head]]","[4, 6]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
8,attn+FFN,24,0-23,self_attn,o_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[T, n_h*d_head]]",[7],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
9,attn+FFN,24,0-23,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
10,attn+FFN,24,0-23,post_attention_layernorm,,rmsnorm,"[[B, T, n_h*d_head]]",[n_h*d_head],"[[B, T, n_h*d_head]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
11,attn+FFN,24,0-23,mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[10],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
12,attn+FFN,24,0-23,mlp,act_fn,silu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[11],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],prefill,False
13,attn+FFN,24,0-23,mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[10],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
14,attn+FFN,24,0-23,mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[12, 13]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
15,attn+FFN,24,0-23,mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[14],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
16,attn+FFN,24,0-23,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[9, 15]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
17,norm,1,,model,norm,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[16],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.norm.weight],prefill,False
18,head,1,,lm_head,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]","[[T, V]]",[17],,other,,1,lm_head,aten.mm.default,[model.embed_tokens.weight],prefill,False
