op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",input_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.input_layernorm.weight],decode,False
2,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,in_proj_qkvz,,matmul,"[[B, d_model], [d_model, 2*n_k*d_k+2*n_v*d_v]]","[2*n_k*d_k+2*n_v*d_v, d_model]",1,"[[B, 2*n_k*d_k+2*n_v*d_v]]",[1],0,linear_attn,in_proj_qkvz,2,model.layers.0.linear_attn.in_proj_qkvz,aten.mm.default,[model.layers.0.linear_attn.in_proj_qkvz.weight],decode,False
3,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,in_proj_ba,,matmul,"[[B, d_model], [d_model, d_chunk]]","[d_chunk, d_model]",1,"[[B, d_chunk]]",[1],0,linear_attn,in_proj_ba,2,model.layers.0.linear_attn.in_proj_ba,aten.mm.default,[model.layers.0.linear_attn.in_proj_ba.weight],decode,False
4,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,concat,"[[B, 1, d_model], [B, 1, d_model], [B, 1, n_v*d_v]]",,,"[[B, 1, 2*n_h*d_head]]",[2],0,linear_attn,,1,model.layers.0.linear_attn,aten.cat.default,[],decode,False
5,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,conv1d,"[[B, 2*n_h*d_head, 5], [2*n_h*d_head, B, d_conv_lin]]",,,"[[B, 2*n_h*d_head, n_v/n_k]]",[4],0,linear_attn,,1,model.layers.0.linear_attn,aten.convolution.default,[],decode,False
6,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,silu,"[[B, 2*n_h*d_head, 1]]",,,"[[B, 2*n_h*d_head, 1]]",[5],0,linear_attn,,1,model.layers.0.linear_attn,aten.silu.default,[],decode,False
7,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,sigmoid,"[[B, 1, n_h_lin_v]]",,,"[[B, 1, n_h_lin_v]]",[3],0,linear_attn,,1,model.layers.0.linear_attn,aten.sigmoid.default,[],decode,False
8,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,exp,[[n_h_lin_v]],,,[[n_h_lin_v]],[],0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[model.layers.0.linear_attn.A_log],decode,False
9,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,exp,"[[B, n_h_lin_v]]",,,"[[B, n_h_lin_v]]","[3, 8]",0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[],decode,False
10,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,norm,,rmsnorm,"[[n_h_lin_v, d_head_lin_v]]",[d_head_lin_v],-1,"[[n_h_lin_v, d_head_lin_v]]",[2],0,linear_attn,norm,2,model.layers.0.linear_attn.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul+_to_copy+silu+mul+_to_copy,[model.layers.0.linear_attn.norm.weight],decode,False
11,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,out_proj,,matmul,"[[B, n_v*d_v], [n_v*d_v, d_model]]","[d_model, n_v*d_v]",1,"[[B, d_model]]",[10],0,linear_attn,out_proj,2,model.layers.0.linear_attn.out_proj,aten.mm.default,[model.layers.0.linear_attn.out_proj.weight],decode,False
12,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 11]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
13,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",post_attention_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[12],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.post_attention_layernorm.weight],decode,False
