op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,rotary_emb,,unsqueeze,[[d_rope/2]],,,"[[B, d_rope/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],decode,True
2,model,rotary_emb,,unsqueeze,"[[B, d_rope/2]]",,,"[[B, d_rope/2, 1]]",[1],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
3,model,rotary_emb,,expand,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[2],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
4,model,rotary_emb,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
5,model,rotary_emb,,_to_copy,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[4],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
6,model,rotary_emb,,expand,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[3],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
7,model,rotary_emb,,view,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[6],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
8,model,rotary_emb,,expand,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[5],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
9,model,rotary_emb,,view,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[8],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
10,model,rotary_emb,,batched_matmul,"[[B, d_rope/2, 1], [B, 1, 1]]",,,"[[B, d_rope/2, 1]]","[7, 9]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
11,model,rotary_emb,,_unsafe_view,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[10],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
12,model,rotary_emb,,transpose,"[[B, d_rope/2, 1]]",,,"[[B, 1, d_rope/2]]",[11],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
13,model,rotary_emb,,concat,"[[B, 1, d_rope/2], [B, 1, d_rope/2]]",,,"[[B, 1, d_rope]]",[12],,other,,2,model.rotary_emb,aten.cat.default,[],decode,False
14,model,rotary_emb,,cos,"[[B, 1, d_rope]]",,,"[[B, 1, d_rope]]",[13],,other,,2,model.rotary_emb,aten.cos.default,[],decode,False
15,model,rotary_emb,,elementwise_mul,"[[B, 1, d_rope]]",,,"[[B, 1, d_rope]]",[14],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
16,model,rotary_emb,,sin,"[[B, 1, d_rope]]",,,"[[B, 1, d_rope]]",[13],,other,,2,model.rotary_emb,aten.sin.default,[],decode,False
17,model,rotary_emb,,elementwise_mul,"[[B, 1, d_rope]]",,,"[[B, 1, d_rope]]",[16],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
