op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,in_proj_qkvz,,matmul,"[[T, d_model], [d_model, 2*n_k*d_k+2*n_v*d_v]]","[2*n_k*d_k+2*n_v*d_v, d_model]","[[T, 2*n_k*d_k+2*n_v*d_v]]",[1],0,linear_attn,in_proj_qkvz,2,model.layers.0.linear_attn.in_proj_qkvz,aten.mm.default,[model.layers.0.linear_attn.in_proj_qkvz.weight],prefill,False
3,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,in_proj_ba,,matmul,"[[T, d_model], [d_model, 2*n_h_lin_v]]","[2*n_h_lin_v, d_model]","[[T, 2*n_h_lin_v]]",[1],0,linear_attn,in_proj_ba,2,model.layers.0.linear_attn.in_proj_ba,aten.mm.default,[model.layers.0.linear_attn.in_proj_ba.weight],prefill,False
4,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,concat,"[[B, T, d_model], [B, T, d_model], [B, T, n_h*d_head]]",,"[[B, T, 4*d_model]]",[2],0,linear_attn,,1,model.layers.0.linear_attn,aten.cat.default,[],prefill,False
5,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,conv1d,,conv1d,"[[B, 4*d_model, T], [4*d_model, B, d_conv_lin]]","[4*d_model, B, d_conv_lin]","[[B, 4*d_model, 2*k]]",[4],0,linear_attn,conv1d,2,model.layers.0.linear_attn.conv1d,aten.convolution.default,[model.layers.0.linear_attn.conv1d.weight],prefill,False
6,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,silu,"[[B, 4*d_model, T]]",,"[[B, 4*d_model, T]]",[5],0,linear_attn,,1,model.layers.0.linear_attn,aten.silu.default,[],prefill,False
7,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,sigmoid,"[[B, T, n_h_lin_v]]",,"[[B, T, n_h_lin_v]]",[3],0,linear_attn,,1,model.layers.0.linear_attn,aten.sigmoid.default,[],prefill,False
8,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,exp,[[n_h_lin_v]],,[[n_h_lin_v]],[],0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[model.layers.0.linear_attn.A_log],prefill,False
9,attn+MoE,36,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38,40-42,44-46",linear_attn,,,exp,"[[B, n_h_lin_v, B, 2*n_h_lin_v, 2*n_h_lin_v]]",,"[[B, n_h_lin_v, B, 2*n_h_lin_v, 2*n_h_lin_v]]","[3, 8]",0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[],prefill,False
