op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,1,model,aten.unsqueeze.default,[],decode,True
2,model,,expand,"[[B, 1, 1]]",,,"[[4, B, 1]]",[1],,other,,1,model,aten.expand.default,[],decode,True
3,model,,select,"[[4, B, 1]]",,,"[[B, 1]]",[2],,other,,1,model,aten.select.int,[],decode,True
4,model,,slice,"[[4, B, 1]]",,,"[[3, B, 1]]",[2],,other,,1,model,aten.slice.Tensor,[],decode,True
5,model,rotary_emb,unsqueeze,[[d_rope/2]],,,"[[B, d_rope/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],decode,True
6,model,rotary_emb,unsqueeze,"[[B, d_rope/2]]",,,"[[B, 1, d_rope/2]]",[5],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
7,model,rotary_emb,unsqueeze,"[[B, 1, d_rope/2]]",,,"[[B, 1, d_rope/2, 1]]",[6],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
8,model,rotary_emb,expand,"[[B, 1, d_rope/2, 1]]",,,"[[3, B, d_rope/2, 1]]",[7],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
9,model,rotary_emb,unsqueeze,"[[3, B, 1]]",,,"[[3, B, 1, 1]]",[4],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
10,model,rotary_emb,_to_copy,"[[3, B, 1, 1]]",,,"[[3, B, 1, 1]]",[9],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
11,model,rotary_emb,expand,"[[3, B, d_rope/2, 1]]",,,"[[3, B, d_rope/2, 1]]",[8],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
12,model,rotary_emb,view,"[[3, B, d_rope/2, 1]]",,,"[[3, d_rope/2, B]]",[11],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
13,model,rotary_emb,expand,"[[3, B, 1, 1]]",,,"[[3, B, 1, 1]]",[10],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
14,model,rotary_emb,view,"[[3, B, 1, 1]]",,,"[[3, B, 1]]",[13],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
15,model,rotary_emb,batched_matmul,"[[3, d_rope/2, B], [3, B, 1]]",,,"[[3, d_rope/2, B]]","[12, 14]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
16,model,rotary_emb,_unsafe_view,"[[3, d_rope/2, B]]",,,"[[3, B, d_rope/2, 1]]",[15],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
17,model,rotary_emb,transpose,"[[3, B, d_rope/2, 1]]",,,"[[3, B, 1, d_rope/2]]",[16],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
18,model,rotary_emb,select,"[[3, B, 1, d_rope/2]]",,,"[[B, 1, d_rope/2]]",[17],,other,,2,model.rotary_emb,aten.select.int,[],decode,True
19,model,rotary_emb,select,"[[3, B, 1, d_rope/2]]",,,"[[B, 1, d_rope/2]]",[17],,other,,2,model.rotary_emb,aten.select.int,[],decode,True
20,model,rotary_emb,slice,"[[B, 1, d_rope/2]]",,,"[[B, 1, 11]]",[19],,other,,2,model.rotary_emb,aten.slice.Tensor,[],decode,True
21,model,rotary_emb,slice,"[[B, 1, d_rope/2]]",,,"[[B, 1, 11]]",[18],,other,,2,model.rotary_emb,aten.slice.Tensor,[],decode,True
22,model,rotary_emb,copy_,"[[B, 1, 11], [B, 1, 11]]",,,"[[B, 1, 11]]","[20, 21]",,other,,2,model.rotary_emb,aten.copy_.default,[],decode,True
23,model,rotary_emb,select,"[[3, B, 1, d_rope/2]]",,,"[[B, 1, d_rope/2]]",[17],,other,,2,model.rotary_emb,aten.select.int,[],decode,True
24,model,rotary_emb,slice,"[[B, 1, d_rope/2]]",,,"[[B, 1, 10]]",[23],,other,,2,model.rotary_emb,aten.slice.Tensor,[],decode,True
25,model,rotary_emb,slice,"[[B, 1, d_rope/2]]",,,"[[B, 1, 10]]",[18],,other,,2,model.rotary_emb,aten.slice.Tensor,[],decode,True
