op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",input_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.input_layernorm.weight],decode,False
2,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_qkv,,matmul,"[[B, d_model], [d_model, 2*n_h*d_head]]","[2*n_h*d_head, d_model]",1,"[[B, 2*n_h*d_head]]",[1],0,linear_attn,in_proj_qkv,2,model.layers.0.linear_attn.in_proj_qkv,aten.mm.default,[model.layers.0.linear_attn.in_proj_qkv.weight],decode,False
3,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_z,,matmul,"[[B, d_model], [d_model, n_v*d_v]]","[n_v*d_v, d_model]",1,"[[B, n_v*d_v]]",[1],0,linear_attn,in_proj_z,2,model.layers.0.linear_attn.in_proj_z,aten.mm.default,[model.layers.0.linear_attn.in_proj_z.weight],decode,False
4,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_b,,matmul,"[[B, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[B, n_h_lin_v]]",[1],0,linear_attn,in_proj_b,2,model.layers.0.linear_attn.in_proj_b,aten.mm.default,[model.layers.0.linear_attn.in_proj_b.weight],decode,False
5,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_a,,matmul,"[[B, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[B, n_h_lin_v]]",[1],0,linear_attn,in_proj_a,2,model.layers.0.linear_attn.in_proj_a,aten.mm.default,[model.layers.0.linear_attn.in_proj_a.weight],decode,False
6,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,conv1d,"[[B, 2*n_h*d_head, 5], [2*n_h*d_head, B, d_conv_lin]]",,,"[[B, 2*n_h*d_head, n_v/n_k]]",[2],0,linear_attn,,1,model.layers.0.linear_attn,aten.convolution.default,[],decode,False
7,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,silu,"[[B, 2*n_h*d_head, 1]]",,,"[[B, 2*n_h*d_head, 1]]",[6],0,linear_attn,,1,model.layers.0.linear_attn,aten.silu.default,[],decode,False
8,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,sigmoid,"[[B, 1, n_h_lin_v]]",,,"[[B, 1, n_h_lin_v]]",[4],0,linear_attn,,1,model.layers.0.linear_attn,aten.sigmoid.default,[],decode,False
9,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,exp,[[n_h_lin_v]],,,[[n_h_lin_v]],[],0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[model.layers.0.linear_attn.A_log],decode,False
10,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,exp,"[[B, n_h_lin_v]]",,,"[[B, n_h_lin_v]]","[5, 9]",0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[],decode,False
11,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,norm,,rmsnorm,"[[n_h_lin_v, d_head_lin_k]]",[d_head_lin_k],-1,"[[n_h_lin_v, d_head_lin_k]]",[3],0,linear_attn,norm,2,model.layers.0.linear_attn.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul+_to_copy+silu+mul+_to_copy,[model.layers.0.linear_attn.norm.weight],decode,False
12,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,out_proj,,matmul,"[[B, n_v*d_v], [n_v*d_v, d_model]]","[d_model, n_v*d_v]",1,"[[B, d_model]]",[11],0,linear_attn,out_proj,2,model.layers.0.linear_attn.out_proj,aten.mm.default,[model.layers.0.linear_attn.out_proj.weight],decode,False
13,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 12]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
14,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",post_attention_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[13],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.post_attention_layernorm.weight],decode,False
15,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,shared_expert,gate_proj,matmul,"[[B, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[B, d_moe]]",[14],0,mlp,shared_expert,3,model.layers.0.mlp.shared_expert.gate_proj,aten.mm.default,[model.layers.0.mlp.shared_expert.gate_proj.weight],decode,False
16,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,shared_expert,act_fn,silu,"[[B, d_moe]]",,,"[[B, d_moe]]",[15],0,mlp,shared_expert,3,model.layers.0.mlp.shared_expert.act_fn,aten.silu.default,[],decode,False
17,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,shared_expert,up_proj,matmul,"[[B, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[B, d_moe]]",[14],0,mlp,shared_expert,3,model.layers.0.mlp.shared_expert.up_proj,aten.mm.default,[model.layers.0.mlp.shared_expert.up_proj.weight],decode,False
18,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,shared_expert,,elementwise_mul,"[[B, d_moe], [B, d_moe]]",,,"[[B, d_moe]]","[16, 17]",0,mlp,shared_expert,2,model.layers.0.mlp.shared_expert,aten.mul.Tensor,[],decode,False
19,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,shared_expert,down_proj,matmul,"[[B, d_moe], [d_moe, d_model]]","[d_model, d_moe]",1,"[[B, d_model]]",[18],0,mlp,shared_expert,3,model.layers.0.mlp.shared_expert.down_proj,aten.mm.default,[model.layers.0.mlp.shared_expert.down_proj.weight],decode,False
20,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,gate,,matmul,"[[B, d_model], [d_model, E]]","[E, d_model]",1,"[[B, E]]",[14],0,mlp,gate,2,model.layers.0.mlp.gate,aten.mm.default,[model.layers.0.mlp.gate.weight],decode,False
21,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,gate,,softmax,"[[B, E]]",,,"[[B, E]]",[20],0,mlp,gate,2,model.layers.0.mlp.gate,aten._softmax.default,[],decode,False
22,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,experts,,grouped_matmul,"[[k, d_model], [E, d_model, 2*d_moe], [E]]","[E, 2*d_moe, d_model]",1,"[[k, 2*d_moe]]","[14, 21]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.gate_up_proj],decode,False
23,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,experts,act_fn,silu,"[[k, d_moe]]",,,"[[k, d_moe]]",[22],0,mlp,experts,3,model.layers.0.mlp.experts.act_fn,aten.silu.default,[],decode,False
24,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,experts,,elementwise_mul,"[[k, d_moe], [k, d_moe]]",,,"[[k, d_moe]]","[22, 23]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False
25,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,experts,,grouped_matmul,"[[k, d_moe], [E, d_moe, d_model], [E]]","[E, d_model, d_moe]",1,"[[k, d_model]]","[21, 24]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.down_proj],decode,False
26,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,experts,,elementwise_mul,"[[k, d_model], [k, B]]",,,"[[k, d_model]]","[21, 25]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False
27,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,experts,,sum,"[[B, k, d_model]]",,,"[[B, d_model]]","[21, 26]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.sum.dim_IntList,[],decode,True
28,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,shared_expert_gate,,matmul,"[[B, d_model], [d_model, B]]","[1, d_model]",1,"[[B, 1]]",[14],0,mlp,shared_expert_gate,2,model.layers.0.mlp.shared_expert_gate,aten.mm.default,[model.layers.0.mlp.shared_expert_gate.weight],decode,False
29,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",mlp,,,sigmoid,"[[B, 1]]",,,"[[B, 1]]",[28],0,mlp,,1,model.layers.0.mlp,aten.sigmoid.default,[],decode,False
