op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,1,model,aten.unsqueeze.default,[],decode,True
2,model,,,expand,"[[B, 1, 1]]",,,"[[4, B, 1]]",[1],,other,,1,model,aten.expand.default,[],decode,True
3,model,,,select,"[[4, B, 1]]",,,"[[B, 1]]",[2],,other,,1,model,aten.select.int,[],decode,True
4,model,,,slice,"[[4, B, 1]]",,,"[[3, B, 1]]",[2],,other,,1,model,aten.slice.Tensor,[],decode,True
5,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
6,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
7,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
8,model,,,elementwise_add,[[B]],,,[[B]],[7],,other,,1,model,aten.add.Tensor,[],decode,False
9,model,,,arange,[],,,[[T+1]],[],,other,,1,model,aten.arange.default,[],decode,True
10,model,,,elementwise_add,[[T+1]],,,[[T+1]],[9],,other,,1,model,aten.add.Tensor,[],decode,False
11,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[5],,other,,1,model,aten.unsqueeze.default,[],decode,True
12,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],decode,True
13,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[12],,other,,1,model,aten.unsqueeze.default,[],decode,True
14,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[6],,other,,1,model,aten.unsqueeze.default,[],decode,True
15,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],decode,True
16,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[15],,other,,1,model,aten.unsqueeze.default,[],decode,True
17,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],decode,True
18,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[17],,other,,1,model,aten.unsqueeze.default,[],decode,True
19,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[18],,other,,1,model,aten.unsqueeze.default,[],decode,True
20,model,,,unsqueeze,[[T+1]],,,"[[B, T+1]]",[10],,other,,1,model,aten.unsqueeze.default,[],decode,True
21,model,,,unsqueeze,"[[B, T+1]]",,,"[[B, 1, T+1]]",[20],,other,,1,model,aten.unsqueeze.default,[],decode,True
22,model,,,unsqueeze,"[[B, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[21],,other,,1,model,aten.unsqueeze.default,[],decode,True
23,model,,,le,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[19, 22]",,other,,1,model,aten.le.Tensor,[],decode,True
24,model,,,expand,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[23],,other,,1,model,aten.expand.default,[],decode,True
25,model,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],decode,True
26,model,,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[24, 25]",,other,,1,model,aten.where.self,[],decode,True
27,model,rotary_emb,,unsqueeze,[[d_rope/2]],,,"[[B, d_rope/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],decode,True
28,model,rotary_emb,,unsqueeze,"[[B, d_rope/2]]",,,"[[B, 1, d_rope/2]]",[27],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
29,model,rotary_emb,,unsqueeze,"[[B, 1, d_rope/2]]",,,"[[B, 1, d_rope/2, 1]]",[28],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
30,model,rotary_emb,,expand,"[[B, 1, d_rope/2, 1]]",,,"[[3, B, d_rope/2, 1]]",[29],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
31,model,rotary_emb,,unsqueeze,"[[3, B, 1]]",,,"[[3, 1, 1, 1]]",[4],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
