op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_qkv,,matmul,"[[T, d_model], [d_model, 2*n_h*d_head]]","[2*n_h*d_head, d_model]",1,"[[T, 2*n_h*d_head]]",[1],0,linear_attn,in_proj_qkv,2,model.layers.0.linear_attn.in_proj_qkv,aten.mm.default,[model.layers.0.linear_attn.in_proj_qkv.weight],prefill,False
3,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_z,,matmul,"[[T, d_model], [d_model, n_v*d_v]]","[n_v*d_v, d_model]",1,"[[T, n_v*d_v]]",[1],0,linear_attn,in_proj_z,2,model.layers.0.linear_attn.in_proj_z,aten.mm.default,[model.layers.0.linear_attn.in_proj_z.weight],prefill,False
4,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_b,,matmul,"[[T, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[T, n_h_lin_v]]",[1],0,linear_attn,in_proj_b,2,model.layers.0.linear_attn.in_proj_b,aten.mm.default,[model.layers.0.linear_attn.in_proj_b.weight],prefill,False
5,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,in_proj_a,,matmul,"[[T, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[T, n_h_lin_v]]",[1],0,linear_attn,in_proj_a,2,model.layers.0.linear_attn.in_proj_a,aten.mm.default,[model.layers.0.linear_attn.in_proj_a.weight],prefill,False
6,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,conv1d,,conv1d,"[[B, 2*n_h*d_head, T], [2*n_h*d_head, 1, d_conv_lin]]","[2*n_h*d_head, 1, d_conv_lin]",1,"[[B, 2*n_h*d_head, n_h+2*n_kv]]",[2],0,linear_attn,conv1d,2,model.layers.0.linear_attn.conv1d,aten.convolution.default,[model.layers.0.linear_attn.conv1d.weight],prefill,False
7,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,silu,"[[B, 2*n_h*d_head, T]]",,,"[[B, 2*n_h*d_head, T]]",[6],0,linear_attn,,1,model.layers.0.linear_attn,aten.silu.default,[],prefill,False
8,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,sigmoid,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[4],0,linear_attn,,1,model.layers.0.linear_attn,aten.sigmoid.default,[],prefill,False
9,attn+MoE,30,"0-2,4-6,8-10,12-14,16-18,20-22,24-26,28-30,32-34,36-38",linear_attn,,,exp,[[n_h_lin_v]],,,[[n_h_lin_v]],[],0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[model.layers.0.linear_attn.A_log],prefill,False
