op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,,,embedding,"[[V, d_model], [B, B]]","[V, d_model]","[[B, B, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",input_layernorm,,,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.0.input_layernorm.weight],decode,False
2,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,in_proj,,,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]","[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[1],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.mm.default,[model.layers.0.mamba.in_proj.weight],decode,False
3,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,act,,,,silu,"[[B, d_inner+2*n_g*d_state]]",,"[[B, d_inner+2*n_g*d_state]]",[2],0,mamba,act,2,model.layers.0.mamba.act,aten.silu.default,[],decode,False
4,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,[[d_head_ssm]],,[[d_head_ssm]],[],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[model.layers.0.mamba.A_log],decode,False
5,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,"[[B, d_head_ssm, n_h_ssm, d_state]]",,"[[B, d_head_ssm, n_h_ssm, d_state]]","[2, 4]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],decode,False
6,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,batched_matmul,"[[d_head_ssm, n_h_ssm, d_state], [d_head_ssm, d_state, B]]",,"[[d_head_ssm, n_h_ssm, B]]","[2, 3, 5]",0,mamba,,1,model.layers.0.mamba,aten.bmm.default,[],decode,False
7,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,norm,,,,rmsnorm,"[[B, B, d_inner]]",[d_inner],"[[B, B, d_inner]]","[2, 3, 6]",0,mamba,norm,2,model.layers.0.mamba.norm,silu+mul+view+pow+mean+add+rsqrt+mul+view+mul,[model.layers.0.mamba.norm.weight],decode,False
8,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,out_proj,,,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]","[[B, d_model]]",[7],0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten.mm.default,[model.layers.0.mamba.out_proj.weight],decode,False
9,block,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",,,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
10,attn+FFN,1,5,shared_transformer,,,,,concat,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_attn]]","[0, 9]",5,shared_transformer,,1,model.layers.5.shared_transformer,aten.cat.default,[],decode,False
11,attn+FFN,1,5,shared_transformer,input_layernorm,,,,rmsnorm,"[[B, B, d_attn]]",[d_attn],"[[B, B, d_attn]]",[10],5,shared_transformer,input_layernorm,2,model.layers.5.shared_transformer.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.5.shared_transformer.input_layernorm.weight],decode,False
12,attn+FFN,1,5,shared_transformer,self_attn,q_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[11],5,shared_transformer,self_attn,3,model.layers.5.shared_transformer.self_attn.q_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.q_proj.weight],decode,False
13,attn+FFN,1,5,shared_transformer,self_attn,k_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[11],5,shared_transformer,self_attn,3,model.layers.5.shared_transformer.self_attn.k_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.k_proj.weight],decode,False
14,attn+FFN,1,5,shared_transformer,self_attn,v_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[11],5,shared_transformer,self_attn,3,model.layers.5.shared_transformer.self_attn.v_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.v_proj.weight],decode,False
15,attn+FFN,1,5,shared_transformer,self_attn,linear_q_adapter_list,0,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[11],5,shared_transformer,self_attn,5,model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.0.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.0.0.weight],decode,False
16,attn+FFN,1,5,shared_transformer,self_attn,linear_q_adapter_list,0,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[15],5,shared_transformer,self_attn,5,model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.0.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.0.1.weight],decode,False
17,attn+FFN,1,5,shared_transformer,self_attn,linear_k_adapter_list,0,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[11],5,shared_transformer,self_attn,5,model.layers.5.shared_transformer.self_attn.linear_k_adapter_list.0.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_k_adapter_list.0.0.weight],decode,False
18,attn+FFN,1,5,shared_transformer,self_attn,linear_k_adapter_list,0,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[17],5,shared_transformer,self_attn,5,model.layers.5.shared_transformer.self_attn.linear_k_adapter_list.0.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_k_adapter_list.0.1.weight],decode,False
19,attn+FFN,1,5,shared_transformer,self_attn,linear_v_adapter_list,0,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[11],5,shared_transformer,self_attn,5,model.layers.5.shared_transformer.self_attn.linear_v_adapter_list.0.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_v_adapter_list.0.0.weight],decode,False
20,attn+FFN,1,5,shared_transformer,self_attn,linear_v_adapter_list,0,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[19],5,shared_transformer,self_attn,5,model.layers.5.shared_transformer.self_attn.linear_v_adapter_list.0.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_v_adapter_list.0.1.weight],decode,False
21,attn+FFN,1,5,shared_transformer,self_attn,,,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,"[[n_h, B, T+1]]","[12, 13, 16, 18]",5,shared_transformer,self_attn,2,model.layers.5.shared_transformer.self_attn,aten.bmm.default,[],decode,False
22,attn+FFN,1,5,shared_transformer,self_attn,,,,softmax,"[[B, n_h, B, T+1]]",,"[[B, n_h, B, T+1]]",[21],5,shared_transformer,self_attn,2,model.layers.5.shared_transformer.self_attn,aten._safe_softmax.default,[],decode,False
23,attn+FFN,1,5,shared_transformer,self_attn,,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,"[[n_h, B, d_head]]","[14, 20, 22]",5,shared_transformer,self_attn,2,model.layers.5.shared_transformer.self_attn,aten.bmm.default,[],decode,False
24,attn+FFN,1,5,shared_transformer,self_attn,o_proj,,,matmul,"[[B, d_attn], [d_attn, d_model]]","[d_model, d_attn]","[[B, d_model]]",[23],5,shared_transformer,self_attn,3,model.layers.5.shared_transformer.self_attn.o_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.o_proj.weight],decode,False
25,attn+FFN,1,5,shared_transformer,pre_ff_layernorm,,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[24],5,shared_transformer,pre_ff_layernorm,2,model.layers.5.shared_transformer.pre_ff_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.5.shared_transformer.pre_ff_layernorm.weight],decode,False
26,attn+FFN,1,5,shared_transformer,feed_forward,gate_up_proj,,,matmul,"[[B, d_model], [d_model, 2*d_ff]]","[2*d_ff, d_model]","[[B, 2*d_ff]]",[25],5,shared_transformer,feed_forward,3,model.layers.5.shared_transformer.feed_forward.gate_up_proj,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.gate_up_proj.weight],decode,False
27,attn+FFN,1,5,shared_transformer,feed_forward,gate_up_proj_adapter_list,0,0,matmul,"[[B, d_model], [d_model, r_lora]]","[r_lora, d_model]","[[B, r_lora]]",[25],5,shared_transformer,feed_forward,5,model.layers.5.shared_transformer.feed_forward.gate_up_proj_adapter_list.0.0,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.gate_up_proj_adapter_list.0.0.weight],decode,False
28,attn+FFN,1,5,shared_transformer,feed_forward,gate_up_proj_adapter_list,0,1,matmul,"[[B, r_lora], [r_lora, 2*d_ff]]","[2*d_ff, r_lora]","[[B, 2*d_ff]]",[27],5,shared_transformer,feed_forward,5,model.layers.5.shared_transformer.feed_forward.gate_up_proj_adapter_list.0.1,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.gate_up_proj_adapter_list.0.1.weight],decode,False
29,attn+FFN,1,5,shared_transformer,feed_forward,,,,elementwise_add,"[[B, B, 2*d_ff], [B, B, 2*d_ff]]",,"[[B, B, 2*d_ff]]","[26, 28]",5,shared_transformer,feed_forward,2,model.layers.5.shared_transformer.feed_forward,aten.add.Tensor,[],decode,False
30,attn+FFN,1,5,shared_transformer,feed_forward,act_fn,,,gelu,"[[B, B, d_ff]]",,"[[B, B, d_ff]]",[29],5,shared_transformer,feed_forward,3,model.layers.5.shared_transformer.feed_forward.act_fn,aten.gelu.default,[],decode,False
31,attn+FFN,1,5,shared_transformer,feed_forward,,,,elementwise_mul,"[[B, B, d_ff], [B, B, d_ff]]",,"[[B, B, d_ff]]","[29, 30]",5,shared_transformer,feed_forward,2,model.layers.5.shared_transformer.feed_forward,aten.mul.Tensor,[],decode,False
32,attn+FFN,1,5,shared_transformer,feed_forward,down_proj,,,matmul,"[[B, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[B, d_model]]",[31],5,shared_transformer,feed_forward,3,model.layers.5.shared_transformer.feed_forward.down_proj,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.down_proj.weight],decode,False
33,attn+FFN,1,5,linear,,,,,matmul,"[[B, d_model], [d_model, d_model]]","[d_model, d_model]","[[B, d_model]]",[32],5,linear,,1,model.layers.5.linear,aten.mm.default,[model.layers.5.linear.weight],decode,False
34,attn+FFN,1,5,mamba_decoder,,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[9, 33]",5,mamba_decoder,,1,model.layers.5.mamba_decoder,aten.add.Tensor,[],decode,False
35,attn+FFN,1,5,mamba_decoder,input_layernorm,,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[34],5,mamba_decoder,input_layernorm,2,model.layers.5.mamba_decoder.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.5.mamba_decoder.input_layernorm.weight],decode,False
36,attn+FFN,1,5,mamba_decoder,mamba,in_proj,,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]","[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[35],5,mamba_decoder,mamba,3,model.layers.5.mamba_decoder.mamba.in_proj,aten.mm.default,[model.layers.5.mamba_decoder.mamba.in_proj.weight],decode,False
37,attn+FFN,1,5,mamba_decoder,mamba,act,,,silu,"[[B, d_inner+2*n_g*d_state]]",,"[[B, d_inner+2*n_g*d_state]]",[36],5,mamba_decoder,mamba,3,model.layers.5.mamba_decoder.mamba.act,aten.silu.default,[],decode,False
