op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,,,,,clone,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],,other,,1,model,aten.clone.default,[],decode,True
2,model,rotary_emb,,,,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],decode,True
3,model,rotary_emb,,,,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[2],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
4,model,rotary_emb,,,,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[3],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
5,model,rotary_emb,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
6,model,rotary_emb,,,,_to_copy,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[5],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
7,model,rotary_emb,,,,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[4],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
8,model,rotary_emb,,,,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[7],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
9,model,rotary_emb,,,,expand,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[6],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
10,model,rotary_emb,,,,view,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[9],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
11,model,rotary_emb,,,,batched_matmul,"[[B, d_head/2, 1], [B, 1, 1]]",,,"[[B, d_head/2, 1]]","[8, 10]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
12,model,rotary_emb,,,,_unsafe_view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[11],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
13,model,rotary_emb,,,,transpose,"[[B, d_head/2, 1]]",,,"[[B, 1, d_head/2]]",[12],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
14,model,rotary_emb,,,,concat,"[[B, 1, d_head/2], [B, 1, d_head/2]]",,,"[[B, 1, d_head]]",[13],,other,,2,model.rotary_emb,aten.cat.default,[],decode,False
15,model,rotary_emb,,,,cos,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[14],,other,,2,model.rotary_emb,aten.cos.default,[],decode,False
16,model,rotary_emb,,,,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[15],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
17,model,rotary_emb,,,,sin,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[14],,other,,2,model.rotary_emb,aten.sin.default,[],decode,False
18,model,rotary_emb,,,,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[17],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
19,input_layernorm,,,,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],decode,False
20,input_layernorm,,,,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[19],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],decode,False
21,input_layernorm,,,,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[20],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],decode,False
22,input_layernorm,,,,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[21],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.rsqrt.default,[],decode,False
23,input_layernorm,,,,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[0, 22]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],decode,False
24,input_layernorm,,,,,elementwise_mul,"[[d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]",[23],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[model.layers.0.input_layernorm.weight],decode,False
25,mamba,in_proj,,,,t,"[[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",0,"[[d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.t.default,[model.layers.0.mamba.in_proj.weight],decode,True
26,mamba,in_proj,,,,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[24],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.view.default,[],decode,True
27,mamba,in_proj,,,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[25, 26]",0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.mm.default,[model.layers.0.mamba.in_proj.weight],decode,False
28,mamba,in_proj,,,,_unsafe_view,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, 1, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[27],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten._unsafe_view.default,[],decode,True
29,mamba,,,,,split_with_sizes,"[[B, 1, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, 1, 0], [B, 1, 0], [B, 1, d_inner], [B, 1, d_inner+2*n_g*d_state], [B, 1, d_head_ssm]]",[28],0,mamba,,1,model.layers.0.mamba,aten.split_with_sizes.default,[],decode,True
30,mamba,,,,,transpose,"[[B, 1, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state, 1]]",[29],0,mamba,,1,model.layers.0.mamba,aten.transpose.int,[],decode,True
31,mamba,,,,,concat,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, 1]]",,,"[[B, d_inner+2*n_g*d_state, 5]]",[30],0,mamba,,1,model.layers.0.mamba,aten.cat.default,[],decode,False
32,mamba,,,,,slice,"[[B, d_inner+2*n_g*d_state, 5]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[31],0,mamba,,1,model.layers.0.mamba,aten.slice.Tensor,[],decode,True
33,mamba,,,,,copy_,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[32],0,mamba,,1,model.layers.0.mamba,aten.copy_.default,[],decode,True
34,mamba,,,,,slice,"[[B, d_inner+2*n_g*d_state, 5]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[31],0,mamba,,1,model.layers.0.mamba,aten.slice.Tensor,[],decode,True
35,mamba,,,,,select,"[[d_inner+2*n_g*d_state, B, d_conv]]","[d_inner+2*n_g*d_state, 1, d_conv]",0,"[[d_inner+2*n_g*d_state, d_conv]]",[],0,mamba,,1,model.layers.0.mamba,aten.select.int,[model.layers.0.mamba.conv1d.weight],decode,True
36,mamba,,,,,elementwise_mul,"[[B, d_inner+2*n_g*d_state, d_conv], [d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]","[34, 35]",0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
37,mamba,,,,,sum,"[[B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state]]",[36],0,mamba,,1,model.layers.0.mamba,aten.sum.dim_IntList,[],decode,True
38,mamba,,,,,add_,"[[B, d_inner+2*n_g*d_state], [d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[37],0,mamba,,1,model.layers.0.mamba,aten.add_.Tensor,[model.layers.0.mamba.conv1d.bias],decode,True
39,mamba,act,,,,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[38],0,mamba,act,2,model.layers.0.mamba.act,aten.silu.default,[],decode,False
