op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,model,,,,,clone,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[0],,other,,1,model,aten.clone.default,[],prefill,True
2,model,,,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
3,model,,,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
4,model,,,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
5,model,,,,,elementwise_add,[[T]],,,[[T]],[4],,other,,1,model,aten.add.Tensor,[],prefill,False
6,model,,,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
7,model,,,,,elementwise_add,[[T]],,,[[T]],[6],,other,,1,model,aten.add.Tensor,[],prefill,False
8,model,,,,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],prefill,True
9,model,,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],prefill,True
10,model,,,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[9],,other,,1,model,aten.unsqueeze.default,[],prefill,True
11,model,,,,,unsqueeze,[[B]],,,"[[B, 1]]",[3],,other,,1,model,aten.unsqueeze.default,[],prefill,True
12,model,,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],prefill,True
13,model,,,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[12],,other,,1,model,aten.unsqueeze.default,[],prefill,True
14,model,,,,,unsqueeze,[[T]],,,"[[B, T]]",[5],,other,,1,model,aten.unsqueeze.default,[],prefill,True
15,model,,,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[14],,other,,1,model,aten.unsqueeze.default,[],prefill,True
16,model,,,,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[15],,other,,1,model,aten.unsqueeze.default,[],prefill,True
17,model,,,,,unsqueeze,[[T]],,,"[[B, T]]",[7],,other,,1,model,aten.unsqueeze.default,[],prefill,True
18,model,,,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[17],,other,,1,model,aten.unsqueeze.default,[],prefill,True
19,model,,,,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[18],,other,,1,model,aten.unsqueeze.default,[],prefill,True
20,model,,,,,le,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[16, 19]",,other,,1,model,aten.le.Tensor,[],prefill,True
21,model,,,,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[20],,other,,1,model,aten.expand.default,[],prefill,True
