op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",input_layernorm,,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,in_proj,,,,matmul,"[[T, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[T, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[1],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.mm.default,[model.layers.0.mamba.in_proj.weight],prefill,False
3,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,conv1d,,,,conv1d,"[[B, d_inner+2*n_g*d_state, T], [d_inner+2*n_g*d_state, B, d_conv], [d_inner+2*n_g*d_state]]","[d_inner+2*n_g*d_state, 1, d_conv]",1,"[[B, d_inner+2*n_g*d_state, T+d_conv-1]]",[2],0,mamba,conv1d,2,model.layers.0.mamba.conv1d,aten.convolution.default,"[model.layers.0.mamba.conv1d.bias, model.layers.0.mamba.conv1d.weight]",prefill,False
4,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,act,,,,silu,"[[B, T, d_inner+2*n_g*d_state]]",,,"[[B, T, d_inner+2*n_g*d_state]]",[3],0,mamba,act,2,model.layers.0.mamba.act,aten.silu.default,[],prefill,False
5,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,[[d_head_ssm]],,,[[d_head_ssm]],[],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[model.layers.0.mamba.A_log],prefill,False
6,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,"[[B, d_head_ssm, 1, d_chunk, d_chunk]]",,,"[[B, d_head_ssm, 1, d_chunk, d_chunk]]","[2, 5]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
7,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,"[[B, d_head_ssm, 1, d_chunk]]",,,"[[B, d_head_ssm, 1, d_chunk]]","[2, 5]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
8,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,"[[B, d_head_ssm, d_conv/2, d_conv/2]]",,,"[[B, d_head_ssm, d_conv/2, d_conv/2]]","[2, 5]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
9,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,,,,,exp,"[[B, d_head_ssm, 1, d_chunk]]",,,"[[B, d_head_ssm, 1, d_chunk]]","[2, 5]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
10,SSM,32,"0-4,6-10,12-16,18-22,24-28,30-34,36-37",mamba,norm,,,,rmsnorm,"[[B, T, d_inner]]",[d_inner],-1,"[[B, T, d_inner]]","[2, 4, 6, 7, 8, 9]",0,mamba,norm,2,model.layers.0.mamba.norm,silu+mul+view+pow+mean+add+rsqrt+mul+view+mul,[model.layers.0.mamba.norm.weight],prefill,False
