op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+FFN,32,0-31,self_attn,q_proj,matmul,"[[T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[T, n_h*d_head]]",[0],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
2,attn+FFN,32,0-31,self_attn,q_norm,rmsnorm,"[[B, T, n_h*d_head]]",[n_h*d_head],-1,"[[B, T, n_h*d_head]]",[1],0,self_attn,q_norm,2,model.layers.0.self_attn.q_norm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.self_attn.q_norm.weight],prefill,False
3,attn+FFN,32,0-31,self_attn,k_proj,matmul,"[[T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[T, n_h*d_head]]",[0],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
4,attn+FFN,32,0-31,self_attn,k_norm,rmsnorm,"[[B, T, n_h*d_head]]",[n_h*d_head],-1,"[[B, T, n_h*d_head]]",[3],0,self_attn,k_norm,2,model.layers.0.self_attn.k_norm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.self_attn.k_norm.weight],prefill,False
5,attn+FFN,32,0-31,self_attn,v_proj,matmul,"[[T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[T, n_h*d_head]]",[0],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
6,attn+FFN,32,0-31,self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]","[2, 4]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
7,attn+FFN,32,0-31,self_attn,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[6],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],prefill,False
8,attn+FFN,32,0-31,self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[5, 7]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
9,attn+FFN,32,0-31,self_attn,o_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",1,"[[T, d_model]]",[8],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
10,attn+FFN,32,0-31,post_attention_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.post_attention_layernorm.weight],prefill,False
11,attn+FFN,32,0-31,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 10]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
12,attn+FFN,32,0-31,mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[T, d_ff]]",[11],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
13,attn+FFN,32,0-31,mlp,act_fn,silu,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[12],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],prefill,False
14,attn+FFN,32,0-31,mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[T, d_ff]]",[11],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
