op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, B]]","[V, d_model]","[[B, B, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,attn+MoE,16,0-15,input_layernorm,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
2,attn+MoE,16,0-15,self_attn,q_proj,,matmul,"[[B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[B, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
3,attn+MoE,16,0-15,self_attn,q_norm,,rmsnorm,"[[B, B, n_h*d_head]]",[n_h*d_head],"[[B, B, n_h*d_head]]",[2],0,self_attn,q_norm,2,model.layers.0.self_attn.q_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_norm.weight],decode,False
4,attn+MoE,16,0-15,self_attn,k_proj,,matmul,"[[B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[B, n_h*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
5,attn+MoE,16,0-15,self_attn,k_norm,,rmsnorm,"[[B, B, n_h*d_head]]",[n_h*d_head],"[[B, B, n_h*d_head]]",[4],0,self_attn,k_norm,2,model.layers.0.self_attn.k_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.k_norm.weight],decode,False
6,attn+MoE,16,0-15,self_attn,v_proj,,matmul,"[[B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[B, n_h*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],decode,False
7,attn+MoE,16,0-15,self_attn,,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,"[[n_h, B, T+1]]","[3, 5]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
8,attn+MoE,16,0-15,self_attn,,,softmax,"[[B, n_h, B, T+1]]",,"[[B, n_h, B, T+1]]",[7],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],decode,False
9,attn+MoE,16,0-15,self_attn,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,"[[n_h, B, d_head]]","[6, 8]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
10,attn+MoE,16,0-15,self_attn,o_proj,,matmul,"[[B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]","[[B, n_h*d_head]]",[9],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
11,attn+MoE,16,0-15,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[0, 10]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
12,attn+MoE,16,0-15,post_attention_layernorm,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[11],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],decode,False
13,attn+MoE,16,0-15,mlp,gate,,matmul,"[[B, d_model], [d_model, E]]","[E, d_model]","[[B, E]]",[12],0,mlp,gate,2,model.layers.0.mlp.gate,aten.mm.default,[model.layers.0.mlp.gate.weight],decode,False
14,attn+MoE,16,0-15,mlp,gate,,softmax,"[[B, E]]",,"[[B, E]]",[13],0,mlp,gate,2,model.layers.0.mlp.gate,aten._softmax.default,[],decode,False
15,attn+MoE,16,0-15,mlp,experts,,grouped_matmul,"[[k, d_model], [E, d_model, d_model], [E]]","[E, d_model, d_model]","[[k, d_model]]","[12, 14]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.gate_up_proj],decode,False
16,attn+MoE,16,0-15,mlp,experts,act_fn,silu,"[[k, d_moe]]",,"[[k, d_moe]]",[15],0,mlp,experts,3,model.layers.0.mlp.experts.act_fn,aten.silu.default,[],decode,False
17,attn+MoE,16,0-15,mlp,experts,,elementwise_mul,"[[k, d_moe], [k, d_moe]]",,"[[k, d_moe]]","[15, 16]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False
18,attn+MoE,16,0-15,mlp,experts,,grouped_matmul,"[[k, d_moe], [E, d_moe, d_model], [E]]","[E, d_model, d_moe]","[[k, d_model]]","[14, 17]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.down_proj],decode,False
19,attn+MoE,16,0-15,mlp,experts,,elementwise_mul,"[[k, d_model], [k, B]]",,"[[k, d_model]]","[14, 18]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False
20,attn+MoE,16,0-15,mlp,experts,,sum,"[[B, k, d_model]]",,"[[B, d_model]]","[14, 19]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.sum.dim_IntList,[],decode,True
21,attn+MoE,16,0-15,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[11, 20]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
22,norm,1,,model,norm,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[21],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.norm.weight],decode,False
23,head,1,,lm_head,,,matmul,"[[B, d_model], [d_model, V]]","[V, d_model]","[[B, V]]",[22],,other,,1,lm_head,aten.mm.default,[lm_head.weight],decode,False
