op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+MoE,16,0-15,input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+MoE,16,0-15,self_attn,q_proj,,matmul,"[[T, d_model], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
3,attn+MoE,16,0-15,self_attn,q_norm,,rmsnorm,"[[B, T, n_h*d_head]]",[n_h*d_head],-1,"[[B, T, n_h*d_head]]",[2],0,self_attn,q_norm,2,model.layers.0.self_attn.q_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_norm.weight],prefill,False
4,attn+MoE,16,0-15,self_attn,k_proj,,matmul,"[[T, d_model], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
5,attn+MoE,16,0-15,self_attn,k_norm,,rmsnorm,"[[B, T, n_h*d_head]]",[n_h*d_head],-1,"[[B, T, n_h*d_head]]",[4],0,self_attn,k_norm,2,model.layers.0.self_attn.k_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.k_norm.weight],prefill,False
6,attn+MoE,16,0-15,self_attn,v_proj,,matmul,"[[T, d_model], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
7,attn+MoE,16,0-15,self_attn,,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]","[3, 5]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
8,attn+MoE,16,0-15,self_attn,,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[7],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],prefill,False
9,attn+MoE,16,0-15,self_attn,,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[6, 8]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
10,attn+MoE,16,0-15,self_attn,o_proj,,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[9],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
11,attn+MoE,16,0-15,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 10]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
12,attn+MoE,16,0-15,post_attention_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[11],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
13,attn+MoE,16,0-15,mlp,gate,,matmul,"[[T, d_model], [d_model, E]]","[E, d_model]",1,"[[T, E]]",[12],0,mlp,gate,2,model.layers.0.mlp.gate,aten.mm.default,[model.layers.0.mlp.gate.weight],prefill,False
14,attn+MoE,16,0-15,mlp,gate,,softmax,"[[T, E]]",,,"[[T, E]]",[13],0,mlp,gate,2,model.layers.0.mlp.gate,aten._softmax.default,[],prefill,False
