op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,MLA+FFN,3,0-2,input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,MLA+FFN,3,0-2,self_attn,q_a_proj,,matmul,"[[T, d_model], [d_model, c_q]]","[c_q, d_model]","[[T, c_q]]",[1],0,self_attn,q_a_proj,2,model.layers.0.self_attn.q_a_proj,aten.mm.default,[model.layers.0.self_attn.q_a_proj.weight],prefill,False
3,MLA+FFN,3,0-2,self_attn,q_a_layernorm,,rmsnorm,"[[B, T, c_q]]",[c_q],"[[B, T, c_q]]",[2],0,self_attn,q_a_layernorm,2,model.layers.0.self_attn.q_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_a_layernorm.weight],prefill,False
4,MLA+FFN,3,0-2,self_attn,q_b_proj,,matmul,"[[T, c_q], [c_q, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, c_q]","[[T, (n_h+2*n_kv)*d_head]]",[3],0,self_attn,q_b_proj,2,model.layers.0.self_attn.q_b_proj,aten.mm.default,[model.layers.0.self_attn.q_b_proj.weight],prefill,False
5,MLA+FFN,3,0-2,self_attn,kv_a_proj_with_mqa,,matmul,"[[T, d_model], [d_model, c_kv+d_rope]]","[c_kv+d_rope, d_model]","[[T, c_kv+d_rope]]",[1],0,self_attn,kv_a_proj_with_mqa,2,model.layers.0.self_attn.kv_a_proj_with_mqa,aten.mm.default,[model.layers.0.self_attn.kv_a_proj_with_mqa.weight],prefill,False
6,MLA+FFN,3,0-2,self_attn,kv_a_layernorm,,rmsnorm,"[[B, T, c_kv]]",[c_kv],"[[B, T, c_kv]]",[5],0,self_attn,kv_a_layernorm,2,model.layers.0.self_attn.kv_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_a_layernorm.weight],prefill,False
7,MLA+FFN,3,0-2,self_attn,kv_b_proj,,matmul,"[[T, c_kv], [c_kv, n_h*(d_nope+d_v)]]","[n_h*(d_nope+d_v), c_kv]","[[T, n_h*(d_nope+d_v)]]",[6],0,self_attn,kv_b_proj,2,model.layers.0.self_attn.kv_b_proj,aten.mm.default,[model.layers.0.self_attn.kv_b_proj.weight],prefill,False
8,MLA+FFN,3,0-2,self_attn,,,batched_matmul,"[[n_h, T, d_nope+d_rope], [n_h, d_nope+d_rope, T]]",,"[[n_h, T, T]]","[4, 5, 7]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
9,MLA+FFN,3,0-2,self_attn,,,softmax,"[[B, n_h, T, T]]",,"[[B, n_h, T, T]]",[8],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],prefill,False
10,MLA+FFN,3,0-2,self_attn,,,batched_matmul,"[[n_h, T, T], [n_h, T, n_kv]]",,"[[n_h, T, n_kv]]","[7, 9]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
11,MLA+FFN,3,0-2,self_attn,o_proj,,matmul,"[[T, n_h*d_v], [n_h*d_v, d_model]]","[d_model, n_h*d_v]","[[T, d_model]]",[10],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
12,MLA+FFN,3,0-2,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[0, 11]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
13,MLA+FFN,3,0-2,post_attention_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[12],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
14,MLA+FFN,3,0-2,mlp,gate_proj,,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[13],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
15,MLA+FFN,3,0-2,mlp,act_fn,,silu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[14],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],prefill,False
16,MLA+FFN,3,0-2,mlp,up_proj,,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[13],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
17,MLA+FFN,3,0-2,mlp,,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[15, 16]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
18,MLA+FFN,3,0-2,mlp,down_proj,,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[17],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
19,MLA+FFN,3,0-2,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[12, 18]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
20,MLA+MoE,3,3-5,input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[19],3,input_layernorm,,1,model.layers.3.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.input_layernorm.weight],prefill,False
21,MLA+MoE,3,3-5,self_attn,q_a_proj,,matmul,"[[T, d_model], [d_model, c_q]]","[c_q, d_model]","[[T, c_q]]",[20],3,self_attn,q_a_proj,2,model.layers.3.self_attn.q_a_proj,aten.mm.default,[model.layers.3.self_attn.q_a_proj.weight],prefill,False
22,MLA+MoE,3,3-5,self_attn,q_a_layernorm,,rmsnorm,"[[B, T, c_q]]",[c_q],"[[B, T, c_q]]",[21],3,self_attn,q_a_layernorm,2,model.layers.3.self_attn.q_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.self_attn.q_a_layernorm.weight],prefill,False
23,MLA+MoE,3,3-5,self_attn,q_b_proj,,matmul,"[[T, c_q], [c_q, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, c_q]","[[T, (n_h+2*n_kv)*d_head]]",[22],3,self_attn,q_b_proj,2,model.layers.3.self_attn.q_b_proj,aten.mm.default,[model.layers.3.self_attn.q_b_proj.weight],prefill,False
24,MLA+MoE,3,3-5,self_attn,kv_a_proj_with_mqa,,matmul,"[[T, d_model], [d_model, c_kv+d_rope]]","[c_kv+d_rope, d_model]","[[T, c_kv+d_rope]]",[20],3,self_attn,kv_a_proj_with_mqa,2,model.layers.3.self_attn.kv_a_proj_with_mqa,aten.mm.default,[model.layers.3.self_attn.kv_a_proj_with_mqa.weight],prefill,False
25,MLA+MoE,3,3-5,self_attn,kv_a_layernorm,,rmsnorm,"[[B, T, c_kv]]",[c_kv],"[[B, T, c_kv]]",[24],3,self_attn,kv_a_layernorm,2,model.layers.3.self_attn.kv_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.self_attn.kv_a_layernorm.weight],prefill,False
26,MLA+MoE,3,3-5,self_attn,kv_b_proj,,matmul,"[[T, c_kv], [c_kv, n_h*(d_nope+d_v)]]","[n_h*(d_nope+d_v), c_kv]","[[T, n_h*(d_nope+d_v)]]",[25],3,self_attn,kv_b_proj,2,model.layers.3.self_attn.kv_b_proj,aten.mm.default,[model.layers.3.self_attn.kv_b_proj.weight],prefill,False
27,MLA+MoE,3,3-5,self_attn,,,batched_matmul,"[[n_h, T, d_nope+d_rope], [n_h, d_nope+d_rope, T]]",,"[[n_h, T, T]]","[23, 24, 26]",3,self_attn,,1,model.layers.3.self_attn,aten.bmm.default,[],prefill,False
28,MLA+MoE,3,3-5,self_attn,,,softmax,"[[B, n_h, T, T]]",,"[[B, n_h, T, T]]",[27],3,self_attn,,1,model.layers.3.self_attn,aten._safe_softmax.default,[],prefill,False
29,MLA+MoE,3,3-5,self_attn,,,batched_matmul,"[[n_h, T, T], [n_h, T, n_kv]]",,"[[n_h, T, n_kv]]","[26, 28]",3,self_attn,,1,model.layers.3.self_attn,aten.bmm.default,[],prefill,False
30,MLA+MoE,3,3-5,self_attn,o_proj,,matmul,"[[T, n_h*d_v], [n_h*d_v, d_model]]","[d_model, n_h*d_v]","[[T, d_model]]",[29],3,self_attn,o_proj,2,model.layers.3.self_attn.o_proj,aten.mm.default,[model.layers.3.self_attn.o_proj.weight],prefill,False
31,MLA+MoE,3,3-5,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[19, 30]",3,,,0,model.layers.3,aten.add.Tensor,[],prefill,False
32,MLA+MoE,3,3-5,post_attention_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[31],3,post_attention_layernorm,,1,model.layers.3.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.post_attention_layernorm.weight],prefill,False
33,MLA+MoE,3,3-5,mlp,gate,,matmul,"[[T, d_model], [d_model, E]]","[E, d_model]","[[T, E]]",[32],3,mlp,gate,2,model.layers.3.mlp.gate,aten.mm.default,[model.layers.3.mlp.gate.weight],prefill,False
34,MLA+MoE,3,3-5,mlp,gate,,sigmoid,"[[T, E]]",,"[[T, E]]",[33],3,mlp,gate,2,model.layers.3.mlp.gate,aten.sigmoid.default,[],prefill,False
35,MLA+MoE,3,3-5,mlp,experts,,grouped_matmul,"[[n_h, d_model], [E, d_model, 2*d_moe], [E]]","[E, 2*d_moe, d_model]","[[n_h, 2*d_moe]]","[32, 34]",3,mlp,experts,2,model.layers.3.mlp.experts,aten._grouped_mm.default,[model.layers.3.mlp.experts.gate_up_proj],prefill,False
36,MLA+MoE,3,3-5,mlp,experts,act_fn,silu,"[[n_h, d_moe]]",,"[[n_h, d_moe]]",[35],3,mlp,experts,3,model.layers.3.mlp.experts.act_fn,aten.silu.default,[],prefill,False
37,MLA+MoE,3,3-5,mlp,experts,,elementwise_mul,"[[n_h, d_moe], [n_h, d_moe]]",,"[[n_h, d_moe]]","[35, 36]",3,mlp,experts,2,model.layers.3.mlp.experts,aten.mul.Tensor,[],prefill,False
38,MLA+MoE,3,3-5,mlp,experts,,grouped_matmul,"[[n_h, d_moe], [E, d_moe, d_model], [E]]","[E, d_model, d_moe]","[[n_h, d_model]]","[34, 37]",3,mlp,experts,2,model.layers.3.mlp.experts,aten._grouped_mm.default,[model.layers.3.mlp.experts.down_proj],prefill,False
39,MLA+MoE,3,3-5,mlp,experts,,elementwise_mul,"[[n_h, d_model], [n_h, B]]",,"[[n_h, d_model]]","[34, 38]",3,mlp,experts,2,model.layers.3.mlp.experts,aten.mul.Tensor,[],prefill,False
40,MLA+MoE,3,3-5,mlp,experts,,sum,"[[T, E, d_model]]",,"[[T, d_model]]","[34, 39]",3,mlp,experts,2,model.layers.3.mlp.experts,aten.sum.dim_IntList,[],prefill,True
41,MLA+MoE,3,3-5,mlp,shared_experts,gate_proj,matmul,"[[T, d_model], [d_model, d_moe]]","[d_moe, d_model]","[[T, d_moe]]",[32],3,mlp,shared_experts,3,model.layers.3.mlp.shared_experts.gate_proj,aten.mm.default,[model.layers.3.mlp.shared_experts.gate_proj.weight],prefill,False
42,MLA+MoE,3,3-5,mlp,shared_experts,act_fn,silu,"[[B, T, d_moe]]",,"[[B, T, d_moe]]",[41],3,mlp,shared_experts,3,model.layers.3.mlp.shared_experts.act_fn,aten.silu.default,[],prefill,False
43,MLA+MoE,3,3-5,mlp,shared_experts,up_proj,matmul,"[[T, d_model], [d_model, d_moe]]","[d_moe, d_model]","[[T, d_moe]]",[32],3,mlp,shared_experts,3,model.layers.3.mlp.shared_experts.up_proj,aten.mm.default,[model.layers.3.mlp.shared_experts.up_proj.weight],prefill,False
44,MLA+MoE,3,3-5,mlp,shared_experts,,elementwise_mul,"[[B, T, d_moe], [B, T, d_moe]]",,"[[B, T, d_moe]]","[42, 43]",3,mlp,shared_experts,2,model.layers.3.mlp.shared_experts,aten.mul.Tensor,[],prefill,False
45,MLA+MoE,3,3-5,mlp,shared_experts,down_proj,matmul,"[[T, d_moe], [d_moe, d_model]]","[d_model, d_moe]","[[T, d_model]]",[44],3,mlp,shared_experts,3,model.layers.3.mlp.shared_experts.down_proj,aten.mm.default,[model.layers.3.mlp.shared_experts.down_proj.weight],prefill,False
46,MLA+MoE,3,3-5,mlp,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[40, 45]",3,mlp,,1,model.layers.3.mlp,aten.add.Tensor,[],prefill,False
47,MLA+MoE,3,3-5,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[31, 46]",3,,,0,model.layers.3,aten.add.Tensor,[],prefill,False
48,norm,1,,model,norm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[47],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.norm.weight],prefill,False
49,head,1,,lm_head,,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]","[[T, V]]",[48],,other,,1,lm_head,aten.mm.default,[lm_head.weight],prefill,False
