op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, B]]","[V, d_model]","[[B, B, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,MLA+FFN,1,0,input_layernorm,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
2,MLA+FFN,1,0,self_attn,q_proj,,matmul,"[[B, n_h*d_v], [n_h*d_v, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, n_h*d_v]","[[B, (n_h+2*n_kv)*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
3,MLA+FFN,1,0,self_attn,kv_a_proj_with_mqa,,matmul,"[[B, n_h*d_v], [n_h*d_v, c_kv+d_rope]]","[c_kv+d_rope, n_h*d_v]","[[B, c_kv+d_rope]]",[1],0,self_attn,kv_a_proj_with_mqa,2,model.layers.0.self_attn.kv_a_proj_with_mqa,aten.mm.default,[model.layers.0.self_attn.kv_a_proj_with_mqa.weight],decode,False
4,MLA+FFN,1,0,self_attn,kv_a_layernorm,,rmsnorm,"[[B, B, c_kv]]",[c_kv],"[[B, B, c_kv]]",[3],0,self_attn,kv_a_layernorm,2,model.layers.0.self_attn.kv_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_a_layernorm.weight],decode,False
5,MLA+FFN,1,0,self_attn,kv_b_proj,,matmul,"[[B, c_kv], [c_kv, n_h*(d_nope+d_v)]]","[n_h*(d_nope+d_v), c_kv]","[[B, n_h*(d_nope+d_v)]]",[4],0,self_attn,kv_b_proj,2,model.layers.0.self_attn.kv_b_proj,aten.mm.default,[model.layers.0.self_attn.kv_b_proj.weight],decode,False
6,MLA+FFN,1,0,self_attn,,,batched_matmul,"[[n_h, B, d_nope+d_rope], [n_h, d_nope+d_rope, T+1]]",,"[[n_h, B, T+1]]","[2, 3, 5]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
7,MLA+FFN,1,0,self_attn,,,softmax,"[[B, n_h, B, T+1]]",,"[[B, n_h, B, T+1]]",[6],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],decode,False
8,MLA+FFN,1,0,self_attn,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_nope]]",,"[[n_h, B, d_nope]]","[5, 7]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
9,MLA+FFN,1,0,self_attn,o_proj,,matmul,"[[B, n_h*d_v], [n_h*d_v, n_h*d_v]]","[n_h*d_v, n_h*d_v]","[[B, n_h*d_v]]",[8],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
10,MLA+FFN,1,0,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[0, 9]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
