op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,MLA+MoE,2,0-1,attn_hc,input_norm,,,,rmsnorm,"[[B, T, n_hc*d_model]]",,,"[[B, T, n_hc*d_model]]",[0],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,pow+mean+add+rsqrt+mul,[],prefill,False
2,MLA+MoE,2,0-1,attn_hc,,,,,matmul,"[[T, n_hc*d_model], [n_hc*d_model, (2+n_hc)*n_hc]]","[(2+n_hc)*n_hc, n_hc*d_model]",1,"[[T, (2+n_hc)*n_hc]]",[1],0,attn_hc,,1,model.layers.0.attn_hc,aten.mm.default,[model.layers.0.attn_hc.fn],prefill,False
3,MLA+MoE,2,0-1,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,,"[[B, T, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],prefill,False
4,MLA+MoE,2,0-1,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,,"[[B, T, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],prefill,False
5,MLA+MoE,2,0-1,attn_hc,,,,,softmax,"[[B, T, n_hc, n_hc]]",,,"[[B, T, n_hc, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten._softmax.default,[],prefill,False
6,MLA+MoE,2,0-1,attn_hc,,,,,elementwise_mul,"[[B, T, n_hc, 1], [B, T, n_hc, d_model]]",,,"[[B, T, n_hc, d_model]]","[0, 3]",0,attn_hc,,1,model.layers.0.attn_hc,aten.mul.Tensor,[],prefill,False
7,MLA+MoE,2,0-1,attn_hc,,,,,sum,"[[B, T, n_hc, d_model]]",,,"[[B, T, d_model]]",[6],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True
8,MLA+MoE,2,0-1,input_layernorm,,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[7],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
9,MLA+MoE,2,0-1,self_attn,q_a_proj,,,,matmul,"[[T, d_model], [d_model, c_q]]","[c_q, d_model]",1,"[[T, c_q]]",[8],0,self_attn,q_a_proj,2,model.layers.0.self_attn.q_a_proj,aten.mm.default,[model.layers.0.self_attn.q_a_proj.weight],prefill,False
