op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
1,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
2,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
3,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
4,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
5,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
6,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
7,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
8,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
9,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
10,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
11,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
12,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
13,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
14,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
15,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
16,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
17,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
18,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
19,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
20,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
21,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
22,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
23,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
24,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
25,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
26,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
27,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
28,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
29,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
30,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
31,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
32,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
33,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
34,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
35,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
36,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
37,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
38,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
39,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
40,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
41,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
42,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
43,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
44,model,,,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
45,model,,,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
46,model,,,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
47,model,,,,,elementwise_add,[[T]],,,[[T]],[46],,other,,1,model,aten.add.Tensor,[],prefill,False
48,model,,,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
49,model,,,,,elementwise_add,[[T]],,,[[T]],[48],,other,,1,model,aten.add.Tensor,[],prefill,False
50,model,,,,,unsqueeze,[[B]],,,"[[B, 1]]",[44],,other,,1,model,aten.unsqueeze.default,[],prefill,True
51,model,,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[50],,other,,1,model,aten.unsqueeze.default,[],prefill,True
52,model,,,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[51],,other,,1,model,aten.unsqueeze.default,[],prefill,True
53,model,,,,,unsqueeze,[[B]],,,"[[B, 1]]",[45],,other,,1,model,aten.unsqueeze.default,[],prefill,True
54,model,,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[53],,other,,1,model,aten.unsqueeze.default,[],prefill,True
55,model,,,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[54],,other,,1,model,aten.unsqueeze.default,[],prefill,True
56,model,,,,,unsqueeze,[[T]],,,"[[B, T]]",[47],,other,,1,model,aten.unsqueeze.default,[],prefill,True
57,model,,,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[56],,other,,1,model,aten.unsqueeze.default,[],prefill,True
58,model,,,,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[57],,other,,1,model,aten.unsqueeze.default,[],prefill,True
59,model,,,,,unsqueeze,[[T]],,,"[[B, T]]",[49],,other,,1,model,aten.unsqueeze.default,[],prefill,True
60,model,,,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[59],,other,,1,model,aten.unsqueeze.default,[],prefill,True
61,model,,,,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[60],,other,,1,model,aten.unsqueeze.default,[],prefill,True
62,model,,,,,new_ones,"[[B, 1, T, 1]]",,,[[]],[58],,other,,1,model,aten.new_ones.default,[],prefill,True
63,model,,,,,sub,"[[B, 1, T, 1]]",,,"[[B, 1, T, 1]]",[58],,other,,1,model,aten.sub.Tensor,[],prefill,True
64,model,,,,,gt,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[61, 63]",,other,,1,model,aten.gt.Tensor,[],prefill,True
65,model,,,,,bitwise_and,"[[], [B, 1, T, T]]",,,"[[B, 1, T, T]]","[62, 64]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True
66,model,,,,,le,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[58, 61]",,other,,1,model,aten.le.Tensor,[],prefill,True
67,model,,,,,bitwise_and,"[[B, 1, T, T], [B, 1, T, T]]",,,"[[B, 1, T, T]]","[65, 66]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True
68,model,,,,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[67],,other,,1,model,aten.expand.default,[],prefill,True
69,model,,,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True
70,model,,,,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[68, 69]",,other,,1,model,aten.where.self,[],prefill,True
71,model,,,,,unsqueeze,"[[B, T, d_model]]",,,"[[B, T, 1, d_model]]",[43],,other,,1,model,aten.unsqueeze.default,[],prefill,True
72,model,,,,,expand,"[[B, T, 1, d_model]]",,,"[[B, T, n_hc, d_model]]",[71],,other,,1,model,aten.expand.default,[],prefill,True
