op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,MLA+MoE,2,0-1,attn_hc,input_norm,,,,rmsnorm,"[[B, T, 4*d_model]]",,"[[B, T, 4*d_model]]",[0],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,pow+mean+add+rsqrt+mul,[],prefill,False
2,MLA+MoE,2,0-1,attn_hc,,,,,matmul,"[[T, 4*d_model], [4*d_model, 3*g_o]]","[3*g_o, 4*d_model]","[[T, 3*g_o]]",[1],0,attn_hc,,1,model.layers.0.attn_hc,aten.mm.default,[model.layers.0.attn_hc.fn],prefill,False
3,MLA+MoE,2,0-1,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],prefill,False
4,MLA+MoE,2,0-1,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],prefill,False
5,MLA+MoE,2,0-1,attn_hc,,,,,softmax,"[[B, T, n_hc, n_hc]]",,"[[B, T, n_hc, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten._softmax.default,[],prefill,False
6,MLA+MoE,2,0-1,input_layernorm,,,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]","[0, 3]",0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
7,MLA+MoE,2,0-1,self_attn,q_a_proj,,,,matmul,"[[T, n_h*d_head/g_o], [n_h*d_head/g_o, c_q]]","[c_q, n_h*d_head/g_o]","[[T, c_q]]",[6],0,self_attn,q_a_proj,2,model.layers.0.self_attn.q_a_proj,aten.mm.default,[model.layers.0.self_attn.q_a_proj.weight],prefill,False
8,MLA+MoE,2,0-1,self_attn,q_a_norm,,,,rmsnorm,"[[B, T, c_q]]",[c_q],"[[B, T, c_q]]",[7],0,self_attn,q_a_norm,2,model.layers.0.self_attn.q_a_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_a_norm.weight],prefill,False
9,MLA+MoE,2,0-1,self_attn,q_b_proj,,,,matmul,"[[T, c_q], [c_q, n_h*d_head]]","[n_h*d_head, c_q]","[[T, n_h*d_head]]",[8],0,self_attn,q_b_proj,2,model.layers.0.self_attn.q_b_proj,aten.mm.default,[model.layers.0.self_attn.q_b_proj.weight],prefill,False
10,MLA+MoE,2,0-1,self_attn,q_b_norm,,,,rmsnorm,"[[B, n_h, T, d_head]]",,"[[B, n_h, T, d_head]]",[9],0,self_attn,q_b_norm,2,model.layers.0.self_attn.q_b_norm,_to_copy+pow+mean+add+rsqrt+_to_copy+mul,[],prefill,False
11,MLA+MoE,2,0-1,self_attn,kv_proj,,,,matmul,"[[T, n_h*d_head/g_o], [n_h*d_head/g_o, d_head]]","[d_head, n_h*d_head/g_o]","[[T, d_head]]",[6],0,self_attn,kv_proj,2,model.layers.0.self_attn.kv_proj,aten.mm.default,[model.layers.0.self_attn.kv_proj.weight],prefill,False
12,MLA+MoE,2,0-1,self_attn,kv_norm,,,,rmsnorm,"[[B, T, d_head]]",[d_head],"[[B, T, d_head]]",[11],0,self_attn,kv_norm,2,model.layers.0.self_attn.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_norm.weight],prefill,False
13,MLA+MoE,2,0-1,self_attn,,,,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,"[[n_h, T, T]]","[10, 12]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
