op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,MLA+MoE,2,0-1,attn_hc,input_norm,,,,rmsnorm,"[[B, 1, n_hc*d_model]]",,,"[[B, 1, n_hc*d_model]]",[0],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,pow+mean+add+rsqrt+mul,[],decode,False
2,MLA+MoE,2,0-1,attn_hc,,,,,matmul,"[[B, n_hc*d_model], [n_hc*d_model, (2+n_hc)*n_hc]]","[(2+n_hc)*n_hc, n_hc*d_model]",1,"[[B, (2+n_hc)*n_hc]]",[1],0,attn_hc,,1,model.layers.0.attn_hc,aten.mm.default,[model.layers.0.attn_hc.fn],decode,False
3,MLA+MoE,2,0-1,attn_hc,,,,,sigmoid,"[[B, 1, n_hc]]",,,"[[B, 1, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],decode,False
4,MLA+MoE,2,0-1,attn_hc,,,,,sigmoid,"[[B, 1, n_hc]]",,,"[[B, 1, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],decode,False
5,MLA+MoE,2,0-1,attn_hc,,,,,softmax,"[[B, 1, n_hc, n_hc]]",,,"[[B, 1, n_hc, n_hc]]",[2],0,attn_hc,,1,model.layers.0.attn_hc,aten._softmax.default,[],decode,False
6,MLA+MoE,2,0-1,attn_hc,,,,,elementwise_mul,"[[B, 1, n_hc, 1], [B, 1, n_hc, d_model]]",,,"[[B, 1, n_hc, d_model]]","[0, 3]",0,attn_hc,,1,model.layers.0.attn_hc,aten.mul.Tensor,[],decode,False
7,MLA+MoE,2,0-1,attn_hc,,,,,sum,"[[B, 1, n_hc, d_model]]",,,"[[B, 1, d_model]]",[6],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],decode,True
8,MLA+MoE,2,0-1,input_layernorm,,,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[7],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
9,MLA+MoE,2,0-1,self_attn,q_a_proj,,,,matmul,"[[B, d_model], [d_model, c_q]]","[c_q, d_model]",1,"[[B, c_q]]",[8],0,self_attn,q_a_proj,2,model.layers.0.self_attn.q_a_proj,aten.mm.default,[model.layers.0.self_attn.q_a_proj.weight],decode,False
10,MLA+MoE,2,0-1,self_attn,q_a_norm,,,,rmsnorm,"[[B, 1, c_q]]",[c_q],-1,"[[B, 1, c_q]]",[9],0,self_attn,q_a_norm,2,model.layers.0.self_attn.q_a_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_a_norm.weight],decode,False
11,MLA+MoE,2,0-1,self_attn,q_b_proj,,,,matmul,"[[B, c_q], [c_q, n_h*d_head]]","[n_h*d_head, c_q]",1,"[[B, n_h*d_head]]",[10],0,self_attn,q_b_proj,2,model.layers.0.self_attn.q_b_proj,aten.mm.default,[model.layers.0.self_attn.q_b_proj.weight],decode,False
12,MLA+MoE,2,0-1,self_attn,q_b_norm,,,,rmsnorm,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[11],0,self_attn,q_b_norm,2,model.layers.0.self_attn.q_b_norm,_to_copy+pow+mean+add+rsqrt+_to_copy+mul,[],decode,False
13,MLA+MoE,2,0-1,self_attn,kv_proj,,,,matmul,"[[B, d_model], [d_model, d_head]]","[d_head, d_model]",1,"[[B, d_head]]",[8],0,self_attn,kv_proj,2,model.layers.0.self_attn.kv_proj,aten.mm.default,[model.layers.0.self_attn.kv_proj.weight],decode,False
14,MLA+MoE,2,0-1,self_attn,kv_norm,,,,rmsnorm,"[[B, 1, d_head]]",[d_head],-1,"[[B, 1, d_head]]",[13],0,self_attn,kv_norm,2,model.layers.0.self_attn.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_norm.weight],decode,False
15,MLA+MoE,2,0-1,self_attn,compressor,kv_proj,,,matmul,"[[B, d_model], [d_model, d_head]]","[d_head, d_model]",1,"[[B, d_head]]",[8],0,self_attn,compressor,3,model.layers.0.self_attn.compressor.kv_proj,aten.mm.default,[model.layers.0.self_attn.compressor.kv_proj.weight],decode,False
16,MLA+MoE,2,0-1,self_attn,compressor,gate_proj,,,matmul,"[[B, d_model], [d_model, d_head]]","[d_head, d_model]",1,"[[B, d_head]]",[8],0,self_attn,compressor,3,model.layers.0.self_attn.compressor.gate_proj,aten.mm.default,[model.layers.0.self_attn.compressor.gate_proj.weight],decode,False
