op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
0,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
1,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
2,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
3,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
4,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
5,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
6,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
7,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
8,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
9,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
10,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
11,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
12,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
13,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
14,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
15,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
16,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
17,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
18,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
19,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
20,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
21,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
22,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
23,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
24,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
25,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
26,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
27,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
28,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
29,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
30,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
31,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
32,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
33,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
34,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
35,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
36,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
37,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
38,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
39,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
40,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
41,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
42,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
43,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
44,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
45,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
46,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
47,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
48,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
49,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
50,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
51,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
52,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
53,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
54,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
55,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
56,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
57,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
58,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
59,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
60,model,,,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
61,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False,
62,model,,,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True,
63,model,,,,,arange,[],,,[[1]],[],,other,,1,model,aten.arange.default,[],prefill,True,
64,model,,,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
65,model,,,,,elementwise_add,[[T]],,,[[T]],[64],,other,,1,model,aten.add.Tensor,[],prefill,False,
66,model,,,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
67,model,,,,,elementwise_add,[[T]],,,[[T]],[66],,other,,1,model,aten.add.Tensor,[],prefill,False,
68,model,,,,,unsqueeze,[[B]],,,"[[B, 1]]",[62],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
69,model,,,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[68],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
70,model,,,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[69],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
71,model,,,,,unsqueeze,[[1]],,,"[[1, 1]]",[63],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
72,model,,,,,unsqueeze,"[[1, 1]]",,,"[[1, 1, 1]]",[71],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
73,model,,,,,unsqueeze,"[[1, 1, 1]]",,,"[[1, 1, 1, 1]]",[72],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
74,model,,,,,unsqueeze,[[T]],,,"[[1, T]]",[65],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
75,model,,,,,unsqueeze,"[[1, T]]",,,"[[1, 1, T]]",[74],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
76,model,,,,,unsqueeze,"[[1, 1, T]]",,,"[[1, 1, T, 1]]",[75],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
