op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,embed_tokens,elementwise_mul,"[[B, 1, d_model], []]",,,"[[B, 1, d_model]]",[0],,other,,2,model.embed_tokens,aten.mul.Tensor,[model.embed_tokens.embed_scale],decode,False
2,model,rotary_emb,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],decode,True
3,model,rotary_emb,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[2],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
4,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[3],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
5,model,rotary_emb,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
6,model,rotary_emb,_to_copy,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[5],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
7,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[4],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
8,model,rotary_emb,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[7],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
9,model,rotary_emb,expand,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[6],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
10,model,rotary_emb,view,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[9],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
11,model,rotary_emb,batched_matmul,"[[B, d_head/2, 1], [B, 1, 1]]",,,"[[B, d_head/2, 1]]","[8, 10]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
12,model,rotary_emb,_unsafe_view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[11],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
13,model,rotary_emb,transpose,"[[B, d_head/2, 1]]",,,"[[B, 1, d_head/2]]",[12],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
14,model,rotary_emb,concat,"[[B, 1, d_head/2], [B, 1, d_head/2]]",,,"[[B, 1, d_head]]",[13],,other,,2,model.rotary_emb,aten.cat.default,[],decode,False
15,model,rotary_emb,cos,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[14],,other,,2,model.rotary_emb,aten.cos.default,[],decode,False
16,model,rotary_emb,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[15],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
17,model,rotary_emb,sin,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[14],,other,,2,model.rotary_emb,aten.sin.default,[],decode,False
18,model,rotary_emb,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[17],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
19,input_layernorm,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[1],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],decode,False
20,input_layernorm,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[19],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],decode,False
21,input_layernorm,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[20],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],decode,False
22,input_layernorm,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[21],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.rsqrt.default,[],decode,False
23,input_layernorm,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[1, 22]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],decode,False
24,input_layernorm,,elementwise_add,[[d_model]],,,[[d_model]],[],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[model.layers.0.input_layernorm.weight],decode,False
25,input_layernorm,,elementwise_mul,"[[B, 1, d_model], [d_model]]",,,"[[B, 1, d_model]]","[23, 24]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],decode,False
26,self_attn,q_proj,t,"[[n_h*d_head, d_model]]","[n_h*d_head, d_model]",0,"[[d_model, n_h*d_head]]",[],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.t.default,[model.layers.0.self_attn.q_proj.weight],decode,True
27,self_attn,q_proj,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[25],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.view.default,[],decode,True
28,self_attn,q_proj,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[B, n_h*d_head]]","[26, 27]",0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
29,self_attn,q_proj,_unsafe_view,"[[B, n_h*d_head]]",,,"[[B, 1, n_h*d_head]]",[28],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten._unsafe_view.default,[],decode,True
30,self_attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[29],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
31,self_attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[30],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
32,self_attn,k_proj,t,"[[n_kv*d_head, d_model]]","[n_kv*d_head, d_model]",0,"[[d_model, n_kv*d_head]]",[],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.t.default,[model.layers.0.self_attn.k_proj.weight],decode,True
33,self_attn,k_proj,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[25],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.view.default,[],decode,True
34,self_attn,k_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]","[32, 33]",0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
35,self_attn,k_proj,_unsafe_view,"[[B, n_kv*d_head]]",,,"[[B, 1, n_kv*d_head]]",[34],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten._unsafe_view.default,[],decode,True
36,self_attn,,view,"[[B, 1, n_kv*d_head]]",,,"[[B, 1, n_kv, d_head]]",[35],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
37,self_attn,,transpose,"[[B, 1, n_kv, d_head]]",,,"[[B, n_kv, 1, d_head]]",[36],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
38,self_attn,v_proj,t,"[[n_kv*d_head, d_model]]","[n_kv*d_head, d_model]",0,"[[d_model, n_kv*d_head]]",[],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.t.default,[model.layers.0.self_attn.v_proj.weight],decode,True
39,self_attn,v_proj,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[25],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.view.default,[],decode,True
40,self_attn,v_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]","[38, 39]",0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],decode,False
41,self_attn,v_proj,_unsafe_view,"[[B, n_kv*d_head]]",,,"[[B, 1, n_kv*d_head]]",[40],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten._unsafe_view.default,[],decode,True
42,self_attn,,view,"[[B, 1, n_kv*d_head]]",,,"[[B, 1, n_kv, d_head]]",[41],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
43,self_attn,,transpose,"[[B, 1, n_kv, d_head]]",,,"[[B, n_kv, 1, d_head]]",[42],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
44,self_attn,,unsqueeze,"[[B, 1, d_head]]",,,"[[B, 1, 1, d_head]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
45,self_attn,,unsqueeze,"[[B, 1, d_head]]",,,"[[B, 1, 1, d_head]]",[18],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
46,self_attn,,elementwise_mul,"[[B, n_h, 1, d_head], [B, 1, 1, d_head]]",,,"[[B, n_h, 1, d_head]]","[31, 44]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
47,self_attn,,slice,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head/2]]",[31],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
48,self_attn,,slice,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head/2]]",[31],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
49,self_attn,,neg,"[[B, n_h, 1, d_head/2]]",,,"[[B, n_h, 1, d_head/2]]",[48],0,self_attn,,1,model.layers.0.self_attn,aten.neg.default,[],decode,False
50,self_attn,,concat,"[[B, n_h, 1, d_head/2], [B, n_h, 1, d_head/2]]",,,"[[B, n_h, 1, d_head]]","[47, 49]",0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],decode,False
51,self_attn,,elementwise_mul,"[[B, n_h, 1, d_head], [B, 1, 1, d_head]]",,,"[[B, n_h, 1, d_head]]","[45, 50]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
52,self_attn,,elementwise_add,"[[B, n_h, 1, d_head], [B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]","[46, 51]",0,self_attn,,1,model.layers.0.self_attn,aten.add.Tensor,[],decode,False
53,self_attn,,elementwise_mul,"[[B, n_kv, 1, d_head], [B, 1, 1, d_head]]",,,"[[B, n_kv, 1, d_head]]","[37, 44]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
54,self_attn,,slice,"[[B, n_kv, 1, d_head]]",,,"[[B, n_kv, 1, d_head/2]]",[37],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
55,self_attn,,slice,"[[B, n_kv, 1, d_head]]",,,"[[B, n_kv, 1, d_head/2]]",[37],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
56,self_attn,,neg,"[[B, n_kv, 1, d_head/2]]",,,"[[B, n_kv, 1, d_head/2]]",[55],0,self_attn,,1,model.layers.0.self_attn,aten.neg.default,[],decode,False
57,self_attn,,concat,"[[B, n_kv, 1, d_head/2], [B, n_kv, 1, d_head/2]]",,,"[[B, n_kv, 1, d_head]]","[54, 56]",0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],decode,False
58,self_attn,,elementwise_mul,"[[B, n_kv, 1, d_head], [B, 1, 1, d_head]]",,,"[[B, n_kv, 1, d_head]]","[45, 57]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],decode,False
59,self_attn,,elementwise_add,"[[B, n_kv, 1, d_head], [B, n_kv, 1, d_head]]",,,"[[B, n_kv, 1, d_head]]","[53, 58]",0,self_attn,,1,model.layers.0.self_attn,aten.add.Tensor,[],decode,False
60,self_attn,,concat,"[[B, n_kv, T, d_head], [B, n_kv, 1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[59],0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],decode,False
61,self_attn,,concat,"[[B, n_kv, T, d_head], [B, n_kv, 1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[43],0,self_attn,,1,model.layers.0.self_attn,aten.cat.default,[],decode,False
62,self_attn,,slice,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[60],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
63,self_attn,,slice,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, T+1, d_head]]",[61],0,self_attn,,1,model.layers.0.self_attn,aten.slice.Tensor,[],decode,True
64,self_attn,,elementwise_mul,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[52],0,self_attn,,1,model.layers.0.self_attn,aten.mul.Scalar,[],decode,False
65,self_attn,,unsqueeze,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, 1, T+1, d_head]]",[60],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
66,self_attn,,expand,"[[B, n_kv, 1, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[65],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
67,self_attn,,clone,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[66],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],decode,True
68,self_attn,,view,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[67],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
69,self_attn,,unsqueeze,"[[B, n_kv, T+1, d_head]]",,,"[[B, n_kv, 1, T+1, d_head]]",[61],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],decode,True
70,self_attn,,expand,"[[B, n_kv, 1, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[69],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
71,self_attn,,clone,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",[70],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],decode,True
72,self_attn,,view,"[[B, n_kv, n_h/n_kv, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[71],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
73,self_attn,,transpose,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, d_head, T+1]]",[68],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
74,self_attn,,elementwise_mul,"[[B, n_h, d_head, T+1]]",,,"[[B, n_h, d_head, T+1]]",[73],0,self_attn,,1,model.layers.0.self_attn,aten.mul.Scalar,[],decode,False
75,self_attn,,expand,"[[B, n_h, 1, d_head]]",,,"[[B, n_h, 1, d_head]]",[64],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
76,self_attn,,view,"[[B, n_h, 1, d_head]]",,,"[[n_h, B, d_head]]",[75],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
77,self_attn,,expand,"[[B, n_h, d_head, T+1]]",,,"[[B, n_h, d_head, T+1]]",[74],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
78,self_attn,,view,"[[B, n_h, d_head, T+1]]",,,"[[n_h, d_head, T+1]]",[77],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
79,self_attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[76, 78]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
80,self_attn,,_unsafe_view,"[[n_h, B, T+1]]",,,"[[B, n_h, 1, T+1]]",[79],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],decode,True
81,self_attn,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[80],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],decode,False
82,self_attn,,expand,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[81],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
83,self_attn,,view,"[[B, n_h, 1, T+1]]",,,"[[n_h, B, T+1]]",[82],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
84,self_attn,,expand,"[[B, n_h, T+1, d_head]]",,,"[[B, n_h, T+1, d_head]]",[72],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],decode,True
85,self_attn,,view,"[[B, n_h, T+1, d_head]]",,,"[[n_h, T+1, d_head]]",[84],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
86,self_attn,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[83, 85]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
87,self_attn,,_unsafe_view,"[[n_h, B, d_head]]",,,"[[B, n_h, 1, d_head]]",[86],0,self_attn,,1,model.layers.0.self_attn,aten._unsafe_view.default,[],decode,True
