op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,model,embed_tokens,elementwise_mul,"[[B, T, d_model], []]",,,"[[B, T, d_model]]",[0],,other,,2,model.embed_tokens,aten.mul.Tensor,[model.embed_tokens.embed_scale],prefill,False
2,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
3,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
4,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
5,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
6,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
7,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
8,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
9,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
10,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
11,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
12,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
13,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
14,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
15,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
16,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
17,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
18,model,,elementwise_add,[[T]],,,[[T]],[17],,other,,1,model,aten.add.Tensor,[],prefill,False
19,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
20,model,,elementwise_add,[[T]],,,[[T]],[19],,other,,1,model,aten.add.Tensor,[],prefill,False
