op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,-,1,,model,embed_tokens,elementwise_mul,"[[B, T, d_model], []]",,"[[B, T, d_model]]",[0],,other,,2,model.embed_tokens,aten.mul.Tensor,[model.embed_tokens.embed_scale],prefill,False
2,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[1],0,input_layernorm,,1,model.layers.0.input_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.0.input_layernorm.weight],prefill,False
3,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,q_proj,matmul,"[[n_h*d_head, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]","[[n_h*d_head, n_h*d_head]]",[2],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
4,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,k_proj,matmul,"[[n_h*d_head, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[n_h*d_head, n_kv*d_head]]",[2],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
5,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,v_proj,matmul,"[[n_h*d_head, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[n_h*d_head, n_kv*d_head]]",[2],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
6,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,,batched_matmul,"[[n_h, n_h*d_head, d_head], [n_h, d_head, n_h*d_head]]",,"[[n_h, n_h*d_head, n_h*d_head]]","[3, 4]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
7,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,,softmax,"[[B, n_h, n_h*d_head, n_h*d_head]]",,"[[B, n_h, n_h*d_head, n_h*d_head]]",[6],0,self_attn,,1,model.layers.0.self_attn,aten._safe_softmax.default,[],prefill,False
8,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,,batched_matmul,"[[n_h, n_h*d_head, n_h*d_head], [n_h, n_h*d_head, d_head]]",,"[[n_h, n_h*d_head, d_head]]","[5, 7]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
9,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",self_attn,o_proj,matmul,"[[n_h*d_head, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]","[[n_h*d_head, d_model]]",[8],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
10,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",post_attention_layernorm,,rmsnorm,"[[B, n_h*d_head, d_model]]",[d_model],"[[B, n_h*d_head, d_model]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
