op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,embed_tokens,elementwise_mul,"[[B, 1, d_model], []]",,,"[[B, 1, d_model]]",[0],,other,,2,model.embed_tokens,aten.mul.Tensor,[model.embed_tokens.embed_scale],decode,False
2,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
3,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
4,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
5,model,,elementwise_add,[[B]],,,[[B]],[4],,other,,1,model,aten.add.Tensor,[],decode,False
6,model,,arange,[],,,[[T+1]],[],,other,,1,model,aten.arange.default,[],decode,True
7,model,,elementwise_add,[[T+1]],,,[[T+1]],[6],,other,,1,model,aten.add.Tensor,[],decode,False
8,model,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],decode,True
9,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],decode,True
10,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[9],,other,,1,model,aten.unsqueeze.default,[],decode,True
11,model,,unsqueeze,[[B]],,,"[[B, 1]]",[3],,other,,1,model,aten.unsqueeze.default,[],decode,True
12,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],decode,True
13,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[12],,other,,1,model,aten.unsqueeze.default,[],decode,True
14,model,,unsqueeze,[[B]],,,"[[B, 1]]",[5],,other,,1,model,aten.unsqueeze.default,[],decode,True
15,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],decode,True
16,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[15],,other,,1,model,aten.unsqueeze.default,[],decode,True
17,model,,unsqueeze,[[T+1]],,,"[[B, T+1]]",[7],,other,,1,model,aten.unsqueeze.default,[],decode,True
18,model,,unsqueeze,"[[B, T+1]]",,,"[[B, 1, T+1]]",[17],,other,,1,model,aten.unsqueeze.default,[],decode,True
19,model,,unsqueeze,"[[B, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[18],,other,,1,model,aten.unsqueeze.default,[],decode,True
20,model,,le,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[16, 19]",,other,,1,model,aten.le.Tensor,[],decode,True
21,model,,expand,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[20],,other,,1,model,aten.expand.default,[],decode,True
22,model,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],decode,True
23,model,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[21, 22]",,other,,1,model,aten.where.self,[],decode,True
24,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
25,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
26,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
27,model,,elementwise_add,[[B]],,,[[B]],[26],,other,,1,model,aten.add.Tensor,[],decode,False
28,model,,arange,[],,,[[w_local]],[],,other,,1,model,aten.arange.default,[],decode,True
29,model,,elementwise_add,[[w_local]],,,[[w_local]],[28],,other,,1,model,aten.add.Tensor,[],decode,False
30,model,,unsqueeze,[[B]],,,"[[B, 1]]",[24],,other,,1,model,aten.unsqueeze.default,[],decode,True
31,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[30],,other,,1,model,aten.unsqueeze.default,[],decode,True
32,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[31],,other,,1,model,aten.unsqueeze.default,[],decode,True
33,model,,unsqueeze,[[B]],,,"[[B, 1]]",[25],,other,,1,model,aten.unsqueeze.default,[],decode,True
34,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[33],,other,,1,model,aten.unsqueeze.default,[],decode,True
35,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[34],,other,,1,model,aten.unsqueeze.default,[],decode,True
36,model,,unsqueeze,[[B]],,,"[[B, 1]]",[27],,other,,1,model,aten.unsqueeze.default,[],decode,True
37,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[36],,other,,1,model,aten.unsqueeze.default,[],decode,True
38,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[37],,other,,1,model,aten.unsqueeze.default,[],decode,True
39,model,,unsqueeze,[[w_local]],,,"[[B, w_local]]",[29],,other,,1,model,aten.unsqueeze.default,[],decode,True
40,model,,unsqueeze,"[[B, w_local]]",,,"[[B, 1, w_local]]",[39],,other,,1,model,aten.unsqueeze.default,[],decode,True
41,model,,unsqueeze,"[[B, 1, w_local]]",,,"[[B, 1, 1, w_local]]",[40],,other,,1,model,aten.unsqueeze.default,[],decode,True
42,model,,new_ones,"[[B, 1, 1, 1]]",,,[[]],[38],,other,,1,model,aten.new_ones.default,[],decode,True
43,model,,sub,"[[B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]",[38],,other,,1,model,aten.sub.Tensor,[],decode,True
44,model,,gt,"[[B, 1, 1, w_local], [B, 1, 1, 1]]",,,"[[B, 1, 1, w_local]]","[41, 43]",,other,,1,model,aten.gt.Tensor,[],decode,True
45,model,,bitwise_and,"[[], [B, 1, 1, w_local]]",,,"[[B, 1, 1, w_local]]","[42, 44]",,other,,1,model,aten.bitwise_and.Tensor,[],decode,True
46,model,,le,"[[B, 1, 1, w_local], [B, 1, 1, 1]]",,,"[[B, 1, 1, w_local]]","[38, 41]",,other,,1,model,aten.le.Tensor,[],decode,True
47,model,,bitwise_and,"[[B, 1, 1, w_local], [B, 1, 1, w_local]]",,,"[[B, 1, 1, w_local]]","[45, 46]",,other,,1,model,aten.bitwise_and.Tensor,[],decode,True
48,model,,expand,"[[B, 1, 1, w_local]]",,,"[[B, 1, 1, w_local]]",[47],,other,,1,model,aten.expand.default,[],decode,True
49,model,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],decode,True
50,model,,where,"[[B, 1, 1, w_local], [], []]",,,"[[B, 1, 1, w_local]]","[48, 49]",,other,,1,model,aten.where.self,[],decode,True
51,model,rotary_emb,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.sliding_attention_inv_freq],decode,True
52,model,rotary_emb,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[51],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
53,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[52],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
54,model,rotary_emb,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
55,model,rotary_emb,_to_copy,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[54],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
56,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[53],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
57,model,rotary_emb,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[56],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
58,model,rotary_emb,expand,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[55],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
59,model,rotary_emb,view,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[58],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
60,model,rotary_emb,batched_matmul,"[[B, d_head/2, 1], [B, 1, 1]]",,,"[[B, d_head/2, 1]]","[57, 59]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
61,model,rotary_emb,_unsafe_view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[60],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
62,model,rotary_emb,transpose,"[[B, d_head/2, 1]]",,,"[[B, 1, d_head/2]]",[61],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
63,model,rotary_emb,concat,"[[B, 1, d_head/2], [B, 1, d_head/2]]",,,"[[B, 1, d_head]]",[62],,other,,2,model.rotary_emb,aten.cat.default,[],decode,False
64,model,rotary_emb,cos,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[63],,other,,2,model.rotary_emb,aten.cos.default,[],decode,False
65,model,rotary_emb,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[64],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
66,model,rotary_emb,sin,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[63],,other,,2,model.rotary_emb,aten.sin.default,[],decode,False
67,model,rotary_emb,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[66],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
68,model,rotary_emb,_to_copy,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[65],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
69,model,rotary_emb,_to_copy,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[67],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
70,model,rotary_emb,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.full_attention_inv_freq],decode,True
71,model,rotary_emb,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[70],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
72,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[71],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
73,model,rotary_emb,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],decode,True
74,model,rotary_emb,_to_copy,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[73],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
75,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[72],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
76,model,rotary_emb,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[75],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
77,model,rotary_emb,expand,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[74],,other,,2,model.rotary_emb,aten.expand.default,[],decode,True
78,model,rotary_emb,view,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[77],,other,,2,model.rotary_emb,aten.view.default,[],decode,True
79,model,rotary_emb,batched_matmul,"[[B, d_head/2, 1], [B, 1, 1]]",,,"[[B, d_head/2, 1]]","[76, 78]",,other,,2,model.rotary_emb,aten.bmm.default,[],decode,False
80,model,rotary_emb,_unsafe_view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[79],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],decode,True
81,model,rotary_emb,transpose,"[[B, d_head/2, 1]]",,,"[[B, 1, d_head/2]]",[80],,other,,2,model.rotary_emb,aten.transpose.int,[],decode,True
82,model,rotary_emb,concat,"[[B, 1, d_head/2], [B, 1, d_head/2]]",,,"[[B, 1, d_head]]",[81],,other,,2,model.rotary_emb,aten.cat.default,[],decode,False
83,model,rotary_emb,cos,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[82],,other,,2,model.rotary_emb,aten.cos.default,[],decode,False
84,model,rotary_emb,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[83],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
85,model,rotary_emb,sin,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[82],,other,,2,model.rotary_emb,aten.sin.default,[],decode,False
86,model,rotary_emb,elementwise_mul,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[85],,other,,2,model.rotary_emb,aten.mul.Tensor,[],decode,False
87,model,rotary_emb,_to_copy,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[84],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
88,model,rotary_emb,_to_copy,"[[B, 1, d_head]]",,,"[[B, 1, d_head]]",[86],,other,,2,model.rotary_emb,aten._to_copy.default,[],decode,True
89,input_layernorm,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[1],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],decode,True
90,input_layernorm,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[89],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],decode,False
91,input_layernorm,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[90],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],decode,False
92,input_layernorm,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[91],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],decode,False
93,input_layernorm,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[92],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.rsqrt.default,[],decode,False
94,input_layernorm,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[89, 93]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],decode,False
95,input_layernorm,,_to_copy,[[d_model]],,,[[d_model]],[],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[model.layers.0.input_layernorm.weight],decode,True
96,input_layernorm,,elementwise_add,[[d_model]],,,[[d_model]],[95],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[model.layers.0.input_layernorm.weight],decode,False
97,input_layernorm,,elementwise_mul,"[[B, 1, d_model], [d_model]]",,,"[[B, 1, d_model]]","[94, 96]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],decode,False
98,input_layernorm,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[97],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],decode,True
99,self_attn,q_proj,t,"[[n_h*d_head, d_model]]","[n_h*d_head, d_model]",0,"[[d_model, n_h*d_head]]",[],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.t.default,[model.layers.0.self_attn.q_proj.weight],decode,True
100,self_attn,q_proj,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[98],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.view.default,[],decode,True
101,self_attn,q_proj,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[B, n_h*d_head]]","[99, 100]",0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
102,self_attn,q_proj,_unsafe_view,"[[B, n_h*d_head]]",,,"[[B, 1, n_h*d_head]]",[101],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten._unsafe_view.default,[],decode,True
103,self_attn,,view,"[[B, 1, n_h*d_head]]",,,"[[B, 1, n_h, d_head]]",[102],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
104,self_attn,,transpose,"[[B, 1, n_h, d_head]]",,,"[[B, n_h, 1, d_head]]",[103],0,self_attn,,1,model.layers.0.self_attn,aten.transpose.int,[],decode,True
105,self_attn,k_proj,t,"[[d_head, d_model]]","[d_head, d_model]",0,"[[d_model, d_head]]",[],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.t.default,[model.layers.0.self_attn.k_proj.weight],decode,True
106,self_attn,k_proj,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[98],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.view.default,[],decode,True
107,self_attn,k_proj,matmul,"[[B, d_model], [d_model, d_head]]","[d_head, d_model]",1,"[[B, d_head]]","[105, 106]",0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
108,self_attn,k_proj,_unsafe_view,"[[B, d_head]]",,,"[[B, 1, d_head]]",[107],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten._unsafe_view.default,[],decode,True
109,self_attn,,view,"[[B, 1, d_head]]",,,"[[B, 1, 1, d_head]]",[108],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],decode,True
