op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,-,1,,model,,,elementwise_mul,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],,other,,1,model,aten.mul.Tensor,[],decode,False
2,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",input_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[1],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
3,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,in_proj,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[2],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.mm.default,[model.layers.0.mamba.in_proj.weight],decode,False
4,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,act,,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[3],0,mamba,act,2,model.layers.0.mamba.act,aten.silu.default,[],decode,False
5,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,[[d_state]],,,[[d_state]],[],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[model.layers.0.mamba.A_log],decode,False
6,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,"[[B, n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]","[3, 5]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],decode,False
7,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,batched_matmul,"[[n_h_ssm, d_head_ssm, d_state], [n_h_ssm, d_state, B]]",,,"[[d_state, d_head_ssm, B]]","[3, 4, 6]",0,mamba,,1,model.layers.0.mamba,aten.bmm.default,[],decode,False
8,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,norm,,rmsnorm,"[[B, 1, d_inner]]",[d_inner],-1,"[[B, 1, d_inner]]","[3, 4, 7]",0,mamba,norm,2,model.layers.0.mamba.norm,_to_copy+_to_copy+silu+mul+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.mamba.norm.weight],decode,False
9,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,out_proj,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]",1,"[[B, d_model]]",[8],0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten.mm.default,[model.layers.0.mamba.out_proj.weight],decode,False
10,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",,,,elementwise_mul,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[9],0,,,0,model.layers.0,aten.mul.Tensor,[],decode,False
11,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[1, 10]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
12,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",post_attention_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[11],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],decode,False
13,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",block_sparse_moe,router,,matmul,"[[B, d_model], [d_model, E]]","[E, d_model]",1,"[[B, E]]",[12],0,block_sparse_moe,router,2,model.layers.0.block_sparse_moe.router,aten.mm.default,[model.layers.0.block_sparse_moe.router.weight],decode,False
