op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,model,,,elementwise_mul,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],,other,,1,model,aten.mul.Tensor,[],decode,False
2,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
3,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
4,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
5,model,,,elementwise_add,[[B]],,,[[B]],[4],,other,,1,model,aten.add.Tensor,[],decode,False
6,model,,,arange,[],,,[[T+1]],[],,other,,1,model,aten.arange.default,[],decode,True
7,model,,,elementwise_add,[[T+1]],,,[[T+1]],[6],,other,,1,model,aten.add.Tensor,[],decode,False
8,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],decode,True
9,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],decode,True
10,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[9],,other,,1,model,aten.unsqueeze.default,[],decode,True
11,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[3],,other,,1,model,aten.unsqueeze.default,[],decode,True
12,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],decode,True
13,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[12],,other,,1,model,aten.unsqueeze.default,[],decode,True
14,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[5],,other,,1,model,aten.unsqueeze.default,[],decode,True
15,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],decode,True
16,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[15],,other,,1,model,aten.unsqueeze.default,[],decode,True
17,model,,,unsqueeze,[[T+1]],,,"[[B, T+1]]",[7],,other,,1,model,aten.unsqueeze.default,[],decode,True
