op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,model,,,elementwise_mul,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[0],,other,,1,model,aten.mul.Tensor,[],prefill,False
2,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
3,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
4,model,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
5,model,,,elementwise_add,[[T]],,,[[T]],[4],,other,,1,model,aten.add.Tensor,[],prefill,False
6,model,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
7,model,,,elementwise_add,[[T]],,,[[T]],[6],,other,,1,model,aten.add.Tensor,[],prefill,False
8,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],prefill,True
9,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],prefill,True
10,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[9],,other,,1,model,aten.unsqueeze.default,[],prefill,True
11,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[3],,other,,1,model,aten.unsqueeze.default,[],prefill,True
12,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],prefill,True
13,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[12],,other,,1,model,aten.unsqueeze.default,[],prefill,True
14,model,,,unsqueeze,[[T]],,,"[[B, T]]",[5],,other,,1,model,aten.unsqueeze.default,[],prefill,True
