op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,-,1,,model,,,elementwise_mul,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[0],,other,,1,model,aten.mul.Tensor,[],prefill,False
2,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[1],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
3,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,in_proj,,matmul,"[[T, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[T, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[2],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.mm.default,[model.layers.0.mamba.in_proj.weight],prefill,False
4,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,conv1d,,conv1d,"[[B, d_inner+2*n_g*d_state, T], [d_inner+2*n_g*d_state, B, d_conv], [d_inner+2*n_g*d_state]]","[d_inner+2*n_g*d_state, 1, d_conv]",1,"[[B, d_inner+2*n_g*d_state, T+d_conv-1]]",[3],0,mamba,conv1d,2,model.layers.0.mamba.conv1d,aten.convolution.default,"[model.layers.0.mamba.conv1d.bias, model.layers.0.mamba.conv1d.weight]",prefill,False
5,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,act,,silu,"[[B, d_inner+2*n_g*d_state, T]]",,,"[[B, d_inner+2*n_g*d_state, T]]",[4],0,mamba,act,2,model.layers.0.mamba.act,aten.silu.default,[],prefill,False
6,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,[[d_state]],,,[[d_state]],[],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[model.layers.0.mamba.A_log],prefill,False
7,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,"[[B, d_state, 1, d_chunk, d_chunk]]",,,"[[B, d_state, 1, d_chunk, d_chunk]]","[3, 6]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
8,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,"[[B, d_state, 1, d_chunk]]",,,"[[B, d_state, 1, d_chunk]]","[3, 6]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
9,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,"[[B, d_state, 2, 2]]",,,"[[B, d_state, 2, 2]]","[3, 6]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
10,attn+MoE,36,"0-4,6-14,16-24,26-34,36-39",mamba,,,exp,"[[B, d_state, 1, d_chunk]]",,,"[[B, d_state, 1, d_chunk]]","[3, 6]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],prefill,False
