op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
0,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False,
1,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
2,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
3,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
4,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
5,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
6,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
7,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
8,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
9,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
10,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
11,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
12,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
13,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
14,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
15,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
16,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
17,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
18,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
19,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
20,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
21,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
22,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
23,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
24,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
25,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
26,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
27,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
28,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
29,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
30,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
31,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
32,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
33,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
34,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
35,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
36,model,,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True,
37,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True,
38,model,,,arange,[],,,[[1]],[],,other,,1,model,aten.arange.default,[],prefill,True,
39,model,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
40,model,,,elementwise_add,[[T]],,,[[T]],[39],,other,,1,model,aten.add.Tensor,[],prefill,False,
41,model,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
42,model,,,elementwise_add,[[T]],,,[[T]],[41],,other,,1,model,aten.add.Tensor,[],prefill,False,
43,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[37],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
44,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[43],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
45,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[44],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
46,model,,,unsqueeze,[[1]],,,"[[1, 1]]",[38],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
47,model,,,unsqueeze,"[[1, 1]]",,,"[[1, 1, 1]]",[46],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
48,model,,,unsqueeze,"[[1, 1, 1]]",,,"[[1, 1, 1, 1]]",[47],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
49,model,,,unsqueeze,[[T]],,,"[[1, T]]",[40],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
50,model,,,unsqueeze,"[[1, T]]",,,"[[1, 1, T]]",[49],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
51,model,,,unsqueeze,"[[1, 1, T]]",,,"[[1, 1, T, 1]]",[50],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
52,model,,,unsqueeze,[[T]],,,"[[1, T]]",[42],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
53,model,,,unsqueeze,"[[1, T]]",,,"[[1, 1, T]]",[52],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
54,model,,,unsqueeze,"[[1, 1, T]]",,,"[[1, 1, 1, T]]",[53],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
55,model,,,le,"[[1, 1, 1, T], [1, 1, T, 1]]",,,"[[1, 1, T, T]]","[51, 54]",,other,,1,model,aten.le.Tensor,[],prefill,True,
56,model,,,expand,"[[1, 1, T, T]]",,,"[[B, 1, T, T]]",[55],,other,,1,model,aten.expand.default,[],prefill,True,
57,model,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True,
58,model,,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[56, 57]",,other,,1,model,aten.where.self,[],prefill,True,
59,model,,,zeros,[],,,[[B]],[],,other,,1,model,aten.zeros.default,[],prefill,True,
60,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True,
61,model,,,arange,[],,,[[1]],[],,other,,1,model,aten.arange.default,[],prefill,True,
62,model,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
63,model,,,elementwise_add,[[T]],,,[[T]],[62],,other,,1,model,aten.add.Tensor,[],prefill,False,
64,model,,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True,
65,model,,,elementwise_add,[[T]],,,[[T]],[64],,other,,1,model,aten.add.Tensor,[],prefill,False,
66,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[60],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
67,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[66],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
68,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[67],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
69,model,,,unsqueeze,[[1]],,,"[[1, 1]]",[61],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
70,model,,,unsqueeze,"[[1, 1]]",,,"[[1, 1, 1]]",[69],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
71,model,,,unsqueeze,"[[1, 1, 1]]",,,"[[1, 1, 1, 1]]",[70],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
72,model,,,unsqueeze,[[T]],,,"[[1, T]]",[63],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
73,model,,,unsqueeze,"[[1, T]]",,,"[[1, 1, T]]",[72],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
74,model,,,unsqueeze,"[[1, 1, T]]",,,"[[1, 1, T, 1]]",[73],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
75,model,,,unsqueeze,[[T]],,,"[[1, T]]",[65],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
76,model,,,unsqueeze,"[[1, T]]",,,"[[1, 1, T]]",[75],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
77,model,,,unsqueeze,"[[1, 1, T]]",,,"[[1, 1, 1, T]]",[76],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
78,model,,,new_ones,"[[1, 1, T, 1]]",,,[[]],[74],,other,,1,model,aten.new_ones.default,[],prefill,True,
79,model,,,index,"[[B], [B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]","[59, 68]",,other,,1,model,aten.index.Tensor,[],prefill,True,
80,model,,,sub,"[[1, 1, 1, T], [B, 1, 1, 1]]",,,"[[B, 1, 1, T]]","[77, 79]",,other,,1,model,aten.sub.Tensor,[],prefill,True,
81,model,,,floor_divide,"[[B, 1, 1, T]]",,,"[[B, 1, 1, T]]",[80],,other,,1,model,aten.floor_divide.default,[],prefill,True,
82,model,,,index,"[[B], [B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]","[59, 68]",,other,,1,model,aten.index.Tensor,[],prefill,True,
83,model,,,sub,"[[1, 1, T, 1], [B, 1, 1, 1]]",,,"[[B, 1, T, 1]]","[74, 82]",,other,,1,model,aten.sub.Tensor,[],prefill,True,
84,model,,,floor_divide,"[[B, 1, T, 1]]",,,"[[B, 1, T, 1]]",[83],,other,,1,model,aten.floor_divide.default,[],prefill,True,
85,model,,,eq,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[81, 84]",,other,,1,model,aten.eq.Tensor,[],prefill,True,
86,model,,,bitwise_and,"[[], [B, 1, T, T]]",,,"[[B, 1, T, T]]","[78, 85]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True,
87,model,,,le,"[[1, 1, 1, T], [1, 1, T, 1]]",,,"[[1, 1, T, T]]","[74, 77]",,other,,1,model,aten.le.Tensor,[],prefill,True,
88,model,,,bitwise_and,"[[B, 1, T, T], [1, 1, T, T]]",,,"[[B, 1, T, T]]","[86, 87]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True,
89,model,,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[88],,other,,1,model,aten.expand.default,[],prefill,True,
90,model,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True,
91,model,,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[89, 90]",,other,,1,model,aten.where.self,[],prefill,True,
92,model,rotary_emb,,unsqueeze,[[d_head/2]],,,"[[1, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],prefill,True,
93,model,rotary_emb,,unsqueeze,"[[1, d_head/2]]",,,"[[1, d_head/2, 1]]",[92],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
94,model,rotary_emb,,expand,"[[1, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[93],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
95,model,rotary_emb,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
96,model,rotary_emb,,_to_copy,"[[B, 1, T]]",,,"[[B, 1, T]]",[95],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
97,model,rotary_emb,,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[94],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
98,model,rotary_emb,,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[97],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
99,model,rotary_emb,,expand,"[[B, 1, T]]",,,"[[B, 1, T]]",[96],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
100,model,rotary_emb,,view,"[[B, 1, T]]",,,"[[B, 1, T]]",[99],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
101,model,rotary_emb,,batched_matmul,"[[B, d_head/2, 1], [B, 1, T]]",,,"[[B, d_head/2, T]]","[98, 100]",,other,,2,model.rotary_emb,aten.bmm.default,[],prefill,False,
102,model,rotary_emb,,_unsafe_view,"[[B, d_head/2, T]]",,,"[[B, d_head/2, T]]",[101],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],prefill,True,
103,model,rotary_emb,,transpose,"[[B, d_head/2, T]]",,,"[[B, T, d_head/2]]",[102],,other,,2,model.rotary_emb,aten.transpose.int,[],prefill,True,
104,model,rotary_emb,,ones_like,"[[B, T, d_head/2]]",,,"[[B, T, d_head/2]]",[103],,other,,2,model.rotary_emb,aten.ones_like.default,[],prefill,True,
105,model,rotary_emb,,polar,"[[B, T, d_head/2], [B, T, d_head/2]]",,,"[[B, T, d_head/2]]","[103, 104]",,other,,2,model.rotary_emb,aten.polar.default,[],prefill,True,
106,model,rotary_emb,,elementwise_mul,"[[B, T, d_head/2]]",,,"[[B, T, d_head/2]]",[105],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
107,input_layernorm,,,_to_copy,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],prefill,True,
108,input_layernorm,,,pow,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[107],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],prefill,False,
109,input_layernorm,,,mean,"[[B, T, d_model]]",,,"[[B, T, 1]]",[108],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],prefill,False,
110,input_layernorm,,,elementwise_add,"[[B, T, 1]]",,,"[[B, T, 1]]",[109],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],prefill,False,
