op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+FFN,40,0-39,input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+FFN,40,0-39,self_attn,qkv_proj,matmul,"[[T, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, d_model]",1,"[[T, (n_h+2*n_kv)*d_head]]",[1],0,self_attn,qkv_proj,2,model.layers.0.self_attn.qkv_proj,aten.mm.default,[model.layers.0.self_attn.qkv_proj.weight],prefill,False
3,attn+FFN,40,0-39,self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]",[2],0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
4,attn+FFN,40,0-39,self_attn,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[3],0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],prefill,False
5,attn+FFN,40,0-39,self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[2, 4]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
6,attn+FFN,40,0-39,self_attn,o_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",1,"[[T, d_model]]",[5],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
7,attn+FFN,40,0-39,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 6]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
8,attn+FFN,40,0-39,post_attention_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[7],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
9,attn+FFN,40,0-39,mlp,gate_up_proj,matmul,"[[T, d_model], [d_model, 2*d_ff]]","[2*d_ff, d_model]",1,"[[T, 2*d_ff]]",[8],0,mlp,gate_up_proj,2,model.layers.0.mlp.gate_up_proj,aten.mm.default,[model.layers.0.mlp.gate_up_proj.weight],prefill,False
10,attn+FFN,40,0-39,mlp,activation_fn,silu,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[9],0,mlp,activation_fn,2,model.layers.0.mlp.activation_fn,aten.silu.default,[],prefill,False
11,attn+FFN,40,0-39,mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[9, 10]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
12,attn+FFN,40,0-39,mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]",1,"[[T, d_model]]",[11],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
13,attn+FFN,40,0-39,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[7, 12]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
14,norm,1,,model,norm,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[13],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.norm.weight],prefill,False
15,head,1,,lm_head,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]",1,"[[T, V]]",[14],,other,,1,lm_head,aten.mm.default,[lm_head.weight],prefill,False
