op_id,block_type,repeat,layers,h1,h2,h3,h4,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,SSM+FFN,1,0,input_layernorm,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,SSM+FFN,1,0,self_attn,q_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
3,SSM+FFN,1,0,self_attn,q_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[2],0,self_attn,q_conv1d,3,model.layers.0.self_attn.q_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.q_conv1d.conv.weight],prefill,False
4,SSM+FFN,1,0,self_attn,q_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[3],0,self_attn,q_conv1d,2,model.layers.0.self_attn.q_conv1d,aten.silu.default,[],prefill,False
5,SSM+FFN,1,0,self_attn,k_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
6,SSM+FFN,1,0,self_attn,k_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[5],0,self_attn,k_conv1d,3,model.layers.0.self_attn.k_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.k_conv1d.conv.weight],prefill,False
7,SSM+FFN,1,0,self_attn,k_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[6],0,self_attn,k_conv1d,2,model.layers.0.self_attn.k_conv1d,aten.silu.default,[],prefill,False
8,SSM+FFN,1,0,self_attn,v_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
9,SSM+FFN,1,0,self_attn,v_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[8],0,self_attn,v_conv1d,3,model.layers.0.self_attn.v_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.v_conv1d.conv.weight],prefill,False
10,SSM+FFN,1,0,self_attn,v_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[9],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.silu.default,[],prefill,False
11,SSM+FFN,1,0,self_attn,f_a_proj,,,matmul,"[[T, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[T, d_head_kda]]",[1],0,self_attn,f_a_proj,2,model.layers.0.self_attn.f_a_proj,aten.mm.default,[model.layers.0.self_attn.f_a_proj.weight],prefill,False
12,SSM+FFN,1,0,self_attn,f_b_proj,,,matmul,"[[T, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[T, n_h_kda*d_head_kda]]",[11],0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten.mm.default,[model.layers.0.self_attn.f_b_proj.weight],prefill,False
13,SSM+FFN,1,0,self_attn,,,,exp,"[[n_h_kda, 1]]","[1, 1, n_h_kda, 1]",-1,"[[n_h_kda, 1]]",[],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[model.layers.0.self_attn.A_log],prefill,False
14,SSM+FFN,1,0,self_attn,b_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[T, n_h_kda]]",[1],0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten.mm.default,[model.layers.0.self_attn.b_proj.weight],prefill,False
15,SSM+FFN,1,0,self_attn,,,,sigmoid,"[[B, T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[14],0,self_attn,,1,model.layers.0.self_attn,aten.sigmoid.default,[],prefill,False
16,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
17,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
18,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
