op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embeddings,embedding,"[[V, d_model], [B, B]]","[V, d_model]",0,"[[B, B, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],decode,False
1,norm,,_to_copy,"[[B, B, d_model]]",,,"[[B, B, d_model]]",[0],0,norm,,1,model.layers.0.norm,aten._to_copy.default,[],decode,True
2,norm,,pow,"[[B, B, d_model]]",,,"[[B, B, d_model]]",[1],0,norm,,1,model.layers.0.norm,aten.pow.Tensor_Scalar,[],decode,False
3,norm,,mean,"[[B, B, d_model]]",,,"[[B, B, B]]",[2],0,norm,,1,model.layers.0.norm,aten.mean.dim,[],decode,False
4,norm,,elementwise_add,"[[B, B, B]]",,,"[[B, B, B]]",[3],0,norm,,1,model.layers.0.norm,aten.add.Tensor,[],decode,False
5,norm,,rsqrt,"[[B, B, B]]",,,"[[B, B, B]]",[4],0,norm,,1,model.layers.0.norm,aten.rsqrt.default,[],decode,False
6,norm,,elementwise_mul,"[[B, B, d_model], [B, B, B]]",,,"[[B, B, d_model]]","[1, 5]",0,norm,,1,model.layers.0.norm,aten.mul.Tensor,[],decode,False
7,norm,,_to_copy,"[[B, B, d_model]]",,,"[[B, B, d_model]]",[6],0,norm,,1,model.layers.0.norm,aten._to_copy.default,[],decode,True
8,norm,,elementwise_mul,"[[d_model], [B, B, d_model]]",,,"[[B, B, d_model]]",[7],0,norm,,1,model.layers.0.norm,aten.mul.Tensor,[model.layers.0.norm.weight],decode,False
9,mixer,in_proj,t,"[[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",0,"[[d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.t.default,[model.layers.0.mixer.in_proj.weight],decode,True
10,mixer,in_proj,view,"[[B, B, d_model]]",,,"[[B, d_model]]",[8],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.view.default,[],decode,True
11,mixer,in_proj,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*n_h_ssm*d_head_ssm+2*n_g_ssm*d_state+n_h_ssm]]","[9, 10]",0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.mm.default,[model.layers.0.mixer.in_proj.weight],decode,False
12,mixer,in_proj,_unsafe_view,"[[B, 2*n_h_ssm*d_head_ssm+2*n_g_ssm*d_state+n_h_ssm]]",,,"[[B, B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[11],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten._unsafe_view.default,[],decode,True
13,mixer,,split_with_sizes,"[[B, B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, B, 0], [B, B, 0], [B, B, d_inner], [B, B, d_inner+2*n_g*d_state], [B, B, n_h_ssm]]",[12],0,mixer,,1,model.layers.0.mixer,aten.split_with_sizes.default,[],decode,True
14,mixer,,transpose,"[[B, B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state, B]]",[13],0,mixer,,1,model.layers.0.mixer,aten.transpose.int,[],decode,True
15,mixer,,concat,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, B]]",,,"[[B, d_inner+2*n_g*d_state, 5]]",[14],0,mixer,,1,model.layers.0.mixer,aten.cat.default,[],decode,False
16,mixer,,slice,"[[B, d_inner+2*n_g*d_state, 5]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[15],0,mixer,,1,model.layers.0.mixer,aten.slice.Tensor,[],decode,True
17,mixer,,copy_,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[16],0,mixer,,1,model.layers.0.mixer,aten.copy_.default,[],decode,True
18,mixer,,slice,"[[B, d_inner+2*n_g*d_state, 5]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[15],0,mixer,,1,model.layers.0.mixer,aten.slice.Tensor,[],decode,True
19,mixer,,select,"[[d_inner+2*n_g*d_state, B, d_conv]]","[d_inner+2*n_g*d_state, B, d_conv]",0,"[[d_inner+2*n_g*d_state, d_conv]]",[],0,mixer,,1,model.layers.0.mixer,aten.select.int,[model.layers.0.mixer.conv1d.weight],decode,True
20,mixer,,elementwise_mul,"[[B, d_inner+2*n_g*d_state, d_conv], [d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]","[18, 19]",0,mixer,,1,model.layers.0.mixer,aten.mul.Tensor,[],decode,False
21,mixer,,sum,"[[B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state]]",[20],0,mixer,,1,model.layers.0.mixer,aten.sum.dim_IntList,[],decode,True
22,mixer,,add_,"[[B, d_inner+2*n_g*d_state], [d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[21],0,mixer,,1,model.layers.0.mixer,aten.add_.Tensor,[model.layers.0.mixer.conv1d.bias],decode,True
23,mixer,act,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[22],0,mixer,act,2,model.layers.0.mixer.act,aten.silu.default,[],decode,False
24,mixer,,unsqueeze,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, B, d_inner+2*n_g*d_state]]",[23],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
25,mixer,,split_with_sizes,"[[B, B, d_inner+2*n_g*d_state]]",,,"[[B, B, d_inner], [B, B, n_g*d_state], [B, B, n_g*d_state]]",[24],0,mixer,,1,model.layers.0.mixer,aten.split_with_sizes.default,[],decode,True
26,mixer,,_to_copy,[[n_h_ssm]],,,[[n_h_ssm]],[],0,mixer,,1,model.layers.0.mixer,aten._to_copy.default,[model.layers.0.mixer.A_log],decode,True
27,mixer,,exp,[[n_h_ssm]],,,[[n_h_ssm]],[26],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[model.layers.0.mixer.A_log],decode,False
28,mixer,,neg,[[n_h_ssm]],,,[[n_h_ssm]],[27],0,mixer,,1,model.layers.0.mixer,aten.neg.default,[],decode,False
29,mixer,,select,"[[B, B, n_h_ssm]]",,,"[[B, n_h_ssm]]",[13],0,mixer,,1,model.layers.0.mixer,aten.select.int,[],decode,True
30,mixer,,unsqueeze,"[[B, n_h_ssm]]",,,"[[B, B, n_h_ssm]]",[29],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
31,mixer,,transpose,"[[B, B, n_h_ssm]]",,,"[[B, n_h_ssm, B]]",[30],0,mixer,,1,model.layers.0.mixer,aten.transpose.int,[],decode,True
32,mixer,,expand,"[[B, n_h_ssm, B]]",,,"[[B, n_h_ssm, d_head_ssm]]",[31],0,mixer,,1,model.layers.0.mixer,aten.expand.default,[],decode,True
33,mixer,,unsqueeze,[[n_h_ssm]],,,"[[n_h_ssm, B]]",[],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[model.layers.0.mixer.dt_bias],decode,True
34,mixer,,expand,"[[n_h_ssm, B]]",,,"[[n_h_ssm, d_head_ssm]]",[33],0,mixer,,1,model.layers.0.mixer,aten.expand.default,[],decode,True
35,mixer,,elementwise_add,"[[B, n_h_ssm, d_head_ssm], [n_h_ssm, d_head_ssm]]",,,"[[B, n_h_ssm, d_head_ssm]]","[32, 34]",0,mixer,,1,model.layers.0.mixer,aten.add.Tensor,[],decode,False
36,mixer,,softplus,"[[B, n_h_ssm, d_head_ssm]]",,,"[[B, n_h_ssm, d_head_ssm]]",[35],0,mixer,,1,model.layers.0.mixer,aten.softplus.default,[],decode,True
37,mixer,,clamp,"[[B, n_h_ssm, d_head_ssm]]",,,"[[B, n_h_ssm, d_head_ssm]]",[36],0,mixer,,1,model.layers.0.mixer,aten.clamp.default,[],decode,True
38,mixer,,unsqueeze,[[n_h_ssm]],,,"[[n_h_ssm, B]]",[28],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
39,mixer,,unsqueeze,"[[n_h_ssm, B]]",,,"[[n_h_ssm, B, B]]",[38],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
40,mixer,,expand,"[[n_h_ssm, B, B]]",,,"[[n_h_ssm, d_head_ssm, d_state]]",[39],0,mixer,,1,model.layers.0.mixer,aten.expand.default,[],decode,True
41,mixer,,unsqueeze,"[[B, n_h_ssm, d_head_ssm]]",,,"[[B, n_h_ssm, d_head_ssm, B]]",[37],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
42,mixer,,elementwise_mul,"[[B, n_h_ssm, d_head_ssm, B], [n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]","[40, 41]",0,mixer,,1,model.layers.0.mixer,aten.mul.Tensor,[],decode,False
43,mixer,,exp,"[[B, n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]",[42],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],decode,False
44,mixer,,view,"[[B, B, n_g*d_state]]",,,"[[B, n_g_ssm, d_state]]",[25],0,mixer,,1,model.layers.0.mixer,aten.view.default,[],decode,True
45,mixer,,unsqueeze,"[[B, n_g_ssm, d_state]]",,,"[[B, n_g_ssm, B, d_state]]",[44],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
