op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embeddings,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],prefill,False
1,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
2,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
3,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
4,model,,elementwise_add,[[T]],,,[[T]],[3],,other,,1,model,aten.add.Tensor,[],prefill,False
5,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
6,model,,elementwise_add,[[T]],,,[[T]],[5],,other,,1,model,aten.add.Tensor,[],prefill,False
7,model,,unsqueeze,[[B]],,,"[[B, 1]]",[1],,other,,1,model,aten.unsqueeze.default,[],prefill,True
8,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[7],,other,,1,model,aten.unsqueeze.default,[],prefill,True
9,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],prefill,True
10,model,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],prefill,True
11,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[10],,other,,1,model,aten.unsqueeze.default,[],prefill,True
12,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],prefill,True
13,model,,unsqueeze,[[T]],,,"[[B, T]]",[4],,other,,1,model,aten.unsqueeze.default,[],prefill,True
14,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[13],,other,,1,model,aten.unsqueeze.default,[],prefill,True
15,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],prefill,True
16,model,,unsqueeze,[[T]],,,"[[B, T]]",[6],,other,,1,model,aten.unsqueeze.default,[],prefill,True
17,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[16],,other,,1,model,aten.unsqueeze.default,[],prefill,True
18,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[17],,other,,1,model,aten.unsqueeze.default,[],prefill,True
