op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embeddings,embedding,"[[V, d_model], [B, T]]","[V, d_model]","[[B, T, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],prefill,False
1,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",norm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[0],0,norm,,1,model.layers.0.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.norm.weight],prefill,False
2,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,in_proj,matmul,"[[T, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]","[[T, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[1],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.mm.default,[model.layers.0.mixer.in_proj.weight],prefill,False
3,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,conv1d,conv1d,"[[B, d_inner+2*n_g*d_state, T], [d_inner+2*n_g*d_state, B, d_conv], [d_inner+2*n_g*d_state]]","[d_inner+2*n_g*d_state, B, d_conv]","[[B, d_inner+2*n_g*d_state, T+d_conv-1]]",[2],0,mixer,conv1d,2,model.layers.0.mixer.conv1d,aten.convolution.default,"[model.layers.0.mixer.conv1d.bias, model.layers.0.mixer.conv1d.weight]",prefill,False
4,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,act,silu,"[[B, T, d_inner+2*n_g*d_state]]",,"[[B, T, d_inner+2*n_g*d_state]]",[3],0,mixer,act,2,model.layers.0.mixer.act,aten.silu.default,[],prefill,False
5,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,,exp,[[n_h_ssm]],,[[n_h_ssm]],[],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[model.layers.0.mixer.A_log],prefill,False
6,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,,exp,"[[B, n_h_ssm, B, 2*d_state, 2*d_state]]",,"[[B, n_h_ssm, B, 2*d_state, 2*d_state]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
7,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,,exp,"[[B, n_h_ssm, B, 2*d_state]]",,"[[B, n_h_ssm, B, 2*d_state]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
8,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,,exp,"[[B, n_h_ssm, k, k]]",,"[[B, n_h_ssm, k, k]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
9,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,,exp,"[[B, n_h_ssm, B, 2*d_state]]",,"[[B, n_h_ssm, B, 2*d_state]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
10,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,norm,rmsnorm,"[[B, T, d_inner]]",[d_inner],"[[B, T, d_inner]]","[2, 4, 6, 7, 8, 9]",0,mixer,norm,2,model.layers.0.mixer.norm,_to_copy+silu+mul+view+pow+mean+add+rsqrt+mul+view+mul,[model.layers.0.mixer.norm.weight],prefill,False
11,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",mixer,out_proj,matmul,"[[T, d_inner], [d_inner, d_model]]","[d_model, d_inner]","[[T, d_model]]",[10],0,mixer,out_proj,2,model.layers.0.mixer.out_proj,aten.mm.default,[model.layers.0.mixer.out_proj.weight],prefill,False
12,SSM,21,"0,2,4,6-7,9,11,14,16,19,21,23,26,28,30-31,34-36,38,40",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[0, 11]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
