op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embeddings,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],decode,False
1,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",norm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,norm,,1,model.layers.0.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.norm.weight],decode,False
2,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,in_proj,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[1],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.mm.default,[model.layers.0.mixer.in_proj.weight],decode,False
3,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,act,,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[2],0,mixer,act,2,model.layers.0.mixer.act,aten.silu.default,[],decode,False
4,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,,,exp,[[d_state]],,,[[d_state]],[],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[model.layers.0.mixer.A_log],decode,False
5,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,,,exp,"[[B, n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]","[2, 4]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],decode,False
6,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,,,batched_matmul,"[[n_h_ssm, d_head_ssm, d_state], [d_state, d_state, B]]",,,"[[d_state, d_head_ssm, B]]","[2, 3, 5]",0,mixer,,1,model.layers.0.mixer,aten.bmm.default,[],decode,False
7,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,norm,,rmsnorm,"[[B, 1, d_inner]]",[d_inner],-1,"[[B, 1, d_inner]]","[2, 3, 6]",0,mixer,norm,2,model.layers.0.mixer.norm,_to_copy+_to_copy+silu+mul+view+pow+mean+add+rsqrt+mul+view+_to_copy+mul,[model.layers.0.mixer.norm.weight],decode,False
8,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",mixer,out_proj,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]",1,"[[B, d_model]]",[7],0,mixer,out_proj,2,model.layers.0.mixer.out_proj,aten.mm.default,[model.layers.0.mixer.out_proj.weight],decode,False
9,block,40,"0,2,4,6,9,11,13,15,18,20,22,24,27,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64,66,68,71,73,75,77,80,82,84,86",,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
