op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embeddings,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],decode,False
1,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
2,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
3,model,,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],decode,True
4,model,,,elementwise_add,[[B]],,,[[B]],[3],,other,,1,model,aten.add.Tensor,[],decode,False
5,model,,,arange,[],,,[[T+1]],[],,other,,1,model,aten.arange.default,[],decode,True
6,model,,,elementwise_add,[[T+1]],,,[[T+1]],[5],,other,,1,model,aten.add.Tensor,[],decode,False
7,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[1],,other,,1,model,aten.unsqueeze.default,[],decode,True
8,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[7],,other,,1,model,aten.unsqueeze.default,[],decode,True
9,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[8],,other,,1,model,aten.unsqueeze.default,[],decode,True
10,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[2],,other,,1,model,aten.unsqueeze.default,[],decode,True
11,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[10],,other,,1,model,aten.unsqueeze.default,[],decode,True
12,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[11],,other,,1,model,aten.unsqueeze.default,[],decode,True
13,model,,,unsqueeze,[[B]],,,"[[B, 1]]",[4],,other,,1,model,aten.unsqueeze.default,[],decode,True
14,model,,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[13],,other,,1,model,aten.unsqueeze.default,[],decode,True
15,model,,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],decode,True
16,model,,,unsqueeze,[[T+1]],,,"[[B, T+1]]",[6],,other,,1,model,aten.unsqueeze.default,[],decode,True
17,model,,,unsqueeze,"[[B, T+1]]",,,"[[B, 1, T+1]]",[16],,other,,1,model,aten.unsqueeze.default,[],decode,True
18,model,,,unsqueeze,"[[B, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[17],,other,,1,model,aten.unsqueeze.default,[],decode,True
19,model,,,le,"[[B, 1, 1, T+1], [B, 1, 1, 1]]",,,"[[B, 1, 1, T+1]]","[15, 18]",,other,,1,model,aten.le.Tensor,[],decode,True
20,model,,,expand,"[[B, 1, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[19],,other,,1,model,aten.expand.default,[],decode,True
21,model,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],decode,True
22,model,,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[20, 21]",,other,,1,model,aten.where.self,[],decode,True
23,norm,,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],0,norm,,1,model.layers.0.norm,aten._to_copy.default,[],decode,True
24,norm,,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[23],0,norm,,1,model.layers.0.norm,aten.pow.Tensor_Scalar,[],decode,False
25,norm,,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[24],0,norm,,1,model.layers.0.norm,aten.mean.dim,[],decode,False
26,norm,,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[25],0,norm,,1,model.layers.0.norm,aten.add.Tensor,[],decode,False
27,norm,,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[26],0,norm,,1,model.layers.0.norm,aten.rsqrt.default,[],decode,False
28,norm,,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[23, 27]",0,norm,,1,model.layers.0.norm,aten.mul.Tensor,[],decode,False
29,norm,,,_to_copy,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[28],0,norm,,1,model.layers.0.norm,aten._to_copy.default,[],decode,True
30,norm,,,elementwise_mul,"[[d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]",[29],0,norm,,1,model.layers.0.norm,aten.mul.Tensor,[model.layers.0.norm.weight],decode,False
31,mixer,in_proj,,t,"[[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",0,"[[d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.t.default,[model.layers.0.mixer.in_proj.weight],decode,True
32,mixer,in_proj,,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[30],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.view.default,[],decode,True
33,mixer,in_proj,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[31, 32]",0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.mm.default,[model.layers.0.mixer.in_proj.weight],decode,False
34,mixer,in_proj,,_unsafe_view,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, 1, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[33],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten._unsafe_view.default,[],decode,True
35,mixer,,,split_with_sizes,"[[B, 1, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, 1, 0], [B, 1, 0], [B, 1, d_inner], [B, 1, d_inner+2*n_g*d_state], [B, 1, d_state]]",[34],0,mixer,,1,model.layers.0.mixer,aten.split_with_sizes.default,[],decode,True
36,mixer,,,transpose,"[[B, 1, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state, 1]]",[35],0,mixer,,1,model.layers.0.mixer,aten.transpose.int,[],decode,True
37,mixer,,,concat,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, 1]]",,,"[[B, d_inner+2*n_g*d_state, d_conv+1]]",[36],0,mixer,,1,model.layers.0.mixer,aten.cat.default,[],decode,False
38,mixer,,,slice,"[[B, d_inner+2*n_g*d_state, d_conv+1]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[37],0,mixer,,1,model.layers.0.mixer,aten.slice.Tensor,[],decode,True
39,mixer,,,copy_,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[38],0,mixer,,1,model.layers.0.mixer,aten.copy_.default,[],decode,True
40,mixer,,,slice,"[[B, d_inner+2*n_g*d_state, d_conv+1]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[37],0,mixer,,1,model.layers.0.mixer,aten.slice.Tensor,[],decode,True
41,mixer,,,select,"[[d_inner+2*n_g*d_state, 1, d_conv]]","[d_inner+2*n_g*d_state, 1, d_conv]",0,"[[d_inner+2*n_g*d_state, d_conv]]",[],0,mixer,,1,model.layers.0.mixer,aten.select.int,[model.layers.0.mixer.conv1d.weight],decode,True
42,mixer,,,elementwise_mul,"[[B, d_inner+2*n_g*d_state, d_conv], [d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]","[40, 41]",0,mixer,,1,model.layers.0.mixer,aten.mul.Tensor,[],decode,False
43,mixer,,,sum,"[[B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state]]",[42],0,mixer,,1,model.layers.0.mixer,aten.sum.dim_IntList,[],decode,True
44,mixer,,,add_,"[[B, d_inner+2*n_g*d_state], [d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[43],0,mixer,,1,model.layers.0.mixer,aten.add_.Tensor,[model.layers.0.mixer.conv1d.bias],decode,True
45,mixer,act,,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[44],0,mixer,act,2,model.layers.0.mixer.act,aten.silu.default,[],decode,False
46,mixer,,,unsqueeze,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, 1, d_inner+2*n_g*d_state]]",[45],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
47,mixer,,,split_with_sizes,"[[B, 1, d_inner+2*n_g*d_state]]",,,"[[B, 1, d_inner], [B, 1, n_g*d_state], [B, 1, n_g*d_state]]",[46],0,mixer,,1,model.layers.0.mixer,aten.split_with_sizes.default,[],decode,True
48,mixer,,,_to_copy,[[d_state]],,,[[d_state]],[],0,mixer,,1,model.layers.0.mixer,aten._to_copy.default,[model.layers.0.mixer.A_log],decode,True
49,mixer,,,exp,[[d_state]],,,[[d_state]],[48],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[model.layers.0.mixer.A_log],decode,False
50,mixer,,,neg,[[d_state]],,,[[d_state]],[49],0,mixer,,1,model.layers.0.mixer,aten.neg.default,[],decode,False
51,mixer,,,select,"[[B, 1, d_state]]",,,"[[B, d_state]]",[35],0,mixer,,1,model.layers.0.mixer,aten.select.int,[],decode,True
52,mixer,,,unsqueeze,"[[B, d_state]]",,,"[[B, 1, d_state]]",[51],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
53,mixer,,,transpose,"[[B, 1, d_state]]",,,"[[B, d_state, 1]]",[52],0,mixer,,1,model.layers.0.mixer,aten.transpose.int,[],decode,True
54,mixer,,,expand,"[[B, d_state, 1]]",,,"[[B, d_state, d_head_ssm]]",[53],0,mixer,,1,model.layers.0.mixer,aten.expand.default,[],decode,True
55,mixer,,,unsqueeze,[[d_state]],,,"[[d_state, B]]",[],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[model.layers.0.mixer.dt_bias],decode,True
56,mixer,,,expand,"[[d_state, B]]",,,"[[d_state, d_head_ssm]]",[55],0,mixer,,1,model.layers.0.mixer,aten.expand.default,[],decode,True
57,mixer,,,elementwise_add,"[[B, d_state, d_head_ssm], [d_state, d_head_ssm]]",,,"[[B, d_state, d_head_ssm]]","[54, 56]",0,mixer,,1,model.layers.0.mixer,aten.add.Tensor,[],decode,False
58,mixer,,,softplus,"[[B, d_state, d_head_ssm]]",,,"[[B, d_state, d_head_ssm]]",[57],0,mixer,,1,model.layers.0.mixer,aten.softplus.default,[],decode,True
59,mixer,,,clamp,"[[B, d_state, d_head_ssm]]",,,"[[B, d_state, d_head_ssm]]",[58],0,mixer,,1,model.layers.0.mixer,aten.clamp.default,[],decode,True
60,mixer,,,unsqueeze,[[d_state]],,,"[[d_state, B]]",[50],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
61,mixer,,,unsqueeze,"[[d_state, B]]",,,"[[d_state, B, 1]]",[60],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
62,mixer,,,expand,"[[d_state, B, 1]]",,,"[[d_state, d_head_ssm, n_h_ssm]]",[61],0,mixer,,1,model.layers.0.mixer,aten.expand.default,[],decode,True
63,mixer,,,unsqueeze,"[[B, d_state, d_head_ssm]]",,,"[[B, d_state, d_head_ssm, 1]]",[59],0,mixer,,1,model.layers.0.mixer,aten.unsqueeze.default,[],decode,True
64,mixer,,,elementwise_mul,"[[B, d_state, d_head_ssm, 1], [d_state, d_head_ssm, n_h_ssm]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]","[62, 63]",0,mixer,,1,model.layers.0.mixer,aten.mul.Tensor,[],decode,False
65,mixer,,,exp,"[[B, n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]",[64],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],decode,False
66,mixer,,,view,"[[B, 1, n_g*d_state]]",,,"[[B, n_g_ssm, d_state]]",[47],0,mixer,,1,model.layers.0.mixer,aten.view.default,[],decode,True
