op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embeddings,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],decode,False
1,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",norm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,norm,,1,model.layers.0.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.norm.weight],decode,False
2,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,in_proj,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[1],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.mm.default,[model.layers.0.mixer.in_proj.weight],decode,False
3,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,act,,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[2],0,mixer,act,2,model.layers.0.mixer.act,aten.silu.default,[],decode,False
4,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,[[n_h_ssm]],,,[[n_h_ssm]],[],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[model.layers.0.mixer.A_log],decode,False
5,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,"[[B, n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]","[2, 4]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],decode,False
6,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,batched_matmul,"[[n_h_ssm, d_head_ssm, d_state], [n_h_ssm, d_state, B]]",,,"[[n_h_ssm, d_head_ssm, B]]","[2, 3, 5]",0,mixer,,1,model.layers.0.mixer,aten.bmm.default,[],decode,False
7,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,norm,,rmsnorm,"[[B, 1, d_inner]]",[d_inner],-1,"[[B, 1, d_inner]]","[2, 3, 6]",0,mixer,norm,2,model.layers.0.mixer.norm,_to_copy+_to_copy+silu+mul+view+pow+mean+add+rsqrt+mul+view+_to_copy+mul,[model.layers.0.mixer.norm.weight],decode,False
8,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,out_proj,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]",1,"[[B, d_model]]",[7],0,mixer,out_proj,2,model.layers.0.mixer.out_proj,aten.mm.default,[model.layers.0.mixer.out_proj.weight],decode,False
9,block,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
10,MoE,48,"1,3,5,8,10,12,15,17,19,21,24,26,28,30,33,35,37,40,42,44,46,49,51,53,55,58,60,62,65,67,69,71,74,76,78,80,83,85,87,90,92,94,96,99,101,103,105,107",norm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[9],1,norm,,1,model.layers.1.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.1.norm.weight],decode,False
11,MoE,48,"1,3,5,8,10,12,15,17,19,21,24,26,28,30,33,35,37,40,42,44,46,49,51,53,55,58,60,62,65,67,69,71,74,76,78,80,83,85,87,90,92,94,96,99,101,103,105,107",mixer,gate,,matmul,"[[B, d_model], [d_model, E]]","[E, d_model]",1,"[[B, E]]",[10],1,mixer,gate,2,model.layers.1.mixer.gate,aten.mm.default,[model.layers.1.mixer.gate.weight],decode,False
