op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embeddings,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embeddings,aten.embedding.default,[model.embeddings.weight],prefill,False
1,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",norm,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,norm,,1,model.layers.0.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.norm.weight],prefill,False
2,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,in_proj,,matmul,"[[T, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[T, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[1],0,mixer,in_proj,2,model.layers.0.mixer.in_proj,aten.mm.default,[model.layers.0.mixer.in_proj.weight],prefill,False
3,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,conv1d,,conv1d,"[[B, d_inner+2*n_g*d_state, T], [d_inner+2*n_g*d_state, B, d_conv], [d_inner+2*n_g*d_state]]","[d_inner+2*n_g*d_state, 1, d_conv]",1,"[[B, d_inner+2*n_g*d_state, T+d_conv-1]]",[2],0,mixer,conv1d,2,model.layers.0.mixer.conv1d,aten.convolution.default,"[model.layers.0.mixer.conv1d.bias, model.layers.0.mixer.conv1d.weight]",prefill,False
4,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,act,,silu,"[[B, T, d_inner+2*n_g*d_state]]",,,"[[B, T, d_inner+2*n_g*d_state]]",[3],0,mixer,act,2,model.layers.0.mixer.act,aten.silu.default,[],prefill,False
5,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,[[n_h_ssm]],,,[[n_h_ssm]],[],0,mixer,,1,model.layers.0.mixer,aten.exp.default,[model.layers.0.mixer.A_log],prefill,False
6,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,"[[B, n_h_ssm, 1, d_state, d_chunk]]",,,"[[B, n_h_ssm, 1, d_state, d_chunk]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
7,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,"[[B, n_h_ssm, 1, d_state]]",,,"[[B, n_h_ssm, 1, d_state]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
8,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,"[[B, n_h_ssm, n_kv, n_kv]]",,,"[[B, n_h_ssm, n_kv, n_kv]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
9,SSM,48,"0,2,4,6,9,11,13,16,18,20,22,25,27,29,31,34,36,38,41,43,45,47,50,52,54,56,59,61,63,66,68,70,72,75,77,79,81,84,86,88,91,93,95,97,100,102,104,106",mixer,,,exp,"[[B, n_h_ssm, 1, d_state]]",,,"[[B, n_h_ssm, 1, d_state]]","[2, 5]",0,mixer,,1,model.layers.0.mixer,aten.exp.default,[],prefill,False
