op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,transformer,wte,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,transformer.wte,aten.embedding.default,[transformer.wte.weight],decode,False
1,embed,1,,transformer,wpe,embedding,"[[ctx, d_model], [B, 1]]","[ctx, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,transformer.wpe,aten.embedding.default,[transformer.wpe.weight],decode,False
2,-,1,,transformer,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 1]",,other,,1,transformer,aten.add.Tensor,[],decode,False
3,attn,48,0-47,ln_1,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",[d_model],1,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[2],0,ln_1,,1,transformer.h.0.ln_1,native_layer_norm,"[transformer.h.0.ln_1.bias, transformer.h.0.ln_1.weight]",decode,False
4,attn,48,0-47,attn,c_attn,linear,"[[(n_h+2*n_kv)*d_head], [B, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[d_model, (n_h+2*n_kv)*d_head]",2,"[[B, (n_h+2*n_kv)*d_head]]",[3],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.addmm.default,"[transformer.h.0.attn.c_attn.bias, transformer.h.0.attn.c_attn.weight]",decode,False
5,attn,48,0-47,attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]",[4],0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],decode,False
6,attn,48,0-47,attn,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[5],0,attn,,1,transformer.h.0.attn,aten._safe_softmax.default,[],decode,False
7,attn,48,0-47,attn,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[4, 6]",0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],decode,False
8,attn,48,0-47,attn,c_proj,linear,"[[n_h*d_head], [B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",2,"[[B, n_h*d_head]]",[7],0,attn,c_proj,2,transformer.h.0.attn.c_proj,aten.addmm.default,"[transformer.h.0.attn.c_proj.bias, transformer.h.0.attn.c_proj.weight]",decode,False
9,attn,48,0-47,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[2, 8]",0,,,0,transformer.h.0,aten.add.Tensor,[],decode,False
10,attn,48,0-47,ln_2,,layernorm,"[[B, 1, d_model], [d_model], [d_model]]",[d_model],1,"[[B, 1, d_model], [B, 1, 1], [B, 1, 1]]",[9],0,ln_2,,1,transformer.h.0.ln_2,native_layer_norm,"[transformer.h.0.ln_2.bias, transformer.h.0.ln_2.weight]",decode,False
