op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,transformer,,view,"[[B, T]]",,,"[[B, T]]",[],,other,,1,transformer,aten.view.default,[],prefill,True
1,transformer,wte,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[0],,other,,2,transformer.wte,aten.embedding.default,[transformer.wte.weight],prefill,False
2,transformer,wpe,embedding,"[[ctx, d_model], [B, T]]","[ctx, d_model]",0,"[[B, T, d_model]]",[],,other,,2,transformer.wpe,aten.embedding.default,[transformer.wpe.weight],prefill,False
3,transformer,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[1, 2]",,other,,1,transformer,aten.add.Tensor,[],prefill,False
4,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
5,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
6,transformer,,arange,[],,,[[T]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
7,transformer,,elementwise_add,[[T]],,,[[T]],[6],,other,,1,transformer,aten.add.Tensor,[],prefill,False
8,transformer,,arange,[],,,[[T]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
9,transformer,,elementwise_add,[[T]],,,[[T]],[8],,other,,1,transformer,aten.add.Tensor,[],prefill,False
10,transformer,,unsqueeze,[[B]],,,"[[B, 1]]",[4],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
11,transformer,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[10],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
12,transformer,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[11],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
13,transformer,,unsqueeze,[[B]],,,"[[B, 1]]",[5],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
14,transformer,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[13],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
15,transformer,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[14],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
16,transformer,,unsqueeze,[[T]],,,"[[B, T]]",[7],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
17,transformer,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[16],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
18,transformer,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[17],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
19,transformer,,unsqueeze,[[T]],,,"[[B, T]]",[9],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
20,transformer,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[19],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
21,transformer,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[20],,other,,1,transformer,aten.unsqueeze.default,[],prefill,True
22,transformer,,le,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[18, 21]",,other,,1,transformer,aten.le.Tensor,[],prefill,True
23,transformer,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[22],,other,,1,transformer,aten.expand.default,[],prefill,True
24,transformer,,scalar_tensor,[],,,[[]],[],,other,,1,transformer,aten.scalar_tensor.default,[],prefill,True
25,transformer,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[23, 24]",,other,,1,transformer,aten.where.self,[],prefill,True
26,ln_1,,layernorm,"[[B, T, d_model], [d_model], [d_model]]",,,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[3],0,ln_1,,1,transformer.h.0.ln_1,aten.native_layer_norm.default,"[transformer.h.0.ln_1.bias, transformer.h.0.ln_1.weight]",prefill,False
27,attn,c_attn,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[26],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.view.default,[],prefill,True
28,attn,c_attn,linear,"[[(n_h+2*n_kv)*d_head], [T, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[d_model, (n_h+2*n_kv)*d_head]",2,"[[T, (n_h+2*n_kv)*d_head]]",[27],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.addmm.default,"[transformer.h.0.attn.c_attn.bias, transformer.h.0.attn.c_attn.weight]",prefill,False
29,attn,c_attn,view,"[[T, (n_h+2*n_kv)*d_head]]",,,"[[B, T, (n_h+2*n_kv)*d_head]]",[28],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.view.default,[],prefill,True
30,attn,,split,"[[B, T, (n_h+2*n_kv)*d_head]]",,,"[[B, T, n_h*d_head], [B, T, n_h*d_head], [B, T, n_h*d_head]]",[29],0,attn,,1,transformer.h.0.attn,aten.split.Tensor,[],prefill,True
31,attn,,view,"[[B, T, n_h*d_head]]",,,"[[B, T, n_h, d_head]]",[30],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
32,attn,,transpose,"[[B, T, n_h, d_head]]",,,"[[B, n_h, T, d_head]]",[31],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],prefill,True
33,attn,,view,"[[B, T, n_h*d_head]]",,,"[[B, T, n_h, d_head]]",[30],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
34,attn,,transpose,"[[B, T, n_h, d_head]]",,,"[[B, n_h, T, d_head]]",[33],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],prefill,True
35,attn,,view,"[[B, T, n_h*d_head]]",,,"[[B, T, n_h, d_head]]",[30],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
36,attn,,transpose,"[[B, T, n_h, d_head]]",,,"[[B, n_h, T, d_head]]",[35],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],prefill,True
37,attn,,concat,"[[0], [B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[32],0,attn,,1,transformer.h.0.attn,aten.cat.default,[],prefill,False
38,attn,,concat,"[[0], [B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[34],0,attn,,1,transformer.h.0.attn,aten.cat.default,[],prefill,False
39,attn,,transpose,"[[B, n_h, T, d_head]]",,,"[[B, n_h, d_head, T]]",[37],0,attn,,1,transformer.h.0.attn,aten.transpose.int,[],prefill,True
40,attn,,expand,"[[B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[36],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],prefill,True
41,attn,,view,"[[B, n_h, T, d_head]]",,,"[[n_h, T, d_head]]",[40],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
42,attn,,expand,"[[B, n_h, d_head, T]]",,,"[[B, n_h, d_head, T]]",[39],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],prefill,True
43,attn,,view,"[[B, n_h, d_head, T]]",,,"[[n_h, d_head, T]]",[42],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
44,attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]","[41, 43]",0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],prefill,False
45,attn,,_unsafe_view,"[[n_h, T, T]]",,,"[[B, n_h, T, T]]",[44],0,attn,,1,transformer.h.0.attn,aten._unsafe_view.default,[],prefill,True
46,attn,,elementwise_mul,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[45],0,attn,,1,transformer.h.0.attn,aten.mul.Tensor,[],prefill,False
47,attn,,elementwise_add,"[[B, n_h, T, T], [B, 1, T, T]]",,,"[[B, n_h, T, T]]","[25, 46]",0,attn,,1,transformer.h.0.attn,aten.add.Tensor,[],prefill,False
48,attn,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[47],0,attn,,1,transformer.h.0.attn,aten._softmax.default,[],prefill,False
49,attn,,expand,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[48],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],prefill,True
50,attn,,view,"[[B, n_h, T, T]]",,,"[[n_h, T, T]]",[49],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
51,attn,,expand,"[[B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[38],0,attn,,1,transformer.h.0.attn,aten.expand.default,[],prefill,True
52,attn,,view,"[[B, n_h, T, d_head]]",,,"[[n_h, T, d_head]]",[51],0,attn,,1,transformer.h.0.attn,aten.view.default,[],prefill,True
53,attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[50, 52]",0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],prefill,False
