op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,transformer,wte,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,transformer.wte,aten.embedding.default,[transformer.wte.weight],prefill,False
1,embed,1,,transformer,wpe,embedding,"[[ctx, d_model], [B, T]]","[ctx, d_model]",0,"[[B, T, d_model]]",[],,other,,2,transformer.wpe,aten.embedding.default,[transformer.wpe.weight],prefill,False
2,-,1,,transformer,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 1]",,other,,1,transformer,aten.add.Tensor,[],prefill,False
3,attn,48,0-47,ln_1,,layernorm,"[[B, T, d_model], [d_model], [d_model]]",[d_model],1,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[2],0,ln_1,,1,transformer.h.0.ln_1,native_layer_norm,"[transformer.h.0.ln_1.bias, transformer.h.0.ln_1.weight]",prefill,False
4,attn,48,0-47,attn,c_attn,linear,"[[(n_h+2*n_kv)*d_head], [T, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[n_h*d_head, (n_h+2*n_kv)*d_head]",2,"[[T, (n_h+2*n_kv)*d_head]]",[3],0,attn,c_attn,2,transformer.h.0.attn.c_attn,aten.addmm.default,"[transformer.h.0.attn.c_attn.bias, transformer.h.0.attn.c_attn.weight]",prefill,False
5,attn,48,0-47,attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]",[4],0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],prefill,False
6,attn,48,0-47,attn,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[5],0,attn,,1,transformer.h.0.attn,aten._safe_softmax.default,[],prefill,False
7,attn,48,0-47,attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[4, 6]",0,attn,,1,transformer.h.0.attn,aten.bmm.default,[],prefill,False
8,attn,48,0-47,attn,c_proj,linear,"[[n_h*d_head], [T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",2,"[[T, n_h*d_head]]",[7],0,attn,c_proj,2,transformer.h.0.attn.c_proj,aten.addmm.default,"[transformer.h.0.attn.c_proj.bias, transformer.h.0.attn.c_proj.weight]",prefill,False
9,attn,48,0-47,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[2, 8]",0,,,0,transformer.h.0,aten.add.Tensor,[],prefill,False
10,attn,48,0-47,ln_2,,layernorm,"[[B, T, d_model], [d_model], [d_model]]",[d_model],1,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[9],0,ln_2,,1,transformer.h.0.ln_2,native_layer_norm,"[transformer.h.0.ln_2.bias, transformer.h.0.ln_2.weight]",prefill,False
11,attn,48,0-47,mlp,c_fc,linear,"[[d_ff], [T, d_model], [d_model, d_ff]]","[d_model, d_ff]",2,"[[T, d_ff]]",[10],0,mlp,c_fc,2,transformer.h.0.mlp.c_fc,aten.addmm.default,"[transformer.h.0.mlp.c_fc.bias, transformer.h.0.mlp.c_fc.weight]",prefill,False
12,attn,48,0-47,mlp,act,elementwise_mul,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[11],0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],prefill,False
13,attn,48,0-47,mlp,act,elementwise_mul,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[11],0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],prefill,False
14,attn,48,0-47,mlp,act,elementwise_add,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[11, 13]",0,mlp,act,2,transformer.h.0.mlp.act,aten.add.Tensor,[],prefill,False
15,attn,48,0-47,mlp,act,elementwise_mul,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[14],0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],prefill,False
16,attn,48,0-47,mlp,act,tanh,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[15],0,mlp,act,2,transformer.h.0.mlp.act,aten.tanh.default,[],prefill,False
17,attn,48,0-47,mlp,act,elementwise_add,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[16],0,mlp,act,2,transformer.h.0.mlp.act,aten.add.Tensor,[],prefill,False
18,attn,48,0-47,mlp,act,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[12, 17]",0,mlp,act,2,transformer.h.0.mlp.act,aten.mul.Tensor,[],prefill,False
19,attn,48,0-47,mlp,c_proj,linear,"[[d_model], [T, d_ff], [d_ff, d_model]]","[d_ff, d_model]",2,"[[T, d_model]]",[18],0,mlp,c_proj,2,transformer.h.0.mlp.c_proj,aten.addmm.default,"[transformer.h.0.mlp.c_proj.bias, transformer.h.0.mlp.c_proj.weight]",prefill,False
20,attn,48,0-47,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[9, 19]",0,,,0,transformer.h.0,aten.add.Tensor,[],prefill,False
21,norm,1,,transformer,ln_f,layernorm,"[[B, T, d_model], [d_model], [d_model]]",[d_model],1,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[20],,other,,2,transformer.ln_f,native_layer_norm,"[transformer.ln_f.bias, transformer.ln_f.weight]",prefill,False
22,head,1,,lm_head,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]",1,"[[T, V]]",[21],,other,,1,lm_head,aten.mm.default,[transformer.wte.weight],prefill,False
