op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False,
1,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",input_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.input_layernorm.weight],decode,False,
2,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,q_proj,linear,"[[n_h*d_head], [B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",2,"[[B, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.addmm.default,"[model.layers.0.self_attn.q_proj.bias, model.layers.0.self_attn.q_proj.weight]",decode,False,
3,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,k_proj,linear,"[[n_kv*d_head], [B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",2,"[[B, n_kv*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.addmm.default,"[model.layers.0.self_attn.k_proj.bias, model.layers.0.self_attn.k_proj.weight]",decode,False,
4,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,v_proj,linear,"[[n_kv*d_head], [B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",2,"[[B, n_kv*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.addmm.default,"[model.layers.0.self_attn.v_proj.bias, model.layers.0.self_attn.v_proj.weight]",decode,False,
5,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,,batched_matmul,"[[B*n_h, 1, d_head], [B*n_h, d_head, w_local]]",,,"[[B*n_h, 1, w_local]]","[2, 3]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False,
6,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,,softmax,"[[B, n_h, 1, w_local+n_sink]]",,,"[[B, n_h, 1, w_local+n_sink]]",[5],0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],decode,False,
7,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,,batched_matmul,"[[B*n_h, 1, w_local], [B*n_h, w_local, d_head]]",,,"[[B*n_h, 1, d_head]]","[4, 6]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False,
8,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",self_attn,o_proj,linear,"[[d_model], [B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",2,"[[B, d_model]]",[7],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.addmm.default,"[model.layers.0.self_attn.o_proj.bias, model.layers.0.self_attn.o_proj.weight]",decode,False,
9,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False,
10,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",post_attention_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.post_attention_layernorm.weight],decode,False,
11,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,router,linear,"[[E], [B, d_model], [d_model, E]]","[E, d_model]",2,"[[B, E]]",[10],0,mlp,router,2,model.layers.0.mlp.router,aten.addmm.default,"[model.layers.0.mlp.router.bias, model.layers.0.mlp.router.weight]",decode,False,
12,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,router,softmax,"[[B, k]]",,,"[[B, k]]",[11],0,mlp,router,2,model.layers.0.mlp.router,aten._softmax.default,[],decode,False,
13,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,grouped_matmul,"[[B*k, d_model], [E, d_model, 2*d_moe], [E]]","[E, d_model, 2*d_moe]",1,"[[B*k, 2*d_moe]]","[10, 11]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.gate_up_proj],decode,False,
14,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,add_,"[[B*k, 2*d_moe], [B*k, 2*d_moe]]",,,"[[B*k, 2*d_moe]]","[11, 13]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.add_.Tensor,[],decode,True,
15,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,elementwise_mul,"[[B*k, d_moe]]",,,"[[B*k, d_moe]]",[14],0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False,
16,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,sigmoid,"[[B*k, d_moe]]",,,"[[B*k, d_moe]]",[15],0,mlp,experts,2,model.layers.0.mlp.experts,aten.sigmoid.default,[],decode,False,
17,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,elementwise_mul,"[[B*k, d_moe], [B*k, d_moe]]",,,"[[B*k, d_moe]]","[14, 16]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False,
18,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,elementwise_add,"[[B*k, d_moe]]",,,"[[B*k, d_moe]]",[14],0,mlp,experts,2,model.layers.0.mlp.experts,aten.add.Tensor,[],decode,False,
19,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,elementwise_mul,"[[B*k, d_moe], [B*k, d_moe]]",,,"[[B*k, d_moe]]","[17, 18]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False,
20,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,grouped_matmul,"[[B*k, d_moe], [E, d_moe, d_model], [E]]","[E, d_moe, d_model]",1,"[[B*k, d_model]]","[11, 19]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.down_proj],decode,False,
21,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,add_,"[[B*k, d_model], [B*k, d_model]]",,,"[[B*k, d_model]]","[11, 20]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.add_.Tensor,[],decode,True,
22,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,elementwise_mul,"[[B*k, d_model], [B*k, 1]]",,,"[[B*k, d_model]]","[11, 12, 21]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False,
23,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",mlp,experts,sum,"[[B, k, d_model]]",,,"[[B, d_model]]","[11, 22]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.sum.dim_IntList,[],decode,True,
24,attn+MoE,18,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34",,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[9, 23]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False,
25,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",input_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[24],1,input_layernorm,,1,model.layers.1.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.1.input_layernorm.weight],decode,False,
26,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,q_proj,linear,"[[n_h*d_head], [B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",2,"[[B, n_h*d_head]]",[25],1,self_attn,q_proj,2,model.layers.1.self_attn.q_proj,aten.addmm.default,"[model.layers.1.self_attn.q_proj.bias, model.layers.1.self_attn.q_proj.weight]",decode,False,
27,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,k_proj,linear,"[[n_kv*d_head], [B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",2,"[[B, n_kv*d_head]]",[25],1,self_attn,k_proj,2,model.layers.1.self_attn.k_proj,aten.addmm.default,"[model.layers.1.self_attn.k_proj.bias, model.layers.1.self_attn.k_proj.weight]",decode,False,
28,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,v_proj,linear,"[[n_kv*d_head], [B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",2,"[[B, n_kv*d_head]]",[25],1,self_attn,v_proj,2,model.layers.1.self_attn.v_proj,aten.addmm.default,"[model.layers.1.self_attn.v_proj.bias, model.layers.1.self_attn.v_proj.weight]",decode,False,
29,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,,batched_matmul,"[[B*n_h, 1, d_head], [B*n_h, d_head, T+1]]",,,"[[B*n_h, 1, T+1]]","[26, 27]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],decode,False,
30,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,,softmax,"[[B, n_h, 1, (T+1)+n_sink]]",,,"[[B, n_h, 1, (T+1)+n_sink]]",[29],1,self_attn,,1,model.layers.1.self_attn,aten._softmax.default,[],decode,False,
31,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,,batched_matmul,"[[B*n_h, 1, T+1], [B*n_h, T+1, d_head]]",,,"[[B*n_h, 1, d_head]]","[28, 30]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],decode,False,
32,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",self_attn,o_proj,linear,"[[d_model], [B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",2,"[[B, d_model]]",[31],1,self_attn,o_proj,2,model.layers.1.self_attn.o_proj,aten.addmm.default,"[model.layers.1.self_attn.o_proj.bias, model.layers.1.self_attn.o_proj.weight]",decode,False,
33,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[24, 32]",1,,,0,model.layers.1,aten.add.Tensor,[],decode,False,
34,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",post_attention_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[33],1,post_attention_layernorm,,1,model.layers.1.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.1.post_attention_layernorm.weight],decode,False,
35,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,router,linear,"[[E], [B, d_model], [d_model, E]]","[E, d_model]",2,"[[B, E]]",[34],1,mlp,router,2,model.layers.1.mlp.router,aten.addmm.default,"[model.layers.1.mlp.router.bias, model.layers.1.mlp.router.weight]",decode,False,
36,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,router,softmax,"[[B, k]]",,,"[[B, k]]",[35],1,mlp,router,2,model.layers.1.mlp.router,aten._softmax.default,[],decode,False,
37,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,grouped_matmul,"[[B*k, d_model], [E, d_model, 2*d_moe], [E]]","[E, d_model, 2*d_moe]",1,"[[B*k, 2*d_moe]]","[34, 35]",1,mlp,experts,2,model.layers.1.mlp.experts,aten._grouped_mm.default,[model.layers.1.mlp.experts.gate_up_proj],decode,False,
