op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
1,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
2,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
3,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
4,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
5,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
6,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
7,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
8,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
9,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
10,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
11,model,,lift_fresh,[[]],,,[[]],[],,other,,1,model,aten.lift_fresh.default,[],prefill,True
12,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
13,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
14,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
15,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
16,model,,elementwise_add,[[T]],,,[[T]],[15],,other,,1,model,aten.add.Tensor,[],prefill,False
17,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
18,model,,elementwise_add,[[T]],,,[[T]],[17],,other,,1,model,aten.add.Tensor,[],prefill,False
19,model,,unsqueeze,[[B]],,,"[[B, 1]]",[13],,other,,1,model,aten.unsqueeze.default,[],prefill,True
20,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[19],,other,,1,model,aten.unsqueeze.default,[],prefill,True
21,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[20],,other,,1,model,aten.unsqueeze.default,[],prefill,True
22,model,,unsqueeze,[[B]],,,"[[B, 1]]",[14],,other,,1,model,aten.unsqueeze.default,[],prefill,True
23,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[22],,other,,1,model,aten.unsqueeze.default,[],prefill,True
24,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[23],,other,,1,model,aten.unsqueeze.default,[],prefill,True
25,model,,unsqueeze,[[T]],,,"[[B, T]]",[16],,other,,1,model,aten.unsqueeze.default,[],prefill,True
26,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[25],,other,,1,model,aten.unsqueeze.default,[],prefill,True
27,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[26],,other,,1,model,aten.unsqueeze.default,[],prefill,True
28,model,,unsqueeze,[[T]],,,"[[B, T]]",[18],,other,,1,model,aten.unsqueeze.default,[],prefill,True
29,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[28],,other,,1,model,aten.unsqueeze.default,[],prefill,True
30,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[29],,other,,1,model,aten.unsqueeze.default,[],prefill,True
31,model,,le,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[27, 30]",,other,,1,model,aten.le.Tensor,[],prefill,True
32,model,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[31],,other,,1,model,aten.expand.default,[],prefill,True
33,model,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True
34,model,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[32, 33]",,other,,1,model,aten.where.self,[],prefill,True
35,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
36,model,,arange,[],,,[[B]],[],,other,,1,model,aten.arange.default,[],prefill,True
37,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
38,model,,elementwise_add,[[T]],,,[[T]],[37],,other,,1,model,aten.add.Tensor,[],prefill,False
39,model,,arange,[],,,[[T]],[],,other,,1,model,aten.arange.default,[],prefill,True
40,model,,elementwise_add,[[T]],,,[[T]],[39],,other,,1,model,aten.add.Tensor,[],prefill,False
41,model,,unsqueeze,[[B]],,,"[[B, 1]]",[35],,other,,1,model,aten.unsqueeze.default,[],prefill,True
42,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[41],,other,,1,model,aten.unsqueeze.default,[],prefill,True
43,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[42],,other,,1,model,aten.unsqueeze.default,[],prefill,True
44,model,,unsqueeze,[[B]],,,"[[B, 1]]",[36],,other,,1,model,aten.unsqueeze.default,[],prefill,True
45,model,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[44],,other,,1,model,aten.unsqueeze.default,[],prefill,True
46,model,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[45],,other,,1,model,aten.unsqueeze.default,[],prefill,True
47,model,,unsqueeze,[[T]],,,"[[B, T]]",[38],,other,,1,model,aten.unsqueeze.default,[],prefill,True
48,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[47],,other,,1,model,aten.unsqueeze.default,[],prefill,True
49,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, T, 1]]",[48],,other,,1,model,aten.unsqueeze.default,[],prefill,True
50,model,,unsqueeze,[[T]],,,"[[B, T]]",[40],,other,,1,model,aten.unsqueeze.default,[],prefill,True
51,model,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[50],,other,,1,model,aten.unsqueeze.default,[],prefill,True
52,model,,unsqueeze,"[[B, 1, T]]",,,"[[B, 1, 1, T]]",[51],,other,,1,model,aten.unsqueeze.default,[],prefill,True
53,model,,new_ones,"[[B, 1, T, 1]]",,,[[]],[49],,other,,1,model,aten.new_ones.default,[],prefill,True
54,model,,sub,"[[B, 1, T, 1]]",,,"[[B, 1, T, 1]]",[49],,other,,1,model,aten.sub.Tensor,[],prefill,True
55,model,,gt,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[52, 54]",,other,,1,model,aten.gt.Tensor,[],prefill,True
56,model,,bitwise_and,"[[], [B, 1, T, T]]",,,"[[B, 1, T, T]]","[53, 55]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True
57,model,,le,"[[B, 1, 1, T], [B, 1, T, 1]]",,,"[[B, 1, T, T]]","[49, 52]",,other,,1,model,aten.le.Tensor,[],prefill,True
58,model,,bitwise_and,"[[B, 1, T, T], [B, 1, T, T]]",,,"[[B, 1, T, T]]","[56, 57]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True
59,model,,expand,"[[B, 1, T, T]]",,,"[[B, 1, T, T]]",[58],,other,,1,model,aten.expand.default,[],prefill,True
60,model,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True
61,model,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[59, 60]",,other,,1,model,aten.where.self,[],prefill,True
62,model,rotary_emb,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],prefill,True
63,model,rotary_emb,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[62],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
64,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[63],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
65,model,rotary_emb,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
66,model,rotary_emb,_to_copy,"[[B, 1, T]]",,,"[[B, 1, T]]",[65],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True
67,model,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[64],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
68,model,rotary_emb,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[67],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True
69,model,rotary_emb,expand,"[[B, 1, T]]",,,"[[B, 1, T]]",[66],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
