op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.input_layernorm.weight],prefill,False
2,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,q_proj,linear,"[[n_h*d_head], [T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",2,"[[T, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.addmm.default,"[model.layers.0.self_attn.q_proj.bias, model.layers.0.self_attn.q_proj.weight]",prefill,False
3,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,k_proj,linear,"[[n_kv*d_head], [T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",2,"[[T, n_kv*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.addmm.default,"[model.layers.0.self_attn.k_proj.bias, model.layers.0.self_attn.k_proj.weight]",prefill,False
4,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,v_proj,linear,"[[n_kv*d_head], [T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",2,"[[T, n_kv*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.addmm.default,"[model.layers.0.self_attn.v_proj.bias, model.layers.0.self_attn.v_proj.weight]",prefill,False
5,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]","[2, 3]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
6,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,,softmax,"[[B, n_h, T, T+1]]",,,"[[B, n_h, T, T+1]]",[5],0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],prefill,False
7,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[4, 6]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
8,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",self_attn,o_proj,linear,"[[d_model], [T, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",2,"[[T, d_model]]",[7],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.addmm.default,"[model.layers.0.self_attn.o_proj.bias, model.layers.0.self_attn.o_proj.weight]",prefill,False
9,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 8]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
10,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",post_attention_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[9],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.layers.0.post_attention_layernorm.weight],prefill,False
11,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",mlp,router,linear,"[[E], [T, d_model], [d_model, E]]","[E, d_model]",2,"[[T, E]]",[10],0,mlp,router,2,model.layers.0.mlp.router,aten.addmm.default,"[model.layers.0.mlp.router.bias, model.layers.0.mlp.router.weight]",prefill,False
12,attn+MoE,12,"0,2,4,6,8,10,12,14,16,18,20,22",mlp,router,softmax,"[[T, k]]",,,"[[T, k]]",[11],0,mlp,router,2,model.layers.0.mlp.router,aten._softmax.default,[],prefill,False
