op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,attn+MoE,32,0-31,input_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
2,attn+MoE,32,0-31,self_attn,q_proj,,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[B, n_h*d_head]]",[1],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
3,attn+MoE,32,0-31,self_attn,k_proj,,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]",[1],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
4,attn+MoE,32,0-31,self_attn,v_proj,,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]",[1],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],decode,False
5,attn+MoE,32,0-31,self_attn,query_layernorm,,rmsnorm,"[[B, n_h, 1, d_head]]",[d_head],-1,"[[B, n_h, 1, d_head]]",[2],0,self_attn,query_layernorm,2,model.layers.0.self_attn.query_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.query_layernorm.weight],decode,False
6,attn+MoE,32,0-31,self_attn,key_layernorm,,rmsnorm,"[[B, n_kv, 1, d_head]]",[d_head],-1,"[[B, n_kv, 1, d_head]]",[3],0,self_attn,key_layernorm,2,model.layers.0.self_attn.key_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.key_layernorm.weight],decode,False
7,attn+MoE,32,0-31,self_attn,,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[5, 6]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
8,attn+MoE,32,0-31,self_attn,,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]",[7],0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],decode,False
9,attn+MoE,32,0-31,self_attn,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[4, 8]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
10,attn+MoE,32,0-31,self_attn,o_proj,,matmul,"[[B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]",1,"[[B, d_model]]",[9],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
11,attn+MoE,32,0-31,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 10]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
12,attn+MoE,32,0-31,post_attention_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[11],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],decode,False
13,attn+MoE,32,0-31,mlp,shared_mlp,gate_proj,matmul,"[[B, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[B, d_moe]]",[12],0,mlp,shared_mlp,3,model.layers.0.mlp.shared_mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.shared_mlp.gate_proj.weight],decode,False
14,attn+MoE,32,0-31,mlp,shared_mlp,act_fn,silu,"[[B, 1, 3072]]",,,"[[B, 1, 3072]]",[13],0,mlp,shared_mlp,3,model.layers.0.mlp.shared_mlp.act_fn,aten.silu.default,[],decode,False
15,attn+MoE,32,0-31,mlp,shared_mlp,up_proj,matmul,"[[B, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[B, d_moe]]",[12],0,mlp,shared_mlp,3,model.layers.0.mlp.shared_mlp.up_proj,aten.mm.default,[model.layers.0.mlp.shared_mlp.up_proj.weight],decode,False
16,attn+MoE,32,0-31,mlp,shared_mlp,down_proj,matmul,"[[B, 3072], [3072, d_model]]","[d_model, 3072]",1,"[[B, d_model]]","[14, 15]",0,mlp,shared_mlp,3,model.layers.0.mlp.shared_mlp.down_proj,aten.mm.default,[model.layers.0.mlp.shared_mlp.down_proj.weight],decode,False
17,attn+MoE,32,0-31,mlp,gate,wg,matmul,"[[B, d_model], [d_model, E]]","[E, d_model]",1,"[[B, E]]",[12],0,mlp,gate,3,model.layers.0.mlp.gate.wg,aten.mm.default,[model.layers.0.mlp.gate.wg.weight],decode,False
18,attn+MoE,32,0-31,mlp,gate,,softmax,"[[B, E]]",,,"[[B, E]]",[17],0,mlp,gate,2,model.layers.0.mlp.gate,aten._softmax.default,[],decode,False
19,attn+MoE,32,0-31,mlp,experts,,grouped_matmul,"[[k, d_model], [E, d_model, 2*d_moe], [E]]","[E, 2*d_moe, d_model]",1,"[[k, 2*d_moe]]","[12, 18]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.gate_up_proj],decode,False
20,attn+MoE,32,0-31,mlp,experts,act_fn,silu,"[[k, d_moe]]",,,"[[k, d_moe]]",[19],0,mlp,experts,3,model.layers.0.mlp.experts.act_fn,aten.silu.default,[],decode,False
21,attn+MoE,32,0-31,mlp,experts,,elementwise_mul,"[[k, d_moe], [k, d_moe]]",,,"[[k, d_moe]]","[19, 20]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False
22,attn+MoE,32,0-31,mlp,experts,,grouped_matmul,"[[k, d_moe], [E, d_moe, d_model], [E]]","[E, d_model, d_moe]",1,"[[k, d_model]]","[18, 21]",0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.down_proj],decode,False
23,attn+MoE,32,0-31,mlp,experts,,elementwise_mul,"[[k, d_model], [k, B]]",,,"[[k, d_model]]","[18, 22]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],decode,False
24,attn+MoE,32,0-31,mlp,experts,,sum,"[[B, k, d_model]]",,,"[[B, d_model]]","[18, 23]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.sum.dim_IntList,[],decode,True
25,attn+MoE,32,0-31,mlp,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[16, 24]",0,mlp,,1,model.layers.0.mlp,aten.add.Tensor,[],decode,False
26,attn+MoE,32,0-31,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[11, 25]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
27,norm,1,,model,norm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[26],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.norm.weight],decode,False
28,head,1,,lm_head,,,matmul,"[[B, d_model], [d_model, V]]","[V, d_model]",1,"[[B, V]]",[27],,other,,1,lm_head,aten.mm.default,[model.embed_tokens.weight],decode,False
