op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,-,1,,model,,elementwise_mul,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[0],,other,,1,model,aten.mul.Tensor,[],decode,False
2,attn+FFN,44,0-43,input_layernorm,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[1],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
3,attn+FFN,44,0-43,mamba,,elementwise_mul,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[2],0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
4,attn+FFN,44,0-43,mamba,in_proj,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[3],0,mamba,in_proj,2,model.layers.0.mamba.in_proj,aten.mm.default,[model.layers.0.mamba.in_proj.weight],decode,False
5,attn+FFN,44,0-43,mamba,act,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[4],0,mamba,act,2,model.layers.0.mamba.act,aten.silu.default,[],decode,False
6,attn+FFN,44,0-43,mamba,,exp,[[n_h_ssm]],,,[[n_h_ssm]],[],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[model.layers.0.mamba.A_log],decode,False
7,attn+FFN,44,0-43,mamba,,exp,"[[B, n_h_ssm, d_head_ssm, d_state]]",,,"[[B, n_h_ssm, d_head_ssm, d_state]]","[4, 6]",0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],decode,False
8,attn+FFN,44,0-43,mamba,,batched_matmul,"[[n_h_ssm, d_head_ssm, d_state], [n_h_ssm, d_state, B]]",,,"[[n_h_ssm, d_head_ssm, B]]","[4, 5, 7]",0,mamba,,1,model.layers.0.mamba,aten.bmm.default,[],decode,False
9,attn+FFN,44,0-43,mamba,norm,rmsnorm,"[[B, 1, d_inner]]",[d_inner],-1,"[[B, d_inner]]","[4, 5, 8]",0,mamba,norm,2,model.layers.0.mamba.norm,_to_copy+silu+mul+view+pow+mean+add+rsqrt+mul+view+mul+view+squeeze+_to_copy,[model.layers.0.mamba.norm.weight],decode,False
10,attn+FFN,44,0-43,mamba,out_proj,matmul,"[[B, d_inner], [d_inner, d_inner]]","[d_inner, d_inner]",1,"[[B, d_inner]]",[9],0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten.mm.default,[model.layers.0.mamba.out_proj.weight],decode,False
11,attn+FFN,44,0-43,,,elementwise_mul,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[2],0,,,0,model.layers.0,aten.mul.Tensor,[],decode,False
12,attn+FFN,44,0-43,self_attn,q_proj,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]",1,"[[B, n_h*d_head]]",[11],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],decode,False
13,attn+FFN,44,0-43,self_attn,k_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]",[11],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],decode,False
14,attn+FFN,44,0-43,self_attn,v_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]",1,"[[B, n_kv*d_head]]",[11],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],decode,False
15,attn+FFN,44,0-43,self_attn,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
