op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,transformer,word_embeddings,embedding,"[[V, d_model], [B, B]]","[V, d_model]",0,"[[B, B, d_model]]",[],,other,,2,transformer.word_embeddings,aten.embedding.default,[transformer.word_embeddings.weight],decode,False
1,attn,32,0-31,input_layernorm,,layernorm,"[[B, B, d_model], [d_model], [d_model]]",[d_model],1,"[[B, B, d_model], [B, B, B], [B, B, B]]",[0],0,input_layernorm,,1,transformer.h.0.input_layernorm,native_layer_norm,"[transformer.h.0.input_layernorm.bias, transformer.h.0.input_layernorm.weight]",decode,False
2,attn,32,0-31,self_attention,query_key_value,matmul,"[[B, n_h*d_head], [n_h*d_head, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, n_h*d_head]",1,"[[B, (n_h+2*n_kv)*d_head]]",[1],0,self_attention,query_key_value,2,transformer.h.0.self_attention.query_key_value,aten.mm.default,[transformer.h.0.self_attention.query_key_value.weight],decode,False
3,attn,32,0-31,self_attention,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,,"[[n_h, B, T+1]]",[2],0,self_attention,,1,transformer.h.0.self_attention,aten.bmm.default,[],decode,False
4,attn,32,0-31,self_attention,,softmax,"[[B, n_h, B, T+1]]",,,"[[B, n_h, B, T+1]]",[3],0,self_attention,,1,transformer.h.0.self_attention,aten._safe_softmax.default,[],decode,False
5,attn,32,0-31,self_attention,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,,"[[n_h, B, d_head]]","[2, 4]",0,self_attention,,1,transformer.h.0.self_attention,aten.bmm.default,[],decode,False
6,attn,32,0-31,self_attention,dense,matmul,"[[B, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[B, n_h*d_head]]",[5],0,self_attention,dense,2,transformer.h.0.self_attention.dense,aten.mm.default,[transformer.h.0.self_attention.dense.weight],decode,False
7,attn,32,0-31,mlp,dense_h_to_4h,matmul,"[[B, d_model], [d_model, 4*d_model]]","[4*d_model, d_model]",1,"[[B, 4*d_model]]",[1],0,mlp,dense_h_to_4h,2,transformer.h.0.mlp.dense_h_to_4h,aten.mm.default,[transformer.h.0.mlp.dense_h_to_4h.weight],decode,False
8,attn,32,0-31,mlp,act,gelu,"[[B, B, 4*d_model]]",,,"[[B, B, 4*d_model]]",[7],0,mlp,act,2,transformer.h.0.mlp.act,aten.gelu.default,[],decode,False
9,attn,32,0-31,mlp,dense_4h_to_h,matmul,"[[B, 4*d_model], [4*d_model, d_model]]","[d_model, 4*d_model]",1,"[[B, d_model]]",[8],0,mlp,dense_4h_to_h,2,transformer.h.0.mlp.dense_4h_to_h,aten.mm.default,[transformer.h.0.mlp.dense_4h_to_h.weight],decode,False
10,attn,32,0-31,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,,"[[B, B, d_model]]","[0, 6, 9]",0,,,0,transformer.h.0,aten.add.Tensor,[],decode,False
11,norm,1,,transformer,ln_f,layernorm,"[[B, B, d_model], [d_model], [d_model]]",[d_model],1,"[[B, B, d_model], [B, B, B], [B, B, B]]",[10],,other,,2,transformer.ln_f,native_layer_norm,"[transformer.ln_f.bias, transformer.ln_f.weight]",decode,False
12,head,1,,lm_head,,matmul,"[[B, d_model], [d_model, V]]","[V, d_model]",1,"[[B, V]]",[11],,other,,1,lm_head,aten.mm.default,[transformer.word_embeddings.weight],decode,False
