op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,transformer,word_embeddings,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,transformer.word_embeddings,aten.embedding.default,[transformer.word_embeddings.weight],decode,False
1,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],decode,True
2,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],decode,True
3,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],decode,True
4,transformer,,elementwise_add,[[B]],,,[[B]],[3],,other,,1,transformer,aten.add.Tensor,[],decode,False
5,transformer,,arange,[],,,[[T+1]],[],,other,,1,transformer,aten.arange.default,[],decode,True
6,transformer,,elementwise_add,[[T+1]],,,[[T+1]],[5],,other,,1,transformer,aten.add.Tensor,[],decode,False
7,transformer,,new_ones,[[B]],,,[[B]],[4],,other,,1,transformer,aten.new_ones.default,[],decode,True
8,transformer,,view,[[B]],,,"[[B, 1]]",[4],,other,,1,transformer,aten.view.default,[],decode,True
9,transformer,,le,"[[T+1], [B, 1]]",,,"[[B, T+1]]","[6, 8]",,other,,1,transformer,aten.le.Tensor,[],decode,True
10,transformer,,select,"[[B, T+1]]",,,[[B]],[9],,other,,1,transformer,aten.select.int,[],decode,True
11,transformer,,select,[[B]],,,[[]],[7],,other,,1,transformer,aten.select.int,[],decode,True
12,transformer,,view,[[B]],,,"[[B, 1]]",[7],,other,,1,transformer,aten.view.default,[],decode,True
13,transformer,,bitwise_and,"[[B, 1], [B, T+1]]",,,"[[B, T+1]]","[9, 12]",,other,,1,transformer,aten.bitwise_and.Tensor,[],decode,True
14,transformer,,lift_fresh,[[]],,,[[]],[],,other,,1,transformer,aten.lift_fresh.default,[],decode,True
15,transformer,,_to_copy,[[]],,,[[]],[14],,other,,1,transformer,aten._to_copy.default,[],decode,True
16,transformer,,select,"[[B, T+1]]",,,[[B]],[13],,other,,1,transformer,aten.select.int,[],decode,True
17,transformer,,bitwise_and,"[[B, T+1], []]",,,"[[B, T+1]]","[13, 15]",,other,,1,transformer,aten.bitwise_and.Tensor,[],decode,True
18,transformer,,expand,"[[B, T+1]]",,,"[[B, 1, T+1]]",[17],,other,,1,transformer,aten.expand.default,[],decode,True
19,transformer,,expand,"[[B, 1, T+1]]",,,"[[B, 1, 1, T+1]]",[18],,other,,1,transformer,aten.expand.default,[],decode,True
20,transformer,,scalar_tensor,[],,,[[]],[],,other,,1,transformer,aten.scalar_tensor.default,[],decode,True
21,transformer,,where,"[[B, 1, 1, T+1], [], []]",,,"[[B, 1, 1, T+1]]","[19, 20]",,other,,1,transformer,aten.where.self,[],decode,True
