op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,transformer,word_embeddings,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,transformer.word_embeddings,aten.embedding.default,[transformer.word_embeddings.weight],prefill,False
1,attn,32,0-31,input_layernorm,,layernorm,"[[B, T, d_model], [d_model], [d_model]]",[d_model],1,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[0],0,input_layernorm,,1,transformer.h.0.input_layernorm,native_layer_norm,"[transformer.h.0.input_layernorm.bias, transformer.h.0.input_layernorm.weight]",prefill,False
2,attn,32,0-31,self_attention,query_key_value,matmul,"[[T, n_h*d_head], [n_h*d_head, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, n_h*d_head]",1,"[[T, (n_h+2*n_kv)*d_head]]",[1],0,self_attention,query_key_value,2,transformer.h.0.self_attention.query_key_value,aten.mm.default,[transformer.h.0.self_attention.query_key_value.weight],prefill,False
3,attn,32,0-31,self_attention,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T]]",,,"[[n_h, T, T]]",[2],0,self_attention,,1,transformer.h.0.self_attention,aten.bmm.default,[],prefill,False
4,attn,32,0-31,self_attention,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]",[3],0,self_attention,,1,transformer.h.0.self_attention,aten._safe_softmax.default,[],prefill,False
5,attn,32,0-31,self_attention,,batched_matmul,"[[n_h, T, T], [n_h, T, d_head]]",,,"[[n_h, T, d_head]]","[2, 4]",0,self_attention,,1,transformer.h.0.self_attention,aten.bmm.default,[],prefill,False
6,attn,32,0-31,self_attention,dense,matmul,"[[T, n_h*d_head], [n_h*d_head, n_h*d_head]]","[n_h*d_head, n_h*d_head]",1,"[[T, n_h*d_head]]",[5],0,self_attention,dense,2,transformer.h.0.self_attention.dense,aten.mm.default,[transformer.h.0.self_attention.dense.weight],prefill,False
7,attn,32,0-31,mlp,dense_h_to_4h,matmul,"[[T, d_model], [d_model, 4*d_model]]","[4*d_model, d_model]",1,"[[T, 4*d_model]]",[1],0,mlp,dense_h_to_4h,2,transformer.h.0.mlp.dense_h_to_4h,aten.mm.default,[transformer.h.0.mlp.dense_h_to_4h.weight],prefill,False
8,attn,32,0-31,mlp,act,gelu,"[[B, T, 4*d_model]]",,,"[[B, T, 4*d_model]]",[7],0,mlp,act,2,transformer.h.0.mlp.act,aten.gelu.default,[],prefill,False
9,attn,32,0-31,mlp,dense_4h_to_h,matmul,"[[T, 4*d_model], [4*d_model, d_model]]","[d_model, 4*d_model]",1,"[[T, d_model]]",[8],0,mlp,dense_4h_to_h,2,transformer.h.0.mlp.dense_4h_to_h,aten.mm.default,[transformer.h.0.mlp.dense_4h_to_h.weight],prefill,False
10,attn,32,0-31,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 6, 9]",0,,,0,transformer.h.0,aten.add.Tensor,[],prefill,False
11,norm,1,,transformer,ln_f,layernorm,"[[B, T, d_model], [d_model], [d_model]]",[d_model],1,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[10],,other,,2,transformer.ln_f,native_layer_norm,"[transformer.ln_f.bias, transformer.ln_f.weight]",prefill,False
12,head,1,,lm_head,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]",1,"[[T, V]]",[11],,other,,1,lm_head,aten.mm.default,[transformer.word_embeddings.weight],prefill,False
