op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],decode,False
1,MLA+FFN,3,0-2,input_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],decode,False
2,MLA+FFN,3,0-2,self_attn,q_a_proj,,matmul,"[[B, d_model], [d_model, c_q]]","[c_q, d_model]",1,"[[B, c_q]]",[1],0,self_attn,q_a_proj,2,model.layers.0.self_attn.q_a_proj,aten.mm.default,[model.layers.0.self_attn.q_a_proj.weight],decode,False
3,MLA+FFN,3,0-2,self_attn,q_a_layernorm,,rmsnorm,"[[B, 1, c_q]]",[c_q],-1,"[[B, 1, c_q]]",[2],0,self_attn,q_a_layernorm,2,model.layers.0.self_attn.q_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_a_layernorm.weight],decode,False
4,MLA+FFN,3,0-2,self_attn,q_b_proj,,matmul,"[[B, c_q], [c_q, n_h*(d_nope+d_rope)]]","[n_h*(d_nope+d_rope), c_q]",1,"[[B, n_h*(d_nope+d_rope)]]",[3],0,self_attn,q_b_proj,2,model.layers.0.self_attn.q_b_proj,aten.mm.default,[model.layers.0.self_attn.q_b_proj.weight],decode,False
5,MLA+FFN,3,0-2,self_attn,kv_a_proj_with_mqa,,matmul,"[[B, d_model], [d_model, c_kv+d_rope]]","[c_kv+d_rope, d_model]",1,"[[B, c_kv+d_rope]]",[1],0,self_attn,kv_a_proj_with_mqa,2,model.layers.0.self_attn.kv_a_proj_with_mqa,aten.mm.default,[model.layers.0.self_attn.kv_a_proj_with_mqa.weight],decode,False
6,MLA+FFN,3,0-2,self_attn,kv_a_layernorm,,rmsnorm,"[[B, 1, c_kv]]",[c_kv],-1,"[[B, 1, c_kv]]",[5],0,self_attn,kv_a_layernorm,2,model.layers.0.self_attn.kv_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_a_layernorm.weight],decode,False
7,MLA+FFN,3,0-2,self_attn,kv_b_proj,,matmul,"[[B, c_kv], [c_kv, n_h*(d_nope+d_v)]]","[n_h*(d_nope+d_v), c_kv]",1,"[[B, n_h*(d_nope+d_v)]]",[6],0,self_attn,kv_b_proj,2,model.layers.0.self_attn.kv_b_proj,aten.mm.default,[model.layers.0.self_attn.kv_b_proj.weight],decode,False
8,MLA+FFN,3,0-2,self_attn,indexer,wq_b,matmul,"[[B, c_q], [c_q, n_h*d_rope]]","[n_h*d_rope, c_q]",1,"[[B, n_h*d_rope]]",[3],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.wq_b,aten.mm.default,[model.layers.0.self_attn.indexer.wq_b.weight],decode,False
9,MLA+FFN,3,0-2,self_attn,indexer,wk,matmul,"[[B, d_model], [d_model, c_I]]","[c_I, d_model]",1,"[[B, c_I]]",[1],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.wk,aten.mm.default,[model.layers.0.self_attn.indexer.wk.weight],decode,False
10,MLA+FFN,3,0-2,self_attn,indexer,k_norm,layernorm,"[[B, 1, c_I], [c_I], [c_I]]",[c_I],1,"[[B, 1, c_I], [B, 1, 1], [B, 1, 1]]",[9],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.k_norm,native_layer_norm,"[model.layers.0.self_attn.indexer.k_norm.bias, model.layers.0.self_attn.indexer.k_norm.weight]",decode,False
11,MLA+FFN,3,0-2,self_attn,indexer,,batched_matmul,"[[B, n_h_I, c_I], [B, c_I, T+1]]",,,"[[B, n_h_I, T+1]]","[8, 10]",0,self_attn,indexer,2,model.layers.0.self_attn.indexer,aten.bmm.default,[],decode,False
12,MLA+FFN,3,0-2,self_attn,indexer,,relu,"[[B, 1, n_h_I, T+1]]",,,"[[B, 1, n_h_I, T+1]]",[11],0,self_attn,indexer,2,model.layers.0.self_attn.indexer,aten.relu.default,[],decode,True
13,MLA+FFN,3,0-2,self_attn,indexer,weights_proj,matmul,"[[B, d_model], [d_model, n_h_I]]","[n_h_I, d_model]",1,"[[B, n_h_I]]",[1],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.weights_proj,aten.mm.default,[model.layers.0.self_attn.indexer.weights_proj.weight],decode,False
14,MLA+FFN,3,0-2,self_attn,indexer,,batched_matmul,"[[B, 1, n_h_I], [B, n_h_I, T+1]]",,,"[[B, 1, T+1]]","[12, 13]",0,self_attn,indexer,2,model.layers.0.self_attn.indexer,aten.bmm.default,[],decode,False
15,MLA+FFN,3,0-2,self_attn,,,batched_matmul,"[[n_h, B, d_v], [n_h, d_v, T+1]]",,,"[[n_h, B, T+1]]","[4, 5, 7]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
16,MLA+FFN,3,0-2,self_attn,,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]","[14, 15]",0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],decode,False
17,MLA+FFN,3,0-2,self_attn,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_v]]",,,"[[n_h, B, d_v]]","[7, 16]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
18,MLA+FFN,3,0-2,self_attn,o_proj,,matmul,"[[B, n_h*(d_nope+d_rope)], [n_h*(d_nope+d_rope), d_model]]","[d_model, n_h*(d_nope+d_rope)]",1,"[[B, d_model]]",[17],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
19,MLA+FFN,3,0-2,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 18]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
20,MLA+FFN,3,0-2,post_attention_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[19],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],decode,False
21,MLA+FFN,3,0-2,mlp,gate_proj,,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[20],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],decode,False
22,MLA+FFN,3,0-2,mlp,act_fn,,silu,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[21],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],decode,False
23,MLA+FFN,3,0-2,mlp,up_proj,,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[20],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],decode,False
24,MLA+FFN,3,0-2,mlp,,,elementwise_mul,"[[B, 1, d_ff], [B, 1, d_ff]]",,,"[[B, 1, d_ff]]","[22, 23]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],decode,False
25,MLA+FFN,3,0-2,mlp,down_proj,,matmul,"[[B, d_ff], [d_ff, d_model]]","[d_model, d_ff]",1,"[[B, d_model]]",[24],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],decode,False
26,MLA+FFN,3,0-2,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[19, 25]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
27,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",input_layernorm,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[26],3,input_layernorm,,1,model.layers.3.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.input_layernorm.weight],decode,False
28,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,q_a_proj,,matmul,"[[B, d_model], [d_model, c_q]]","[c_q, d_model]",1,"[[B, c_q]]",[27],3,self_attn,q_a_proj,2,model.layers.3.self_attn.q_a_proj,aten.mm.default,[model.layers.3.self_attn.q_a_proj.weight],decode,False
29,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,q_a_layernorm,,rmsnorm,"[[B, 1, c_q]]",[c_q],-1,"[[B, 1, c_q]]",[28],3,self_attn,q_a_layernorm,2,model.layers.3.self_attn.q_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.self_attn.q_a_layernorm.weight],decode,False
30,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,q_b_proj,,matmul,"[[B, c_q], [c_q, n_h*(d_nope+d_rope)]]","[n_h*(d_nope+d_rope), c_q]",1,"[[B, n_h*(d_nope+d_rope)]]",[29],3,self_attn,q_b_proj,2,model.layers.3.self_attn.q_b_proj,aten.mm.default,[model.layers.3.self_attn.q_b_proj.weight],decode,False
31,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,kv_a_proj_with_mqa,,matmul,"[[B, d_model], [d_model, c_kv+d_rope]]","[c_kv+d_rope, d_model]",1,"[[B, c_kv+d_rope]]",[27],3,self_attn,kv_a_proj_with_mqa,2,model.layers.3.self_attn.kv_a_proj_with_mqa,aten.mm.default,[model.layers.3.self_attn.kv_a_proj_with_mqa.weight],decode,False
32,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,kv_a_layernorm,,rmsnorm,"[[B, 1, c_kv]]",[c_kv],-1,"[[B, 1, c_kv]]",[31],3,self_attn,kv_a_layernorm,2,model.layers.3.self_attn.kv_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.3.self_attn.kv_a_layernorm.weight],decode,False
33,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,kv_b_proj,,matmul,"[[B, c_kv], [c_kv, n_h*(d_nope+d_v)]]","[n_h*(d_nope+d_v), c_kv]",1,"[[B, n_h*(d_nope+d_v)]]",[32],3,self_attn,kv_b_proj,2,model.layers.3.self_attn.kv_b_proj,aten.mm.default,[model.layers.3.self_attn.kv_b_proj.weight],decode,False
34,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,,,batched_matmul,"[[n_h, B, d_v], [n_h, d_v, T+1]]",,,"[[n_h, B, T+1]]","[30, 31, 33]",3,self_attn,,1,model.layers.3.self_attn,aten.bmm.default,[],decode,False
35,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,,,softmax,"[[B, n_h, 1, T+1]]",,,"[[B, n_h, 1, T+1]]","[14, 34]",3,self_attn,,1,model.layers.3.self_attn,aten._softmax.default,[],decode,False
36,MLA+MoE,57,"3-5,7-9,11-13,15-17,19-21,23-25,27-29,31-33,35-37,39-41,43-45,47-49,51-53,55-57,59-61,63-65,67-69,71-73,75-77",self_attn,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_v]]",,,"[[n_h, B, d_v]]","[33, 35]",3,self_attn,,1,model.layers.3.self_attn,aten.bmm.default,[],decode,False
