op_id,block_type,repeat,layers,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,embed,1,,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,MLA+FFN,3,0-2,input_layernorm,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.input_layernorm.weight],prefill,False
2,MLA+FFN,3,0-2,self_attn,q_a_proj,,matmul,"[[T, d_model], [d_model, c_q]]","[c_q, d_model]",1,"[[T, c_q]]",[1],0,self_attn,q_a_proj,2,model.layers.0.self_attn.q_a_proj,aten.mm.default,[model.layers.0.self_attn.q_a_proj.weight],prefill,False
3,MLA+FFN,3,0-2,self_attn,q_a_layernorm,,rmsnorm,"[[B, T, c_q]]",[c_q],-1,"[[B, T, c_q]]",[2],0,self_attn,q_a_layernorm,2,model.layers.0.self_attn.q_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_a_layernorm.weight],prefill,False
4,MLA+FFN,3,0-2,self_attn,q_b_proj,,matmul,"[[T, c_q], [c_q, n_h*(d_nope+d_rope)]]","[n_h*(d_nope+d_rope), c_q]",1,"[[T, n_h*(d_nope+d_rope)]]",[3],0,self_attn,q_b_proj,2,model.layers.0.self_attn.q_b_proj,aten.mm.default,[model.layers.0.self_attn.q_b_proj.weight],prefill,False
5,MLA+FFN,3,0-2,self_attn,kv_a_proj_with_mqa,,matmul,"[[T, d_model], [d_model, c_kv+d_rope]]","[c_kv+d_rope, d_model]",1,"[[T, c_kv+d_rope]]",[1],0,self_attn,kv_a_proj_with_mqa,2,model.layers.0.self_attn.kv_a_proj_with_mqa,aten.mm.default,[model.layers.0.self_attn.kv_a_proj_with_mqa.weight],prefill,False
6,MLA+FFN,3,0-2,self_attn,kv_a_layernorm,,rmsnorm,"[[B, T, c_kv]]",[c_kv],-1,"[[B, T, c_kv]]",[5],0,self_attn,kv_a_layernorm,2,model.layers.0.self_attn.kv_a_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_a_layernorm.weight],prefill,False
7,MLA+FFN,3,0-2,self_attn,kv_b_proj,,matmul,"[[T, c_kv], [c_kv, n_h*(d_nope+d_v)]]","[n_h*(d_nope+d_v), c_kv]",1,"[[T, n_h*(d_nope+d_v)]]",[6],0,self_attn,kv_b_proj,2,model.layers.0.self_attn.kv_b_proj,aten.mm.default,[model.layers.0.self_attn.kv_b_proj.weight],prefill,False
8,MLA+FFN,3,0-2,self_attn,indexer,wq_b,matmul,"[[T, c_q], [c_q, n_h*d_rope]]","[n_h*d_rope, c_q]",1,"[[T, n_h*d_rope]]",[3],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.wq_b,aten.mm.default,[model.layers.0.self_attn.indexer.wq_b.weight],prefill,False
9,MLA+FFN,3,0-2,self_attn,indexer,wk,matmul,"[[T, d_model], [d_model, c_I]]","[c_I, d_model]",1,"[[T, c_I]]",[1],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.wk,aten.mm.default,[model.layers.0.self_attn.indexer.wk.weight],prefill,False
10,MLA+FFN,3,0-2,self_attn,indexer,k_norm,layernorm,"[[B, T, c_I], [c_I], [c_I]]",[c_I],1,"[[B, T, c_I], [B, T, 1], [B, T, 1]]",[9],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.k_norm,native_layer_norm,"[model.layers.0.self_attn.indexer.k_norm.bias, model.layers.0.self_attn.indexer.k_norm.weight]",prefill,False
11,MLA+FFN,3,0-2,self_attn,indexer,,batched_matmul,"[[T, n_h_I, c_I], [T, c_I, T]]",,,"[[T, n_h_I, T]]","[8, 10]",0,self_attn,indexer,2,model.layers.0.self_attn.indexer,aten.bmm.default,[],prefill,False
12,MLA+FFN,3,0-2,self_attn,indexer,,relu,"[[B, T, n_h_I, T]]",,,"[[B, T, n_h_I, T]]",[11],0,self_attn,indexer,2,model.layers.0.self_attn.indexer,aten.relu.default,[],prefill,True
13,MLA+FFN,3,0-2,self_attn,indexer,weights_proj,matmul,"[[T, d_model], [d_model, n_h_I]]","[n_h_I, d_model]",1,"[[T, n_h_I]]",[1],0,self_attn,indexer,3,model.layers.0.self_attn.indexer.weights_proj,aten.mm.default,[model.layers.0.self_attn.indexer.weights_proj.weight],prefill,False
14,MLA+FFN,3,0-2,self_attn,indexer,,batched_matmul,"[[T, 1, n_h_I], [T, n_h_I, T]]",,,"[[T, 1, T]]","[12, 13]",0,self_attn,indexer,2,model.layers.0.self_attn.indexer,aten.bmm.default,[],prefill,False
15,MLA+FFN,3,0-2,self_attn,,,batched_matmul,"[[n_h, T, d_v], [n_h, d_v, T]]",,,"[[n_h, T, T]]","[4, 5, 7]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
16,MLA+FFN,3,0-2,self_attn,,,softmax,"[[B, n_h, T, T]]",,,"[[B, n_h, T, T]]","[14, 15]",0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],prefill,False
17,MLA+FFN,3,0-2,self_attn,,,batched_matmul,"[[n_h, T, T], [n_h, T, d_v]]",,,"[[n_h, T, d_v]]","[7, 16]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
18,MLA+FFN,3,0-2,self_attn,o_proj,,matmul,"[[T, n_h*(d_nope+d_rope)], [n_h*(d_nope+d_rope), d_model]]","[d_model, n_h*(d_nope+d_rope)]",1,"[[T, d_model]]",[17],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
